month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan
1,221.67810920884003,273.54661429929126,254.46561885186034,239.83208599049794,221.67810920884003,273.54661429929126,254.46561885186034,239.83208599049794,0.0,0.0,0.0,0.0,1038422.8165253883,1364391.796816994,1230349.339211742,1152511.9596274502,0.0,0.0,0.0,0.0,1038422.8165253883,1364391.796816994,1230349.339211742,1152511.9596274502,817967.2043696488,914807.9456257002,877444.3042171809,851861.4638092668,175656.60095379475,206005.66792916704,198134.94860439445,186278.77439517505,2880698.402843065,2810618.6962857195,2780235.974340955,2856170.5055479943,416891.46932881355,401924.7914617009,416912.92065902945,411653.1320753241,0.0,0.0,0.0,0.0,43966.02973817876,73418.93211553783,60536.84970125431,54274.545570254435,1892136.1120851478,1774028.4156189,1765148.6051247835,1850798.418321961,141657.91297590986,116181.95888700886,126440.35746671713,132741.32904479452,6424050.926424607,6368402.81596844,6289561.225045936,6404574.087764949,-5385628.109899217,-5004011.019151446,-5059211.885834194,-5252062.128137497,-5385628.109899217,-5004011.019151446,-5059211.885834194,-5252062.128137497,10.099333333333334,11.549666666666667,10.944,10.606950000000001,9.202793750128013,9.117094626969607,9.02775086104148,9.172799057022571,52.39081807428536,55.585847813318345,54.117373752773524,53.509078482946904,0.0,0.0,0.0,0.0
2,233.92893078560334,313.4265519337385,280.28121177702235,261.75309818745063,233.92893078560334,313.4265519337385,280.28121177702235,261.75309818745063,0.0,0.0,0.0,0.0,1097886.881503978,1567154.7717020724,1357842.9532995964,1262130.643073311,0.0,0.0,0.0,0.0,1097886.881503978,1567154.7717020724,1357842.9532995964,1262130.643073311,830918.597345692,992065.4786078961,921545.3881079173,887320.0057874635,178993.30520401278,228024.98546208884,210820.33866736133,196154.39329433942,2958115.2405167734,2946527.0208394104,2885637.9474945315,2954059.3636296964,417198.2111633396,402895.2587138346,417563.3438493725,412192.17780601286,0.0,0.0,0.0,0.0,46815.418633291025,84142.52530899404,66366.98973648107,59879.905969787076,1933591.7949260757,1868499.7721955283,1832571.3302054768,1910809.586970384,165136.30286475853,111847.24407231744,111844.58972669851,146485.13228740415,6589001.392488208,6716078.173783351,6517756.372787777,6633478.265941507,-5491114.51098423,-5148923.402081278,-5159913.41948818,-5371347.622868197,-10876742.620883446,-10152934.421232725,-10219125.305322375,-10623409.751005694,10.171,12.486,11.4285,10.98125,8.793832845050808,8.704180404186415,8.62653112183397,8.76245449074827,52.532310682222274,55.75057010692244,54.27200583536227,53.658701480867336,0.0,0.0,0.0,0.0
3,247.74907407807783,359.9867793240322,308.97155844819144,287.03227091416187,247.74907407807783,359.9867793240322,308.97155844819144,287.03227091416187,0.0,0.0,0.0,0.0,1165065.1861425948,1803853.125848042,1499820.3099185752,1388640.9650395014,0.0,0.0,0.0,0.0,1165065.1861425948,1803853.125848042,1499820.3099185752,1388640.9650395014,843635.1565753475,1071524.0861071688,964657.4565101004,923396.2819114849,183214.33204283658,253000.2131083439,224609.18678542122,207639.39041576412,3041850.3873478533,3090335.5170541266,2995277.625121361,3058820.182745049,417548.5142465025,404031.6619970646,418276.54872522486,412817.61595919926,0.0,0.0,0.0,0.0,50078.93095875725,97522.88959056139,73435.1804680875,66684.3164798887,1978845.448877332,1970273.5071928909,1904273.7000598316,1975845.2692877776,132549.53382106862,129185.08669778629,171698.5861125155,131371.9773279198,6709543.5550115,7110370.977262827,6831084.699865967,6849833.152799465,-5544478.368868905,-5306517.851414784,-5331264.389947391,-5461192.187759963,-16421220.989752352,-15459452.27264751,-15550389.695269765,-16084601.938765656,10.238666666666667,13.434,11.8885,11.357033333333334,8.354657182762372,8.261632223695468,8.195038146595772,8.322098447088955,52.67426049516069,55.91586550779181,54.42715841903498,53.80882224958158,0.0,0.0,0.0,0.0
4,262.4874263768659,413.74634700821156,340.3494882806453,315.4280485978369,262.4874263768659,413.74634700821156,340.3494882806453,315.4280485978369,0.0,0.0,0.0,0.0,1236701.269488653,2077966.8841327655,1655509.400488459,1531144.2346140924,0.0,0.0,0.0,0.0,1236701.269488653,2077966.8841327655,1655509.400488459,1531144.2346140924,854499.5641925514,1160378.246933342,1007186.048794294,961557.103151828,187565.1765594465,280748.5970593408,239164.1221097276,220179.3737344095,3128074.430873462,3240366.2595217647,3106590.1601642994,3167376.5709003676,417920.90874797275,405332.25339708105,419061.30509609665,413514.8793751607,0.0,0.0,0.0,0.0,53127.43211759009,112227.27306444797,80529.16477541134,73812.37644899034,2025173.9491053717,2078041.501012308,1977567.6939456894,2043677.5922727995,144325.77795105585,123046.18834028454,134003.14944967208,136877.92158728588,6876317.23249771,7508993.282712929,7051203.459225461,7097753.850073036,-5639615.963009057,-5431026.398580162,-5395694.058737001,-5566609.615458944,-22060836.952761404,-20890478.67122767,-20946083.754006766,-21651211.5542246,10.272333333333334,14.477,12.3395,11.743966666666667,7.912779830269913,7.816603706366334,7.760659116405957,7.879118186903661,52.8166691734881,56.08173622458193,54.58283345309764,53.95944264137094,0.0,0.0,0.0,0.0
5,278.9463412322084,475.30859060244137,376.05112501777137,347.67312851178997,278.9463412322084,475.30859060244137,376.05112501777137,347.67312851178997,0.0,0.0,0.0,0.0,1316866.5069369974,2393426.9787713755,1832507.678684137,1693662.6720790297,0.0,0.0,0.0,0.0,1316866.5069369974,2393426.9787713755,1832507.678684137,1693662.6720790297,867200.5400009765,1252570.3851177527,1052341.5833960515,1002079.9857918482,192613.6896790468,311416.87982286804,255226.3444095543,234194.8062293842,3215256.7012322857,3392459.867648873,3225296.610600503,3277277.809478091,418341.988402741,406816.4740391776,419955.1828988433,414308.0583754938,0.0,0.0,0.0,0.0,57321.17985725772,128796.20481706099,90077.48949876022,82337.43859318885,2075088.2365401878,2191039.706783803,2056052.0585509029,2115671.251125453,143563.15158610576,113277.60836377407,86073.80186675665,132963.21145828968,7039279.964276174,7921792.179063632,7281420.4380004415,7348159.239451785,-5722413.457339177,-5528365.200292257,-5448912.759316305,-5654496.567372754,-27783250.41010058,-26418843.871519927,-26394996.513323076,-27305708.121597353,10.329666666666666,15.558,12.8175,12.159583333333334,7.483727319158216,7.384607509593283,7.338337021384618,7.44903538581049,52.95953838414582,56.24818447509298,54.73903289472837,54.11056451597733,0.0,0.0,0.0,0.0
6,296.9716138571668,547.9432205940149,416.1660853991213,384.8116762150636,296.9716138571668,547.9432205940149,416.1660853991213,384.8116762150636,0.0,0.0,0.0,0.0,1404762.150257797,2766130.832049652,2031602.3125237473,1881241.188884946,0.0,0.0,0.0,0.0,1404762.150257797,2766130.832049652,2031602.3125237473,1881241.188884946,879547.5373145596,1359598.569665875,1102653.0723741374,1047565.3986375199,198294.74692086736,346790.8285036874,273148.79656266747,250268.37547485437,3308174.246926781,3567112.3447925835,3351438.500776064,3398802.5811798116,418793.9079506045,408583.87743648054,420969.88542826555,415220.3972706611,0.0,0.0,0.0,0.0,61005.06279510985,150488.02291809875,100302.84583492011,92324.09883815597,2127088.8822608544,2313373.0647009145,2138625.66682411,2192288.3461148757,133677.53327580725,91298.79127871207,180672.34466729045,118844.97357682395,7201139.067474777,8382235.396699247,7674692.878767098,7614522.782703342,-5796376.91721698,-5616104.564649595,-5643090.566243351,-5733281.5938183945,-33579627.327317566,-32034948.43616952,-32038087.079566423,-33038989.71541575,10.387666666666666,16.789,13.338,12.628133333333334,7.074973596113212,6.973107902522221,6.935711067120528,7.039320603356366,53.10286980065655,56.41521248630959,54.89575870901096,54.26218974063511,0.0,0.0,0.0,0.0
7,316.2890425300836,631.6648749900417,462.18455171791646,426.6705838910689,316.2890425300836,631.6648749900417,462.18455171791646,426.6705838910689,0.0,0.0,0.0,0.0,1498891.077171577,3196949.1647608406,2260451.7642867644,2093211.4078278192,0.0,0.0,0.0,0.0,1498891.077171577,3196949.1647608406,2260451.7642867644,2093211.4078278192,893138.8952049597,1479966.6393342533,1158805.352425185,1098528.6056502124,204213.1968297419,386179.0023641483,293280.3911650404,267901.2287667842,3401464.2038787995,3742262.7870878647,3487159.0972115756,3520743.708001972,419288.36460000643,410625.5108102947,422108.933574525,416256.36577360734,0.0,0.0,0.0,0.0,64923.01060573955,174458.50763485348,113678.47396916166,103260.43456592943,2180890.4284911742,2442928.360072554,2227287.7545327474,2272603.704544657,123286.93218410564,123449.08261684077,123911.5866109847,123343.68483556292,7366782.000483641,8927458.162658762,7945188.624600525,7913018.657244934,-5867890.923312064,-5730508.997897921,-5684736.860313761,-5819807.249417114,-39447518.25062963,-37765457.43406744,-37722823.93988018,-38858796.964832865,10.456666666666667,18.155666666666665,13.9265,13.151316666666666,6.689876962647245,6.586391526139732,6.556323815120705,6.653657059869616,53.2466651031519,56.582822494441196,55.05301286896868,54.414320190103155,0.0,0.0,0.0,0.0
8,338.09408704060667,728.7852605111403,512.491054352469,474.8359977552934,338.09408704060667,728.7852605111403,512.491054352469,474.8359977552934,0.0,0.0,0.0,0.0,1605357.7949636215,3697411.211103372,2511432.451526226,2337576.4906125343,0.0,0.0,0.0,0.0,1605357.7949636215,3697411.211103372,2511432.451526226,2337576.4906125343,911686.6157171043,1611903.5174558188,1217594.974895549,1156762.5313256544,211010.13312050278,430369.9778260112,314799.9512025124,287786.07876743074,3506492.8561700555,3927682.6365934373,3622072.556731499,3653909.2793182395,419845.6102314844,412978.8605216896,423380.4254692455,417442.2478330562,0.0,0.0,0.0,0.0,70908.26947676792,202182.19894011822,123634.11867782642,116854.14478894052,2237981.958828627,2579644.4065224067,2318323.747663963,2357563.81552145,115440.8965857701,133745.357024354,137068.6306772636,121847.45773927445,7558607.606402709,9492372.059785843,8289052.222220426,8235425.165086806,-5953249.811439089,-5794960.84868247,-5777619.770694201,-5897848.674474272,-45400768.062068716,-43560418.282749906,-43500443.71057439,-44756645.639307134,10.573333333333334,19.650666666666666,14.5275,13.750399999999999,6.330121619589811,6.225297097204151,6.202034565241877,6.293433036754829,53.39092597840022,56.7510167449621,55.210797355598196,54.56695774669687,0.0,0.0,0.0,0.0
9,361.0431518789823,839.5520946383085,569.1927951454261,528.5212818447465,361.0431518789823,839.5520946383085,569.1927951454261,528.5212818447465,0.0,0.0,0.0,0.0,1717571.0809866164,4269991.759076867,2794695.566236305,2610918.318318204,0.0,0.0,0.0,0.0,1717571.0809866164,4269991.759076867,2794695.566236305,2610918.318318204,929799.8559832154,1758715.3920210851,1283740.9147150326,1219920.2935964698,217879.3265387675,479100.1498242639,338069.1216024134,309306.6146886912,3607705.291500732,4122998.0648167217,3764540.9177621966,3788057.7621613285,420430.6692973832,415705.65230237454,424784.59078709333,418776.9133491302,0.0,0.0,0.0,0.0,74782.06756660972,231944.17834796716,139919.41440657942,129788.80634008482,2296293.792318238,2723551.8009825093,2415376.120176957,2445834.095350733,175542.43157638662,193636.47236744975,119137.8211428596,181875.3458532587,7813643.276920081,10149632.032742856,8632699.475920245,8631239.341458052,-6096072.195933464,-5879640.273665989,-5838003.909683939,-6020321.023139847,-51496840.25800218,-49440058.55641589,-49338447.62025832,-50776966.662446976,10.693666666666667,21.295,15.215,14.404133333333334,5.995279486451962,5.889854280279629,5.871994760305955,5.958380664291646,53.53565411983455,56.919797492651995,55.36911415790357,54.72010430032065,0.0,0.0,0.0,0.0
10,386.85558061587653,968.2796868601289,632.8353589443965,590.3540178013649,386.85558061587653,968.2796868601289,632.8353589443965,590.3540178013649,0.0,0.0,0.0,0.0,1844135.656528284,4937209.415112069,3113617.779753118,2926711.4720326085,0.0,0.0,0.0,0.0,1844135.656528284,4937209.415112069,3113617.779753118,2926711.4720326085,950555.7660409241,1923701.9424138898,1356735.1794871502,1291156.9277714621,225843.27121348103,534079.1364520513,363660.05144504906,333725.8240469806,3714699.5184868337,4326800.23543418,3918678.172923395,3928934.769418405,421083.8251701301,418864.4719808435,426387.4762292023,420307.05155387975,0.0,0.0,0.0,0.0,81575.14310166956,269736.5511910803,157023.9324011004,147431.6359329633,2358964.1600542343,2876179.1859322293,2516575.986392012,2539989.4191115326,120009.46768035626,101212.55246093281,177888.09759905387,113430.54735355805,7970685.674069818,10709592.115169927,9080923.741371749,8929302.928454857,-6126550.017541533,-5772382.700057859,-5967305.961618631,-6002591.456422247,-57623390.27554372,-55212441.25647376,-55305753.581876956,-56779558.11886923,10.842333333333332,23.115666666666666,15.967,15.138,5.684476700483533,5.578739405940714,5.56605893016852,5.647468647393546,53.68085122758049,57.08916700163663,55.527965272930565,54.873761748500144,0.0,0.0,0.0,0.0
