month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan,adds_organic_cons,adds_organic_opt,adds_organic_med,adds_organic_plan,adds_paid_cons,adds_paid_opt,adds_paid_med,adds_paid_plan,marketing_spend_cons,marketing_spend_opt,marketing_spend_med,marketing_spend_plan
1,259.6450337869543,293.5659742462907,279.09572935460545,271.51736294772206,259.6450337869543,293.5659742462907,279.09572935460545,271.51736294772206,0.0,0.0,0.0,0.0,1195315.0624349266,1478822.6052603172,1352391.3770873055,1294542.7024238133,0.0,0.0,0.0,0.0,1195315.0624349266,1478822.6052603172,1352391.3770873055,1294542.7024238133,916824.9737264083,959804.2022419672,938870.7353967977,931867.7037068539,205002.19624561406,221186.90489703996,217507.71071695042,210666.84427361313,2912636.805530754,2880695.0336407586,2848761.9053187543,2901457.1853692555,416318.027733096,411960.30175355164,418056.01243540074,414792.8236402555,0.0,0.0,0.0,0.0,308992.0025580509,313593.38982563553,311277.9630606096,310602.48810170556,1979232.0118951064,1861674.9771691333,1879609.5836703058,1938087.0497410158,124770.06218604156,148855.24830823208,106976.05601249014,133199.87732880824,6927170.466703026,6874914.628591258,6791900.171184903,6908880.923363907,-5731855.4042681,-5396092.02333094,-5439508.794097597,-5614338.2209400935,-5731855.4042681,-5396092.02333094,-5439508.794097597,-5614338.2209400935,11.469666666666667,12.175666666666666,11.8355,11.716766666666667,9.17516496272072,9.078615995927004,9.075844380669166,9.14137282434292,51.545950953636776,56.17037141942832,54.15081920172328,53.16449811666382,0.0,0.0,0.0,0.0,35.96801023220367,54.37355930254202,45.11185224243827,42.409952406822086,27.57553685016558,27.72369080720047,27.66566756844762,27.627390735127793,300000.0,300000.0,300000.0,300000.0
2,304.3162215788506,361.81119991443467,335.4118765811083,324.439463996305,304.3162215788506,361.81119991443467,335.4118765811083,324.439463996305,0.0,0.0,0.0,0.0,1403734.8887585897,1827151.8522123368,1628738.7469267116,1551930.8259674013,0.0,0.0,0.0,0.0,1403734.8887585897,1827151.8522123368,1628738.7469267116,1551930.8259674013,1012087.1208594099,1101225.5370448637,1055545.3462006152,1043285.5665243188,232214.31639821813,263125.7456100094,252337.97273245102,243033.31662234507,3082222.8583336524,3074388.052645027,3034564.1745949546,3079480.6763426336,417442.5950983921,413624.5608004384,419467.28093261755,416106.28309410834,0.0,0.0,0.0,0.0,311201.4093113971,320870.28128577664,315781.1018583715,314585.51450243,2108964.762275398,2019405.9122912507,2020247.4681912914,2077619.1647809462,144676.69375706554,96619.49156040714,143004.2369842457,127856.6729882351,7383265.295306602,7384590.366627435,7326266.376658819,7383729.070268894,-5979530.406548012,-5557438.514415098,-5697527.629732106,-5831798.244301492,-11711385.810816111,-10953530.537746038,-11137036.423829705,-11446136.465241585,12.643333333333333,14.001666666666667,13.31,13.11875,8.769293836008757,8.666836808723566,8.668587510855627,8.73343387645894,51.68203845189605,56.34045708005404,54.30491432403594,53.312484971751346,0.0,0.0,0.0,0.0,42.617244830945616,67.21169146054058,54.756786002990935,51.22530115130385,27.582298838672354,28.066353931553998,27.82259046865852,27.75171812118093,300547.0981036607,304067.35842064145,302091.9053576237,301779.189214604
3,352.7935503843607,441.5962262548496,398.84672075514766,383.87448693903184,352.7935503843607,441.5962262548496,398.84672075514766,383.87448693903184,0.0,0.0,0.0,0.0,1631072.4102270496,2235845.0981818354,1941044.5480790434,1842742.8510112246,0.0,0.0,0.0,0.0,1631072.4102270496,2235845.0981818354,1941044.5480790434,1842742.8510112246,1102166.2097045819,1256388.2601724158,1178104.7955351712,1156143.9273683238,260253.8936345094,310108.389471426,289682.8214360502,277702.9671774302,3249239.058396675,3276309.430874255,3207375.430918627,3258713.688763828,418666.6644766701,415563.02456113603,421052.7067013509,417580.3905062332,0.0,0.0,0.0,0.0,315117.2139972782,340119.8020411701,325717.1273470957,323868.11981264036,2237181.9810548592,2181410.7639529617,2162829.998262396,2217662.055069195,80929.12136584685,125805.7139686771,131070.17334311495,96635.92877683743,7750074.453505465,8022393.404032039,7817516.62485407,7845386.0861897655,-6119002.043278416,-5786548.305850204,-5876472.076775026,-6002643.235178541,-17830387.854094528,-16740078.843596242,-17013508.50060473,-17448779.700420126,13.731666666666667,15.956666666666667,14.818,14.510416666666668,8.33329312662794,8.225179539251023,8.23140460854628,8.295453371046019,51.81855966656367,56.511145949642476,54.45952642214857,53.46096486564125,0.0,0.0,0.0,0.0,49.56411663632333,82.77685632494945,65.5511961988589,61.18857552734247,27.723474064625606,29.387344782154674,28.421037225297944,28.305828815760776,302726.18483819737,319425.58795993275,309329.32829738094,308570.97593080474
4,405.16775523049336,535.825903825842,470.1970540284955,450.89810723886535,405.16775523049336,535.825903825842,470.1970540284955,450.89810723886535,0.0,0.0,0.0,0.0,1877209.7671709608,2720954.5504960744,2293866.345134782,2172520.4413347505,0.0,0.0,0.0,0.0,1877209.7671709608,2720954.5504960744,2293866.345134782,2172520.4413347505,1193116.1226024402,1427299.8009490913,1306554.143534686,1275080.410023768,288961.36968873057,363345.61761179037,329769.8759243182,314995.85646180145,3411555.494754125,3490485.469666451,3393321.266432578,3439180.985973439,419985.96406134195,417852.52503508417,422826.3919646252,419239.26040215173,0.0,0.0,0.0,0.0,323350.1845348295,379883.1582661995,346572.3923426566,343136.72534080903,2363326.942077527,2350215.441859638,2306411.5748265255,2358737.9170012656,155799.97371843303,141624.7582375923,127584.99601215431,150838.64830013877,8255651.585908979,8712710.578133473,8353225.715823818,8415622.233187553,-6378441.818738019,-5991756.027637398,-6059359.370689035,-6243101.791852802,-24208829.672832545,-22731834.871233642,-23072867.871293765,-23691881.49227293,14.803666666666667,18.060666666666666,16.3615,15.943616666666667,7.894326251033638,7.781142292629502,7.79166791518249,7.85471186559219,51.95551615765452,56.68244038877591,54.614657429559074,53.60993963854701,0.0,0.0,0.0,0.0,56.59651519851837,99.92593769139619,76.5253691753935,71.7618130710256,28.22454046801252,32.431230244323885,29.947546473410693,29.696881889721496,309201.05573519995,354901.6738433505,327441.0500488082,325196.27207305265
5,463.4988845518022,648.2074269776758,554.257244267755,528.146874400858,463.4988845518022,648.2074269776758,554.257244267755,528.146874400858,0.0,0.0,0.0,0.0,2153076.995578863,3302573.5589148193,2710620.1441417783,2555400.792746448,0.0,0.0,0.0,0.0,2153076.995578863,3302573.5589148193,2710620.1441417783,2555400.792746448,1290707.5652116383,1625114.2528656463,1446823.4914958149,1407749.9058905412,319660.6630411037,424489.1243396156,375432.0301083785,356350.6244955829,3576858.006942314,3711009.488218957,3579809.3650403675,3623811.0253891395,421464.8754717908,420582.2253385461,424915.0408769688,421155.94792515517,0.0,0.0,0.0,0.0,338818.4247116729,444393.7879563039,383408.1982991874,375769.80184729374,2492363.5032021217,2528780.220210925,2459903.133785582,2505109.354155203,120245.30356330179,135955.96434498276,117644.52036262951,125744.03483689012,8674300.725817438,9462730.783228355,8929969.705288304,8950251.24591126,-6521223.730238574,-6160157.224313538,-6219349.561146525,-6394850.453164811,-30730053.403071117,-28891992.09554718,-29292217.432440292,-30086731.94543774,15.911333333333333,20.445,18.0385,17.498116666666668,7.4680443242213554,7.35013700690615,7.364432107126113,7.426776763161033,52.092909491298855,56.854342767927754,54.770309287579195,53.75941113811896,0.0,0.0,0.0,0.0,65.18841948076037,119.87185335771677,91.2233945982656,84.32762133769512,29.29664788268044,37.482112136399095,32.73986856668107,32.16156037148197,322521.3198414828,414425.8246168747,360602.349649621,354687.89651287
6,529.3626962040861,785.866392092117,652.5647299015068,619.1389897648969,529.3626962040861,785.866392092117,652.5647299015068,619.1389897648969,0.0,0.0,0.0,0.0,2465310.452263453,4016792.6952543603,3199268.5725726294,3008329.237310271,0.0,0.0,0.0,0.0,2465310.452263453,4016792.6952543603,3199268.5725726294,3008329.237310271,1391272.120455231,1856288.6156254583,1607850.2420367952,1554027.8937648106,353218.2189980766,496914.2635584622,427369.38048704696,403511.83459421154,3752166.8448599614,3945393.0528709334,3777248.594023702,3819796.0176638016,423133.84857716924,423934.0823024101,427354.59266975056,423413.93038100353,0.0,0.0,0.0,0.0,364388.7088631838,533043.6497833567,438871.11457225645,423417.93818524433,2625229.0391374663,2723098.767866424,2621351.166132909,2659483.4441926014,109906.38249320081,110378.254684817,93206.12770971881,110071.53776026648,9150027.870365582,10298744.981754737,9560895.046293765,9552078.859351788,-6684717.418102129,-6281952.286500378,-6361626.473721136,-6543749.622041516,-37414770.82117325,-35173944.38204756,-35653843.90616142,-36630481.56747926,17.054,23.205,19.922,19.206849999999996,7.061457495591307,6.939742118416453,6.957334702797099,7.018857113580108,52.23074123976787,57.02685546750618,54.926483945367984,53.90938121947628,0.0,0.0,0.0,0.0,74.40443462036518,145.43411864086087,106.78809629528199,99.26482402753867,31.18371349609294,44.336939898791506,37.04132741730254,35.787342737037434,345787.6002080926,496685.1201231415,412174.09049843595,398601.73217835976
7,601.8299922927503,951.6387418319897,767.4943153649385,724.263054631484,601.8299922927503,951.6387418319897,767.4943153649385,724.263054631484,0.0,0.0,0.0,0.0,2810254.8765163207,4879038.66497531,3772902.3900259677,3534329.202476967,0.0,0.0,0.0,0.0,2810254.8765163207,4879038.66497531,3772902.3900259677,3534329.202476967,1497675.5926103408,2115576.1725591985,1786402.1577178196,1713940.795592441,388589.38463743415,581046.2391674768,486039.0455243301,455949.2837229491,3930653.973967401,4197839.235811375,3991414.8836896974,4024168.8156127916,424964.933744877,427982.00828435324,430200.2976016972,426020.90983369364,0.0,0.0,0.0,0.0,401205.7411364628,646188.8968201114,512210.4123060968,486949.8456257398,2761329.119524886,2931102.088200526,2792167.1955221565,2820749.65856136,142301.37683384592,128029.26884538968,125253.1342399829,137306.13903788623,9695713.940570144,11282445.72814461,10321425.801868698,10251070.066221207,-6885459.064053824,-6403407.0631693015,-6548523.41184273,-6716740.863744241,-44300229.88522708,-41577351.44521686,-42202367.31800415,-43347222.4312235,18.241333333333333,26.285333333333334,21.984,21.056733333333334,6.6787745668895875,6.554207541461906,6.574513344803545,6.635176107989899,52.36901298149936,57.19998087789782,55.08318335996539,54.059851745238824,0.0,0.0,0.0,0.0,82.58806312921006,173.95852591794133,124.00365382940592,114.56772510526599,33.99538852077821,52.95911288515096,42.70607282620455,40.63269204830867,380558.72535416024,602699.2653406261,481209.49884874525,458307.91434942326
8,685.276664259739,1152.382196957215,902.1458595545893,848.7636007038557,685.276664259739,1152.382196957215,902.1458595545893,848.7636007038557,0.0,0.0,0.0,0.0,3208631.1804160513,5927362.910617639,4447702.892400035,4160187.285986607,0.0,0.0,0.0,0.0,3208631.1804160513,5927362.910617639,4447702.892400035,4160187.285986607,1619084.692631901,2426144.971157864,1988078.9619143151,1901555.7901159883,428104.92917168984,679515.5798615753,552541.0315743341,516098.65691314975,4115394.487071359,4465854.749500131,4211138.189725485,4238055.578921429,427057.6361013101,432872.6430686594,433528.7989183539,429092.8885398824,0.0,0.0,0.0,0.0,449238.3838910367,784177.444077228,602259.5791222877,566467.0549562036,2905285.714710311,3154162.642252285,2972051.379351624,2992392.6393500017,155535.3973497682,135404.0127267454,96515.59545253539,148489.4127317102,10269823.007696472,12387533.964371422,11089225.975559292,11011021.842532706,-7061191.827280423,-6460171.053753782,-6641523.083159258,-6850834.556546098,-51361421.71250751,-48037522.49897064,-48843890.40116342,-50198056.987769604,19.567333333333334,29.907,24.295,23.186216666666667,6.321291158092015,6.194149237857452,6.216618609517502,6.276791486009918,52.507726301123526,57.373721399511815,55.24040949632599,54.21082458555942,0.0,0.0,0.0,0.0,94.18034834974507,209.28179060635887,144.43200684552386,134.4658531395599,37.60460741153483,63.14993000339433,49.515036063800274,46.54547031868565,425693.2968036004,731856.9964256382,566151.5774109067,532850.5916713136
9,779.7319781495792,1395.299889017065,1061.2623060360352,995.1807469531992,779.7319781495792,1395.299889017065,1061.2623060360352,995.1807469531992,0.0,0.0,0.0,0.0,3660400.572566123,7197854.29991512,5246323.236170125,4898509.377138272,0.0,0.0,0.0,0.0,3660400.572566123,7197854.29991512,5246323.236170125,4898509.377138272,1752751.4555673867,2783206.3667384116,2217084.899091657,2113410.674477245,471374.6925952854,794742.1578704384,628541.0172428091,584553.3054415889,4310280.132851123,4750463.335216816,4448042.957761153,4464344.253679115,429441.94588365237,438803.5861903011,437453.6120247567,432718.51999097946,0.0,0.0,0.0,0.0,509120.0906111709,952265.7043672205,709438.4147325926,664221.0554257883,3056096.2944338964,3394826.2825666866,3165191.3130615284,3174651.790280373,123412.19509674472,167643.38631805178,152565.57994784586,138893.1120242022,10846542.744780404,13657774.782380417,12033280.088247761,11830473.957940409,-7186142.172214282,-6459920.482465296,-6786956.852077636,-6931964.580802137,-58547563.88472178,-54497442.98143593,-55630847.25324105,-57130021.56857173,21.014,34.038333333333334,26.896,25.572516666666665,5.988104067436364,5.859408669468182,5.883589308103653,5.9430606781475,52.64688278948886,57.548079442823926,55.3981643273529,54.36230161815614,0.0,0.0,0.0,0.0,105.92157849909027,252.64507109829844,169.10183255116004,157.27480090881312,42.07502028576669,75.11917572078598,57.376589534032234,53.64047468802344,482639.6959863984,889104.4365926458,667162.9565948027,624902.355198585
10,886.9531648261824,1688.1145724605942,1245.7549903623533,1167.3596574982266,886.9531648261824,1688.1145724605942,1245.7549903623533,1167.3596574982266,0.0,0.0,0.0,0.0,4175015.8012488564,8735889.129087118,6173998.185461825,5771321.465992248,0.0,0.0,0.0,0.0,4175015.8012488564,8735889.129087118,6173998.185461825,5771321.465992248,1899668.5369037127,3195341.2756229807,2474866.2980521126,2353153.9954554564,519203.3664365748,929185.7098888133,713333.9128286337,662697.1866448582,4514995.030874065,5050370.6082601715,4696933.8232460385,4702376.4829592025,432145.7524964444,445942.6408813378,442032.6697315996,436974.6634311571,0.0,0.0,0.0,0.0,579194.3264236177,1155361.1670012681,835801.7861170643,780852.7206257953,3215419.421962073,3651960.3374633095,3370294.189745901,3368208.742387506,112633.43236234157,110940.50425048558,91313.94020781075,112040.90752319197,11494620.006232116,14995227.99232245,12948234.821310539,12719832.801363733,-7319604.204983261,-6259338.863235337,-6774236.635848715,-6948511.335371488,-65867168.089705035,-60756781.84467127,-62405083.88908977,-64078532.903943226,22.587,38.769333333333336,29.7625,28.250816666666665,5.679120822378427,5.548829661795765,5.574034903469085,5.633518916174495,52.786484043688176,57.72305742842095,55.55644983393185,54.51428472834465,0.0,0.0,0.0,0.0,118.9662654275652,302.73208805600007,195.41320276618248,183.2843033475174,47.19375234499457,89.04310912032318,66.3847841632156,61.84102721635958,549452.7600667264,1079678.144987268,786948.4854255186,735031.6447889159
