month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan,adds_organic_cons,adds_organic_opt,adds_organic_med,adds_organic_plan,adds_paid_cons,adds_paid_opt,adds_paid_med,adds_paid_plan,marketing_spend_cons,marketing_spend_opt,marketing_spend_med,marketing_spend_plan,adds_paid_ind_cons,adds_paid_ind_opt,adds_paid_ind_med,adds_paid_ind_plan,adds_paid_uk_cons,adds_paid_uk_opt,adds_paid_uk_med,adds_paid_uk_plan,adds_paid_us_cons,adds_paid_us_opt,adds_paid_us_med,adds_paid_us_plan,spend_ind_cons,spend_ind_opt,spend_ind_med,spend_ind_plan,spend_uk_cons,spend_uk_opt,spend_uk_med,spend_uk_plan,spend_us_cons,spend_us_opt,spend_us_med,spend_us_plan
1,259.5154081409675,294.77783032515646,281.7346530769251,271.85725590543365,259.5154081409675,294.77783032515646,281.7346530769251,271.85725590543365,0.0,0.0,0.0,0.0,1200350.5713343155,1478519.8730559775,1370286.9871533727,1297709.8269368971,0.0,0.0,0.0,0.0,1200350.5713343155,1478519.8730559775,1370286.9871533727,1297709.8269368971,904156.1305520849,973795.4034228172,938747.4863773469,928529.8760568411,202732.67331323813,225674.5851615366,218398.6480351118,210762.34246014262,2889754.960656829,2888036.801650662,2873936.704112254,2889153.6050046706,414233.145037298,413848.1702514337,415132.70435765653,414098.4038622455,0.0,0.0,0.0,0.0,308964.9450228557,313667.5509724242,311467.55916660774,310610.8571052047,1955810.1489740137,1879866.2115635774,1891103.9238392678,1929229.770880361,101041.86134083002,128067.16541711529,111358.28832028103,110500.71776752986,6840446.321899285,6900230.462765818,6832449.253579523,6861370.771202572,-5640095.750564969,-5421710.589709842,-5462162.26642615,-5563660.944265675,-5640095.750564969,-5421710.589709842,-5462162.26642615,-5563660.944265675,11.298666666666668,12.372666666666667,11.8715,11.674566666666667,9.173940661390152,9.08313872812866,9.048525994486823,9.142159984748629,51.780719711668596,55.935804698290596,54.32926863564906,53.23499945698629,12412759.405359406,14397190.592873922,13564922.373515699,13107310.320989486,35.8597800914229,54.67020388969694,45.87023666643103,42.44342842081881,27.577368088800597,27.72245414367584,27.665223651746313,27.628148208006934,300000.0,300000.0,300000.0,300000.0,27.577368088800597,27.72245414367584,27.665223651746313,27.628148208006934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,300000.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,304.18033310240116,363.51174706427184,338.2397899576209,324.94632798905593,304.18033310240116,363.51174706427184,338.2397899576209,324.94632798905593,0.0,0.0,0.0,0.0,1409833.2766111777,1828093.0534090414,1648881.324821767,1556224.19849043,0.0,0.0,0.0,0.0,1409833.2766111777,1828093.0534090414,1648881.324821767,1556224.19849043,997734.7249132391,1119086.6367018057,1058443.2147545563,1040207.8940392374,229641.8412878175,268657.3720759724,253087.790439958,243297.2770636717,3059116.148710622,3086275.6988894334,3053000.9750816794,3068621.9912732057,415352.7490150309,415533.4254193338,416519.21316998784,415415.98575653695,0.0,0.0,0.0,0.0,311253.05351316923,321167.48055984324,316052.0634048736,314723.10297950514,2083507.493851841,2039315.6290474015,2031568.3241626178,2068040.3411702872,114732.53042688771,83741.42195303239,119163.69104185047,103885.64246103834,7286223.263503088,7429334.844192386,7334826.823141718,7336312.316744342,-5876389.9868919095,-5601241.790783343,-5685945.49831995,-5780088.118253911,-11516485.737456879,-11022952.380493185,-11148107.764746102,-11343749.062519586,12.451666666666666,14.244333333333334,13.3715,13.0791,8.765678879975148,8.672813314181129,8.643034651377333,8.733175931947242,51.918729490426244,56.10392528211181,54.483042274742154,53.38354801751619,14549862.805873156,17750571.401073147,16286543.524998821,15670110.814193152,42.5340663455245,67.81121445343601,55.18178735610612,51.38106818329353,27.590535249300252,28.077411093797924,27.836016734445874,27.760941794874434,300619.5369267881,304214.6769464843,302256.61656584707,301877.83593368175,27.590535249300252,28.077411093797924,27.836016734445874,27.760941794874434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300619.5369267881,304214.6769464843,302256.61656584707,301877.83593368175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,352.2717703577949,443.7332813382602,402.1749460120607,384.28329920095774,352.2717703577949,443.7332813382602,402.1749460120607,384.28329920095774,0.0,0.0,0.0,0.0,1636388.2213152586,2237311.7031718623,1964989.2007594213,1846711.4399650698,0.0,0.0,0.0,0.0,1636388.2213152586,2237311.7031718623,1964989.2007594213,1846711.4399650698,1084843.5243855414,1277799.4420561625,1179237.486718156,1152378.0955702588,257047.4383883561,316749.1560585293,290475.159965384,277943.0395729167,3221019.936620285,3288584.4666478727,3231488.921250575,3244667.522129941,416561.2149812995,417498.05542538426,418083.58452817047,416889.10913672915,0.0,0.0,0.0,0.0,315063.27137383976,340657.9014482772,326633.30762203026,324021.3918998928,2208632.5039159628,2202341.5164509187,2174730.7502454594,2206430.6583031975,76867.03342624423,134297.64801806005,107539.30075320935,96967.74853337977,7666955.112297938,8094907.627862498,7831856.777391602,7816738.4927455345,-6030566.89098268,-5857595.924690636,-5866867.576632181,-5970027.052780464,-17547052.62843956,-16880548.305183824,-17014975.34137828,-17313776.115300052,13.503666666666666,16.238666666666667,14.866,14.460916666666666,8.327554240231745,8.232513350290143,8.20755592642785,8.294289928752184,52.05718163201737,56.2726391614466,54.63733069276088,53.5325917673176,16851483.12796763,21662010.240978573,19356543.230386786,18535167.617521457,49.10789542119554,83.29676657786905,66.20523103405822,61.07400032603127,27.73141688114459,29.419896094920443,28.485075691527364,28.322384605966135,302786.2975185409,319833.70980380994,310081.9998635157,308752.89181838505,27.73141688114459,29.419896094920443,28.485075691527364,28.322384605966135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302786.2975185409,319833.70980380994,310081.9998635157,308752.89181838505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,404.37018968481806,538.6973481049166,474.41200046076204,451.3846951318526,404.37018968481806,538.6973481049166,474.41200046076204,451.3846951318526,0.0,0.0,0.0,0.0,1882685.0928327574,2724234.3381026015,2323548.634273966,2177227.3286772026,0.0,0.0,0.0,0.0,1882685.0928327574,2724234.3381026015,2323548.634273966,2177227.3286772026,1172769.004629241,1451671.2385284952,1307530.3245217414,1270384.7864939799,285129.2581857822,371334.27610683657,330875.42729104654,315301.0144581512,3382202.2544291443,3501360.123217322,3419233.093060112,3423907.5085050063,417868.3216221532,419816.196422355,419846.98771408165,418550.07780222385,0.0,0.0,0.0,0.0,323150.1583229283,380759.05963911494,348641.4094273665,343313.2737835936,2332251.0974179874,2373295.757769007,2319774.429818013,2346616.7285408443,111894.29478982916,140808.27990279725,120921.01964283043,122014.18957936799,8125244.128255518,8781466.517129835,8389430.06986503,8354921.96436153,-6242559.035422761,-6057232.179027234,-6065881.435591062,-6177694.635684326,-23789611.66386232,-22937780.484211054,-23080856.776969343,-23491470.75098438,14.543666666666667,18.385,16.4295,15.888133333333332,7.886731422054403,7.7897163665451785,7.7691567575092355,7.852776152626174,52.19607773302045,56.441948651345214,54.792135815017666,53.68213255443412,19341001.334460557,26293937.29409214,22831372.83465729,21774528.920331612,56.219402257679114,100.78646000633582,77.65606818325311,71.81787246970896,28.220506761701827,32.483081897124386,30.098025938235,29.712408059099722,309095.3077585085,355562.44463753095,329227.3923815533,325358.80566616636,28.220506761701827,32.483081897124386,30.098025938235,29.712408059099722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309095.3077585085,355562.44463753095,329227.3923815533,325358.80566616636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,462.29609661088915,652.1697895834908,559.8601555923999,528.7518891512998,462.29609661088915,652.1697895834908,559.8601555923999,528.7518891512998,0.0,0.0,0.0,0.0,2158078.60649379,3308913.7558031017,2749482.1451463476,2560870.9087520493,0.0,0.0,0.0,0.0,2158078.60649379,3308913.7558031017,2749482.1451463476,2560870.9087520493,1266040.8421651092,1654143.3077051933,1450104.6317206305,1401876.7051041387,315231.8016207989,433993.0852383806,376858.56842071965,356798.2508869525,3543879.0342791025,3724791.002729014,3607897.5699997963,3607198.2232365715,419327.5228161597,422586.73137200036,421944.1712050192,420468.24581070396,0.0,0.0,0.0,0.0,338698.5772052071,445467.2026578821,387056.6150601957,376067.5961136434,2458363.7059642556,2554029.3859301,2474512.1010373128,2491846.693952301,124998.49979150185,132085.89536259515,120690.95528969078,127479.08824138451,8581134.162542662,9540119.729341578,8984186.546492498,8916779.110922283,-6423055.556048871,-6231205.973538475,-6234704.401346152,-6355908.202170232,-30212667.219911195,-29168986.45774953,-29315561.178315494,-29847378.953154612,15.602333333333334,20.825,18.133,17.430266666666668,7.4588567207780745,7.359707044250325,7.343549927300013,7.424154333993362,52.33541939628751,56.61185607654229,54.947459574612324,53.832172234376685,22101927.656427637,31811285.414671566,26927291.807815827,25500202.87181301,64.64756224786892,121.11054195544484,92.63033333796618,84.40960514552049,29.305521348868815,37.538687360665065,33.01571074115136,32.1871294529975,322536.68664323987,415189.5671690209,363899.0317257042,354965.19482726324,29.305521348868815,37.538687360665065,33.01571074115136,32.1871294529975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322536.68664323987,415189.5671690209,363899.0317257042,354965.19482726324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,527.8394179940267,790.8442213110695,658.416638475839,619.8910991549917,527.8394179940267,790.8442213110695,658.416638475839,619.8910991549917,0.0,0.0,0.0,0.0,2470439.180132635,4025749.0038920073,3242320.8886588435,3014797.618448415,0.0,0.0,0.0,0.0,2470439.180132635,4025749.0038920073,3242320.8886588435,3014797.618448415,1363492.4525141402,1890459.5392955719,1611157.6918924109,1547930.9328876412,348123.4303559943,508152.6094593253,428121.3020048047,404133.6430421602,3718597.555667277,3959089.7586333607,3806670.8959288965,3802769.8267054064,420976.12665079767,425982.500889389,424369.14297407673,422728.3576343047,0.0,0.0,0.0,0.0,364378.22843541275,534409.77485145,444349.2306172817,423889.26968102576,2589216.841752129,2750244.2474395772,2635953.213256025,2645576.433742736,122308.11193931918,98375.53344054476,105374.07186911053,113931.70946474813,9058243.612386212,10377240.934502443,9627132.071391214,9519892.675126892,-6587804.432253577,-6351491.930610435,-6384811.182732371,-6505095.056678478,-36800471.65216477,-35520478.38835996,-35700372.361047864,-36352474.00983309,16.712333333333333,23.644,20.0115,19.138416666666664,7.0509987118985595,6.950207004566706,6.938163330172066,7.015721614332412,52.47520823097043,56.782363771499355,55.10330391246536,53.98271267015556,25227160.408115976,38550479.819661856,31657274.91213562,29890322.202157035,73.97812603715202,146.64987905498978,107.31911825683754,99.41323959339525,31.205229715003735,44.41301385971584,37.48144920018694,35.82795416565297,345883.6969261247,497747.3050877026,417519.45105307223,399035.95978267695,31.205229715003735,44.41301385971584,37.48144920018694,35.82795416565297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,345883.6969261247,497747.3050877026,417519.45105307223,399035.95978267695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,599.9825664647749,957.1556377770528,776.2346218727291,724.9931414240721,599.9825664647749,957.1556377770528,776.2346218727291,724.9931414240721,0.0,0.0,0.0,0.0,2815695.798465496,4887990.92272144,3832778.1592964483,3540999.091955076,0.0,0.0,0.0,0.0,2815695.798465496,4887990.92272144,3832778.1592964483,3540999.091955076,1465059.809540986,2154774.5753254676,1794244.5683724508,1706459.9775655544,382714.23553621914,593959.4933748714,487812.3513247588,456650.07577974745,3890939.469873449,4214412.699831579,4025401.66768748,4004155.1003587944,422784.6073577119,430046.70865004364,427254.8212301897,425326.342810028,0.0,0.0,0.0,0.0,401261.34413270536,647745.2336413284,519351.27203574014,487530.70546072343,2722930.1897754185,2959288.455688315,2809118.7825719975,2805655.5828449326,162115.16182117502,110573.1335755531,100454.05830829618,144075.45193520735,9597257.808193525,11366398.92271395,10366004.384660995,10216457.198275674,-6781562.009728028,-6478407.99999251,-6533226.225364547,-6675458.106320597,-43582033.661892794,-41998886.388352476,-42233598.586412415,-43027932.11615369,17.85,26.779333333333334,22.128,20.975266666666666,6.667122127479091,6.565199875860869,6.556809734644139,6.631449339412713,52.615445852547275,56.95347408044777,55.25967077735147,54.13375573231245,28673523.558067765,46640507.95144438,37327165.31709551,34961968.09574958,82.0415000902461,174.6918532833063,126.784454663298,114.46912370781718,34.03093953182789,53.050162090250026,43.22295071702772,40.68766742727564,380750.96911014384,604072.2703205018,487655.1583699156,458913.42453376914,34.03093953182789,53.050162090250026,43.22295071702772,40.68766742727564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380750.96911014384,604072.2703205018,487655.1583699156,458913.42453376914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,682.9910723086756,1159.9616459450529,912.4310395148119,849.9307730814077,682.9910723086756,1159.9616459450529,912.4310395148119,849.9307730814077,0.0,0.0,0.0,0.0,3214288.429015652,5943074.36303964,4519013.310419958,4169363.505924048,0.0,0.0,0.0,0.0,3214288.429015652,5943074.36303964,4519013.310419958,4169363.505924048,1583651.4665111199,2471687.1039642077,1996348.7322471035,1894463.9396197004,421391.2694251469,695132.0527570144,554217.482352925,517200.5435913005,4075805.3835852216,4484659.879591027,4244200.10665273,4218904.457187254,424861.9122055365,435016.6191992114,430603.6059661349,428416.05965332274,0.0,0.0,0.0,0.0,449475.5812446283,786097.6494580728,611546.6420373316,567293.3051193339,2864724.8521406064,3185293.417777561,2989982.5383107415,2976923.8501135404,122771.59116630229,124621.83547531815,87424.15223918574,123419.17667445785,10113279.155513095,12493299.767230067,11152960.07725184,10946286.369614035,-6898990.726497444,-6550225.404190425,-6633946.766831881,-6776922.863689987,-50481024.388390236,-48549111.7925429,-48867545.35324429,-49804854.97984366,19.139666666666667,30.486333333333334,24.447,23.111,6.308720215258059,6.205776696121213,6.200644456147943,6.272689983560163,52.756133882848886,57.125189357431644,55.41656212593321,54.285303298952854,32626581.02498112,56467410.73960322,43869451.32141264,40970871.42509885,93.48827745456927,211.5789994563133,145.82440386643535,134.82003015517967,37.66780442028393,63.22549155106355,50.20671825054643,46.61299491605679,426103.51188098587,733202.8995939945,575090.5410707226,533588.2975805389,37.66780442028393,63.22549155106355,50.20671825054643,46.61299491605679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426103.51188098587,733202.8995939945,575090.5410707226,533588.2975805389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,776.5134072880787,1405.4270436866507,1074.1821633832117,996.6331800275789,776.5134072880787,1405.4270436866507,1074.1821633832117,996.6331800275789,0.0,0.0,0.0,0.0,3664755.036272854,7222607.309234929,5334362.959057915,4910003.33180958,0.0,0.0,0.0,0.0,3664755.036272854,7222607.309234929,5334362.959057915,4910003.33180958,1710517.3733548273,2836642.354430437,2228204.664254963,2104661.1167312907,463312.6757690134,813543.5959833756,630425.08979121,585893.4978440402,4268219.484415664,4769869.085194861,4481931.1829630025,4443796.844688383,427213.2863353907,441034.72687880596,434595.6438574815,432050.79052558605,0.0,0.0,0.0,0.0,509337.15442721575,955222.0438215615,720787.5151574786,665396.8657152368,3012687.062189161,3428606.660754172,3184401.352728111,3158258.9216869147,154264.65397064298,171967.44111779484,135081.25748912073,160460.62947214613,10740042.707570063,13794643.759763716,12097169.339827865,11809153.075837841,-7075287.67129721,-6572036.450528785,-6762806.380769949,-6899149.744028262,-57556312.05968746,-55121148.24307168,-55630351.734014235,-56704004.72387193,20.519666666666666,34.715333333333334,27.0815,25.488149999999997,5.974443762799912,5.87141499451462,5.868956463711349,5.938383693900059,52.89727395008544,57.29751196635114,55.57397992279483,54.43735725577844,37089885.278640606,68356105.21017663,51632777.43568748,48033062.25467822,104.65386769717101,255.04355746246154,171.7330105326283,157.2902591150227,42.16063553289637,75.2549857696673,58.17401330129495,53.743658115766195,483173.687502923,891461.1544559462,677854.2625243214,626074.3009364812,42.16063553289637,75.2549857696673,58.17401330129495,53.743658115766195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483173.687502923,891461.1544559462,677854.2625243214,626074.3009364812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,882.645830774259,1700.7505964029483,1263.4665765855223,1168.9824987443003,882.645830774259,1700.7505964029483,1263.4665765855223,1168.9824987443003,0.0,0.0,0.0,0.0,4177650.9680672004,8767875.134624166,6291802.510746739,5784229.426362138,0.0,0.0,0.0,0.0,4177650.9680672004,8767875.134624166,6291802.510746739,5784229.426362138,1851978.884698377,3259077.1256873403,2489111.6216144497,2344463.269044514,509566.76675036683,951654.2174026184,716381.2071824007,664297.3744786549,4467635.579650928,5071544.424785893,4738604.039456876,4679003.675448166,429882.04595232377,448284.72001949674,439251.2170327805,436322.98187583435,0.0,0.0,0.0,0.0,579317.6296349564,1159826.6641770941,850138.8773618026,782495.7917247046,3168183.338152342,3688105.142089128,3391973.2073488813,3350155.9695302173,114622.85789846287,117071.51137215232,131576.34649199652,115479.88661425418,11342893.020442823,15154159.735556498,13089408.154713398,12676836.37073261,-7165242.05237562,-6386284.600932334,-6797605.643966662,-6892606.944370469,-64721554.11206307,-61507432.844004005,-62427957.377980895,-63596611.668242395,22.031333333333333,39.55733333333333,30.009,28.165433333333333,5.664807959597702,5.561102574861585,5.560518719980755,5.628511074940061,53.038867688873204,57.47044428100578,55.73192614047618,54.589919496119606,42154670.23170757,82711094.77490607,60690105.360548474,56349418.82182704,117.50111534307838,305.7422711674191,199.93773401246156,183.38551988159765,47.290269476097755,89.25285486297993,67.32993882411517,61.97717436150651,549942.3507991869,1083391.0963852394,800154.4438586872,736649.4117543052,47.290269476097755,89.25285486297993,67.32993882411517,61.97717436150651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,549942.3507991869,1083391.0963852394,800154.4438586872,736649.4117543052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
