month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan,adds_organic_cons,adds_organic_opt,adds_organic_med,adds_organic_plan,adds_paid_cons,adds_paid_opt,adds_paid_med,adds_paid_plan,marketing_spend_cons,marketing_spend_opt,marketing_spend_med,marketing_spend_plan
1,258.11550482614786,296.0292361301589,279.59977047587125,271.38531078255176,258.11550482614786,296.0292361301589,279.59977047587125,271.38531078255176,0.0,0.0,0.0,0.0,1219160.1098444846,1464393.2326898037,1353109.4536017454,1304991.7028403464,0.0,0.0,0.0,0.0,1219160.1098444846,1464393.2326898037,1353109.4536017454,1304991.7028403464,893838.8403648179,979410.745498593,940995.7949556329,923789.0071616392,200179.54856935065,226594.61286116735,216000.61942041118,209424.82107148648,2873338.385733411,2900322.3500265623,2905487.0966771194,2882782.773236014,411823.1135160741,415988.97318584536,414538.6906838147,413281.1644004941,0.0,0.0,0.0,0.0,308835.563720325,313687.8954478241,311481.0686845182,310533.87982494966,1906373.3582710593,1905562.1315144494,1957292.0431220904,1906089.4289062456,123706.36497334392,95619.6523884684,140864.80716569128,113876.0155686375,6782460.24923948,6913755.549601774,6957852.1985223275,6828413.604366282,-5563300.139394995,-5449362.31691197,-5604742.7449205825,-5523421.901525936,-5563300.139394995,-5449362.31691197,-5604742.7449205825,-5523421.901525936,11.142333333333333,12.425666666666666,11.8655,11.5915,9.150812124498968,9.073659645047305,9.074960246768926,9.123808756690886,52.7557182364515,55.104991068350905,54.02024947382944,53.57796372761629,12195544.888027053,14478015.672798017,13490248.937897427,12994409.66269689,35.342254881299915,54.75158179129653,45.924274738072775,42.13551929979873,27.626808063429827,27.686837390422617,27.658437606197456,27.647818327877303,300000.0,300000.0,300000.0,300000.0
2,302.8912052940854,364.3678586794402,337.2188965972226,324.40803397895957,302.8912052940854,364.3678586794402,337.2188965972226,324.40803397895957,0.0,0.0,0.0,0.0,1433971.0313899694,1807878.5837104155,1636504.291381508,1564838.6747021256,0.0,0.0,0.0,0.0,1433971.0313899694,1807878.5837104155,1636504.291381508,1564838.6747021256,985068.8034140919,1123265.735687877,1061271.1160801107,1033437.7297099167,226801.56099082326,269164.7267263879,251389.58625633718,241628.66899827088,3037839.8681470547,3092619.391343761,3087196.9239976197,3057012.701265902,412944.4087187182,417661.79408140323,415949.223262625,414595.493595658,0.0,0.0,0.0,0.0,311320.46174921235,320925.5873344199,315921.6973263161,314682.255704035,2031535.6831303088,2066431.0929167368,2106004.871602798,2043749.0765555585,148967.37649133726,132093.9028314074,170968.75655187498,143061.66071036182,7230195.195041772,7516677.401425942,7494838.262496426,7330463.96727623,-5796224.163651802,-5708798.817715527,-5858333.971114918,-5765625.292574106,-11359524.303046798,-11158161.134627497,-11463076.7160355,-11289047.194100043,12.274666666666667,14.273333333333333,13.3855,12.9742,8.744772770142877,8.663795795880171,8.66607278177046,8.71643082915093,52.89746687630932,55.269793919100486,54.174542699752514,53.72778134128623,14305286.86660622,17816645.216961395,16271248.747502934,15534262.289230533,42.24083410972831,67.70030951955232,56.282824573977585,51.151650503166714,27.663855423355063,28.014083203471476,27.79360011836657,27.78643514639581,300760.2532217803,304000.50995453185,301850.9911828217,301894.3430782433
3,351.41186101197025,444.48705516231365,401.92123752063907,383.9881789645905,351.41186101197025,444.48705516231365,401.92123752063907,383.9881789645905,0.0,0.0,0.0,0.0,1667857.2377900067,2212179.187516588,1956021.5521269664,1858369.9201943101,0.0,0.0,0.0,0.0,1667857.2377900067,2212179.187516588,1956021.5521269664,1858369.9201943101,1072033.3438527083,1281929.508997023,1180817.1134154864,1145497.0016532186,254286.62102155059,317001.4029133105,289112.9253082877,276236.79468366655,3200901.3285081,3300992.499656568,3280867.336427269,3235933.238410064,414171.28312948387,419614.1709260861,417529.87838789664,416076.29385829467,0.0,0.0,0.0,0.0,315942.447385278,340127.36523231684,326799.70070896315,324407.1686317416,2154068.5466340105,2232204.0263610347,2255292.082620019,2181415.964538469,83906.64693867054,128026.9910094037,190643.8039233249,99348.76736342715,7583392.266604736,8135529.076349902,8044038.89289331,7776640.150015544,-5915535.02881473,-5923349.888833313,-6088017.340766342,-5918270.229821235,-17275059.331861526,-17081511.02346081,-17551094.05680184,-17207317.423921272,13.329666666666666,16.263666666666666,14.891,14.356566666666666,8.308520677304234,8.22410694136733,8.227658006177606,8.278975869726317,53.03967391280157,55.435173887275006,54.32935466590184,53.87809890386727,16596337.642604746,21728489.28940057,19390519.961381163,18392590.718983285,49.04119805446677,83.38201218876833,66.87130117944395,61.06048300147231,27.884282708721013,29.315377203305776,28.477963070074278,28.38516578182568,303682.1478716613,319281.8621851248,310081.8754141022,309142.04788137355
4,404.0343470999763,538.1855795588814,475.3384321936042,450.9872784605931,404.0343470999763,538.1855795588814,475.3384321936042,450.9872784605931,0.0,0.0,0.0,0.0,1922507.8240165974,2687669.969622767,2319971.8021659167,2190314.5749787567,0.0,0.0,0.0,0.0,1922507.8240165974,2687669.969622767,2319971.8021659167,2190314.5749787567,1159112.1177157636,1455828.2939941222,1312938.813298826,1262962.779413189,282499.6187632462,370495.83942146786,330211.77859701787,313298.2959936238,3360939.25127269,3509735.8832077472,3462718.56028343,3413018.07244996,415485.85958202474,421891.9488401281,419327.9329978164,417727.9908223609,0.0,0.0,0.0,0.0,324921.0427572799,379090.5415246221,349215.65076238645,343880.36732584966,2275103.3096247497,2402963.5148711563,2407696.9385226816,2319854.381460992,150881.3770237361,134420.55045873462,89580.99877606992,145120.0877259856,8070491.450267517,8814894.807492547,8493849.688229378,8331032.625296278,-6147983.626250919,-6127224.837869779,-6173877.886063462,-6140718.05031752,-23423042.95811245,-23208735.861330587,-23724971.94286531,-23348035.474238798,14.357333333333333,18.390666666666668,16.4955,15.769000000000002,7.869257741985767,7.7817803936971055,7.7872183245375926,7.838640670084736,53.182341019323985,55.601133211129444,54.48468731293674,54.02891828645589,19073948.637787856,26293987.678506155,22939456.712249458,21600962.30203926,56.167219401496155,99.98590874276691,78.74568059582819,71.50376067094092,28.468088562919167,32.27923872733694,30.117715135696702,29.801991120465388,310879.2379069058,354094.0643389305,329529.23061342945,326004.42715811444
5,462.54318581293353,649.4625476492739,561.0791697739558,527.9649624556527,462.54318581293353,649.4625476492739,561.0791697739558,527.9649624556527,0.0,0.0,0.0,0.0,2206899.198652715,3254693.2408214714,2747849.284163973,2573627.1134117795,0.0,0.0,0.0,0.0,2206899.198652715,3254693.2408214714,2747849.284163973,2573627.1134117795,1253105.3797037648,1653466.7337769037,1458808.5299321618,1393231.8536293635,312591.0280625764,431436.0516211193,376576.70623732795,354186.78630806645,3527534.451414341,3731762.7396896267,3657093.0213408186,3599014.352310691,416966.6464736572,424602.2978194489,421408.29125718295,419639.1244446843,0.0,0.0,0.0,0.0,342048.9882165711,441177.9299518455,387666.23078910465,376744.1178239171,2398269.250486613,2584417.9351629727,2568047.1338459672,2463421.290123339,112656.81904676254,143505.99718039762,94028.6269663092,123454.03139353482,8479747.603834948,9580433.720286263,9108350.474316338,8864987.744592909,-6272848.405182233,-6325740.479464793,-6360501.190152365,-6291360.631181128,-29695891.363294676,-29534476.34079538,-30085473.13301767,-29639396.10541992,15.423,20.768666666666668,18.2295,17.293983333333333,7.442466342789142,7.3523546173774275,7.359771669504941,7.410927238895042,53.3254698759323,55.76767413824632,54.64054258935472,54.18024136774221,21830702.946359403,31712150.38650738,27088481.023245383,25289209.550411195,64.41895798429736,119.43714030925769,93.18420166511392,83.67532179803348,29.717909802870807,37.10072172981455,33.04927050087049,32.30189397730112,325944.24872049683,411318.64487453114,364370.18037282623,355825.28737440886
6,528.4809337314891,786.0223859422232,662.0507732962072,618.6204420052461,528.4809337314891,786.0223859422232,662.0507732962072,618.6204420052461,0.0,0.0,0.0,0.0,2528964.294006307,3953265.660390138,3252617.249001773,3027469.772240648,0.0,0.0,0.0,0.0,2528964.294006307,3953265.660390138,3252617.249001773,3027469.772240648,1351614.4337644945,1885976.1709984897,1623806.270492906,1538641.0417963928,345226.69557651656,504106.2004988276,429184.77295027673,400834.52229932544,3698439.198254704,3963157.4408811308,3864280.346889798,3791090.5831739535,418618.8549062799,427937.9432660654,423861.7962173258,421880.5358322048,0.0,0.0,0.0,0.0,370115.41101457784,526776.8008593896,445597.53782684985,424946.89746026194,2525937.943197937,2781609.6104627755,2737404.1347620385,2615423.0267406306,111888.89007385533,106981.44751202257,176575.1952063144,110171.28517721387,8955438.134878682,10403135.995634114,9872109.888417881,9462132.386143083,-6426473.840872375,-6449870.335243978,-6619492.639416109,-6434662.613902437,-36122365.20416705,-35984346.67603936,-36704965.77243378,-36074058.71932236,16.539,23.538,20.167,18.98865,7.035877010885317,6.943566063551471,6.952566428292809,7.003568179318471,53.46906216937024,55.93479892557676,54.79692245152496,54.33207003404252,24947019.375301957,38354655.426634066,31943784.957855973,29639691.993268196,73.43022174778086,145.0949168949898,109.68541451074695,98.512865049304,31.863232959998452,43.65440002294279,37.531743612332164,35.99014143202897,351757.8555776327,490503.07163564203,418176.18419916317,400318.68119793595
7,602.1599442517726,949.8958591773395,781.0173519589312,723.867514475721,602.1599442517726,949.8958591773395,781.0173519589312,723.867514475721,0.0,0.0,0.0,0.0,2889614.725785337,4795315.774524789,3851154.359186844,3556610.0928441454,0.0,0.0,0.0,0.0,2889614.725785337,4795315.774524789,3851154.359186844,3556610.0928441454,1454990.1412210332,2147421.9027753575,1809634.9147868599,1697341.2577650468,380452.772480291,588138.1277699227,489230.7364885879,453142.64683166216,3874090.256274589,4215090.288554718,4087100.965895097,3993440.267572634,420453.79338041256,431927.675628477,426754.91994149267,424469.65216723515,0.0,0.0,0.0,0.0,409610.2004667107,636781.4936223001,521657.9995035855,489120.153071167,2657095.792974836,2990836.030783227,2916256.7284637345,2773904.8762077726,132688.26452589562,87707.94507566579,116651.81418869206,116945.15271831518,9482063.665961606,11348539.485952593,10570287.60269595,10135330.202958452,-6592448.94017627,-6553223.711427803,-6719133.243509105,-6578720.110114306,-42714814.144343324,-42537570.38746716,-43424099.01594289,-42652778.82943667,17.696,26.628,22.317,20.822200000000002,6.653305327256734,6.559017580334886,6.569790692952158,6.620304615834087,53.613119593098126,56.10250983948158,54.95382886372202,54.48440617933234,28415915.662444137,46329991.84418526,37672140.368746415,34685842.32605353,82.33241007442209,173.1549988372805,128.0596893951015,114.12031614142252,34.93757935833361,51.96283248860191,43.384870453369714,40.89641795392751,389027.0979481053,593492.74391298,489643.0771548101,460590.0740358114
8,687.287590541426,1152.2773900990733,922.6109362777637,850.0340203866025,686.2589484197508,1149.424306625212,920.5545765438314,848.3668237916622,1.0286421216751513,2.8530834738613153,2.0563597339321906,1.6671965949403087,3311450.212576858,5846457.051685208,4571265.141046348,4198702.60626478,0.0,0.0,0.0,0.0,3311450.212576858,5846457.051685208,4571265.141046348,4198702.60626478,1573241.2624852518,2464341.436857382,2028392.991704489,1885126.3235154971,419457.4160645222,689388.9583184917,558500.1938401606,513933.45585341146,4061127.3096751994,4492417.128557991,4329037.809882371,4212078.746284177,422584.6276209073,436856.8869495821,430191.3025112548,427579.9183859435,13666.639717857557,25595.042434275452,16419.05354362031,17841.58066860382,460371.802411566,771985.5611576833,615584.2527759682,569436.617972707,2795343.2161562513,3221166.333169118,3107551.421707167,2944381.307110755,159241.72783959584,239082.5006068932,229929.3560053382,187185.99830814992,10080045.93926686,12646444.606954424,11556616.268993549,10978285.472957507,-6768595.726690001,-6799987.555269214,-6985351.127947199,-6779582.866692726,-49483409.871033326,-49337557.94273637,-50409450.14389009,-49432361.6961294,18.996666666666666,30.329,24.822,22.962983333333334,6.29552021856094,6.199906815825318,6.212062905140157,6.262055527603472,53.797083258005614,56.334816530583176,55.152180466975786,54.685289903407764,32558987.28582029,56680260.83758692,44818720.35421666,41001433.02893861,93.37198494881267,210.44193084824414,149.89240297172665,134.34646601361368,38.78387146892879,61.62222051310479,50.32393662880862,46.77729363439039,437028.80617436284,719375.0784456222,578111.1520330366,535850.0014693036
9,797.6380945986224,1411.4951806869208,1104.080628690573,1012.4880747295268,781.260265227583,1385.264195127387,1082.6042208863585,992.6616406925143,16.377829371039493,26.230985559534098,21.47640780421431,19.826434037012604,3904265.821592505,7256786.166897934,5550326.689806389,5077647.942449406,0.0,0.0,0.0,0.0,3904265.821592505,7256786.166897934,5550326.689806389,5077647.942449406,1728310.2154166792,2860217.3931613914,2299083.4139447366,2124477.7276273286,470739.76749470585,816516.323327527,646057.481811375,591761.5620361932,4325449.610917618,4869895.77346216,4651380.000271388,4516005.767808207,425325.4893011314,443157.7732432017,434544.28697553836,431566.788680856,163352.93315409907,206640.02824942916,181668.3075680821,178503.4164374646,525044.5489712927,940864.2579886802,730441.1582217665,670581.4471273783,2962656.112566294,3480566.332874366,3330867.5983513035,3143924.6896741195,945842.1693406143,1162436.7806822567,960920.4283368933,1021650.2833101891,11753013.360558964,15159570.379827505,13527632.48105138,12945308.317302953,-7848747.538966462,-7902784.21292957,-7977305.79124499,-7867660.3748535495,-57332157.40999979,-57240342.15566594,-58386755.935135074,-57300022.07098295,20.723333333333333,34.918,27.9315,25.691466666666667,5.964088773706624,5.868535774862599,5.882144632816586,5.930645224111215,54.438751639179884,56.99069188447999,55.81956590882208,55.33193072503492,40020704.93855856,72867248.80910915,56395808.59600331,51516995.29325127,108.8713553584565,255.56333550649873,178.59413022868907,160.21354841027127,42.79359195781735,71.71557994288902,57.36372365611129,52.91628775259243,497826.71013167856,876973.4241120556,685792.6256645941,630528.0600248105
10,936.7394358920399,1741.7251213820894,1331.5980433228847,1218.4844258135572,888.9927141129494,1664.6755880075966,1272.3484611928543,1160.481719976076,47.746721779090585,77.04953337449254,59.24958213003038,58.00270583748127,4689203.411757602,9127174.622221733,6817570.12334573,6242493.335420048,0.0,0.0,0.0,0.0,4689203.411757602,9127174.622221733,6817570.12334573,6242493.335420048,1940840.4676656784,3367179.2150155627,2648422.8304103967,2440059.029238138,534593.804200925,973178.4305628611,753332.0734509771,688098.4234276027,4665700.628657927,5344451.358567743,5052455.540444567,4903263.384126362,428769.94765321177,451241.18644090573,440095.876746713,436634.88122890465,458854.37673869927,567616.5369247783,458705.6355592605,496921.13280382694,618325.0976185678,1167688.9826191603,886961.0521507325,810602.4573687752,3153157.311715987,3771471.4594320883,3578958.5835173205,3369567.2634166228,1492601.3070076937,1938882.361887984,1605222.2164821743,1648799.6762157953,13540802.827932414,18058756.47411465,15783639.176814962,15122086.604096197,-8851599.41617481,-8931581.851892916,-8966069.053469233,-8879593.268676147,-66183756.8261746,-66171924.00755886,-67352824.9886043,-66179615.339659095,23.024,40.663333333333334,31.818,29.197766666666666,5.674050298902236,5.5757837818409195,5.591682869732765,5.639657017930775,55.48282047501362,58.01452839789479,56.751964641217505,56.36891824802203,51445315.48364913,96737587.25550279,72794827.93033262,67297610.60379791,129.57548895665533,316.68423033788173,217.5626436975449,195.06354844008456,47.33618922618314,82.33893917824813,65.26346529434306,59.58715170940589,585931.2253794039,1088517.92503469,832570.3912263463,761836.5702587541
