month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan,adds_organic_cons,adds_organic_opt,adds_organic_med,adds_organic_plan,adds_paid_cons,adds_paid_opt,adds_paid_med,adds_paid_plan,marketing_spend_cons,marketing_spend_opt,marketing_spend_med,marketing_spend_plan,adds_paid_ind_cons,adds_paid_ind_opt,adds_paid_ind_med,adds_paid_ind_plan,adds_paid_uk_cons,adds_paid_uk_opt,adds_paid_uk_med,adds_paid_uk_plan,adds_paid_us_cons,adds_paid_us_opt,adds_paid_us_med,adds_paid_us_plan,spend_ind_cons,spend_ind_opt,spend_ind_med,spend_ind_plan,spend_uk_cons,spend_uk_opt,spend_uk_med,spend_uk_plan,spend_us_cons,spend_us_opt,spend_us_med,spend_us_plan
1,258.51603551375797,296.13632324864056,283.2470107490927,271.68313622096684,258.51603551375797,296.13632324864056,283.2470107490927,271.68313622096684,0.0,0.0,0.0,0.0,1216683.6835927644,1468782.6239136395,1370406.6336175413,1304918.3127050707,0.0,0.0,0.0,0.0,1216683.6835927644,1468782.6239136395,1370406.6336175413,1304918.3127050707,911571.1567207628,962473.641846385,949322.4713606386,929387.0265147305,204408.13004062796,223604.10515546863,221036.9239881856,211126.7213308222,2887050.950285306,2900997.267861998,2879019.0202463153,2891932.161437148,413776.4630993311,412504.46087854105,418648.2663642037,413331.26232205454,0.0,0.0,0.0,0.0,308858.85598363815,313626.7332309958,311643.51755128393,310527.6130202133,1924921.109189406,1901621.0042971885,1899111.6395729047,1916766.07247713,130203.41160881096,117435.61196020446,95263.54290441428,125734.68173179869,6845086.055620482,6908957.436199812,6846019.924221282,6867441.038823247,-5628402.3720277175,-5440174.812286174,-5475613.290603741,-5562522.726118177,-5628402.3720277175,-5440174.812286174,-5475613.290603741,-5562522.726118177,11.377666666666666,12.210666666666667,11.9915,11.669216666666667,9.159646420181527,9.06448276085013,9.072120288761292,9.126339139415538,52.65903226163993,55.25521912221647,54.01753567899453,53.56769766284172,0.0,0.0,0.0,0.0,35.435423934552645,54.50693292398312,46.574070205135676,42.11045208085331,27.623602468567395,27.688904016673565,27.65100384867005,27.646458010404555,300000.0,300000.0,300000.0,300000.0,27.623602468567395,27.688904016673565,27.65100384867005,27.646458010404555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,300000.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,303.1277892768953,364.1516036756664,340.67496876326356,324.4861243164652,303.1277892768953,364.1516036756664,340.67496876326356,324.4861243164652,0.0,0.0,0.0,0.0,1429894.5370427952,1811513.8428242526,1652982.4508819066,1563461.2940663053,0.0,0.0,0.0,0.0,1429894.5370427952,1811513.8428242526,1652982.4508819066,1563461.2940663053,1004870.7222441934,1102871.1674516234,1070337.20203797,1039170.8780667939,231533.33886560274,265499.1174137299,256525.09432992907,243421.36135744725,3050692.622065619,3094558.9919465343,3064639.1652339953,3066045.8515239395,414900.3184298225,414178.42489441996,420098.3365233049,414647.6556924316,0.0,0.0,0.0,0.0,311247.68478469504,320964.30368482566,316017.82123114634,314648.50139974075,2051082.3354223978,2061804.4254822934,2040844.4885922095,2054835.0669433614,112992.133466979,123148.73524045206,149813.89582103692,116546.94408769457,7252882.814139882,7477605.548751968,7405100.715746204,7331535.771254113,-5822988.277097086,-5666091.705927717,-5752118.264864298,-5768074.477187807,-11451390.649124805,-11106266.51821389,-11227731.555468038,-11330597.203305986,12.532666666666668,14.015666666666666,13.522,13.051716666666668,8.754551848946672,8.654185351217551,8.666017176664093,8.71942357474148,52.79876801738207,55.42188520811449,54.17429049805609,53.716859034138416,0.0,0.0,0.0,0.0,42.08225651057972,67.33508197786742,56.328830858644714,50.920745424130416,27.657256219712536,28.028123872055982,27.79168292227153,27.787059898032744,300727.1206570501,304130.5331903588,301935.61351648514,301918.31504370813,27.657256219712536,28.028123872055982,27.79168292227153,27.787059898032744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300727.1206570501,304130.5331903588,301935.61351648514,301918.31504370813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,351.36041819413333,444.26466165506156,405.1866956238133,383.8769034054582,351.36041819413333,444.26466165506156,405.1866956238133,383.8769034054582,0.0,0.0,0.0,0.0,1661567.1849300072,2216380.0842454643,1971751.6111500547,1855751.699690417,0.0,0.0,0.0,0.0,1661567.1849300072,2216380.0842454643,1971751.6111500547,1855751.699690417,1094399.7302794987,1258599.5502581305,1192453.9511017485,1151869.66727202,259404.50761521823,312734.48778887425,294607.06584055873,278070.0006759978,3217183.434237047,3303264.977228363,3249097.5217618807,3247311.9742840077,416125.95350385405,416141.92794387136,421733.6814043233,416131.5445578601,0.0,0.0,0.0,0.0,315691.0833128839,339879.21117375605,326813.0013771472,324156.92806418915,2174627.393794529,2227478.013127626,2182941.526126277,2193125.110561113,92564.58910690698,115328.21407266792,150435.15818547382,100531.8578449233,7657827.7589557525,8089134.10667864,7921667.301877897,7808784.980658762,-5996260.574025745,-5872754.022433174,-5949915.690727842,-5953033.280968345,-17447651.223150548,-16979020.540647063,-17177647.246195883,-17283630.484274328,13.617333333333333,15.977333333333334,15.047,14.443333333333335,8.319138460002431,8.21396555071653,8.229782235723404,8.282327941752365,52.938950861323015,55.58914012422587,54.33158031505129,53.866517103339014,0.0,0.0,0.0,0.0,48.850882837787864,83.3878227735564,67.10794631636777,60.93881181530685,27.86194806479393,29.297143432389944,28.462533244068034,28.364266443452536,303478.3626034369,319032.25548036693,310036.0147980552,308922.2251103624,27.86194806479393,29.297143432389944,28.462533244068034,28.364266443452536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303478.3626034369,319032.25548036693,310036.0147980552,308922.2251103624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,403.7415258770322,538.5779998276896,479.01669511297615,450.9342917597623,403.7415258770322,538.5779998276896,479.01669511297615,450.9342917597623,0.0,0.0,0.0,0.0,1913992.7459643758,2696089.148941632,2337967.0200610296,2187726.4870064156,0.0,0.0,0.0,0.0,1913992.7459643758,2696089.148941632,2337967.0200610296,2187726.4870064156,1185174.088772636,1428900.0720615885,1325502.5997753777,1270478.1829237693,288122.4152394282,366032.25032410224,336237.2342304865,315390.85751906416,3376344.8892514408,3511548.360713052,3426681.4651576504,3423666.104263005,417439.61773118784,418440.0754962565,423609.31504601834,417789.7779489618,0.0,0.0,0.0,0.0,324656.63494661957,379377.4551613971,349931.05205920996,343808.9220217917,2297148.2905046022,2399613.1192390034,2328910.854058406,2333010.9805616424,120156.10077315204,127916.70062185697,107258.2261715174,122872.31072019877,8110231.506448524,8772571.959434768,8420964.606689697,8342050.664993709,-6196238.760484149,-6076482.810493136,-6082997.586628668,-6154324.177987294,-23643889.9836347,-23055503.351140197,-23260644.83282455,-23437954.662261624,14.682666666666666,18.070666666666668,16.655,15.868466666666666,7.880749638782027,7.771189551228852,7.791045001822024,7.842403608138416,53.07958240859895,55.75698617307204,54.48940715671204,54.01667372616453,0.0,0.0,0.0,0.0,55.810577783850825,100.45104817252509,79.19386566279373,71.43474241988682,28.447376180961495,32.30049193135731,30.155757396422167,29.79596669360003,310703.9905006569,354264.69311826595,330132.58564351144,325950.23641682003,28.447376180961495,32.30049193135731,30.155757396422167,29.79596669360003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,310703.9905006569,354264.69311826595,330132.58564351144,325950.23641682003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,462.30938794077895,650.6442139804444,565.1201584137988,528.2265770546619,462.30938794077895,650.6442139804444,565.1201584137988,528.2265770546619,0.0,0.0,0.0,0.0,2197741.5027881986,3268579.261917121,2766854.308978446,2572534.7184833214,0.0,0.0,0.0,0.0,2197741.5027881986,3268579.261917121,2766854.308978446,2572534.7184833214,1282780.577349558,1625176.3136141172,1473687.1670677036,1402619.0850421537,318956.2256079558,426783.9944126371,383109.4047789886,356695.94468959427,3542037.1972858543,3735399.5143956374,3624804.034884517,3609714.008274278,418927.2975701292,421179.5785136473,425764.5927741455,419715.59590036055,0.0,0.0,0.0,0.0,341477.40648254234,442356.18470718066,389606.8149573539,376784.97886116576,2422613.5905166827,2581898.8918676763,2482140.4676312082,2478363.4459895305,129965.95705684467,161847.86274295507,106058.6139078343,141124.6240469833,8572962.65781246,9565259.243988309,9030552.859453352,8920266.462974006,-6375221.15502426,-6296679.982071187,-6263698.550474906,-6347731.744490685,-30019111.138658956,-29352183.33321139,-29524343.38329946,-29785686.40675231,15.790666666666667,20.436666666666667,18.418,17.416766666666668,7.454842468379402,7.341414997234547,7.364967727514866,7.415142853478702,53.22066428070522,55.92542566684055,54.64777305804194,54.16733076585258,0.0,0.0,0.0,0.0,64.54195355611787,120.13092209539776,93.32706703626317,83.99809254486584,29.65963117250657,37.19513597985191,33.19358045850741,32.29705785507744,325341.9180935129,412323.45418333117,366275.0481982881,355785.45572494925,29.65963117250657,37.19513597985191,33.19358045850741,32.29705785507744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325341.9180935129,412323.45418333117,366275.0481982881,355785.45572494925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,528.1950643880099,787.2444040126757,667.0497541533314,618.8623332566428,528.1950643880099,787.2444040126757,667.0497541533314,618.8623332566428,0.0,0.0,0.0,0.0,2518345.934451183,3968878.090206037,3275686.8036573334,3026032.188965382,0.0,0.0,0.0,0.0,2518345.934451183,3968878.090206037,3275686.8036573334,3026032.188965382,1384476.7541767824,1851686.6624020815,1642504.3784294405,1548000.2220556373,352436.3284868206,498647.5723949264,436733.26948480355,403610.26385465765,3713972.641156779,3970054.8535310426,3830866.8549024966,3803601.4154877714,420587.60177161184,424547.0158554483,428341.9268949901,421973.39670095465,0.0,0.0,0.0,0.0,369188.0855314409,528582.5033680563,448220.26802715263,424976.1317742563,2551679.968562169,2778753.177009944,2645582.227494116,2631155.59151889,109263.75354708238,97757.67074544347,179124.5189902853,105236.62456650875,9034770.342315665,10357214.356615288,9783539.91853528,9497625.747320533,-6516424.407864481,-6388336.266409251,-6507853.114877944,-6471593.558355151,-36535535.54652344,-35740519.59962064,-36032196.4981774,-36257279.965107456,16.94,23.142666666666667,20.4065,19.110933333333335,7.049095418248858,6.932265796361403,6.959145237622792,7.0082050505882485,53.36219810552302,56.09446092742793,54.80668006235201,54.31849009318974,0.0,0.0,0.0,0.0,73.46374170598844,144.842328767694,110.41390208141978,98.44624717758538,31.773950261903625,43.8237698935339,37.711549566428495,35.99138713297422,350822.15010494384,492371.92117613286,420616.7925067977,400364.56997986,31.773950261903625,43.8237698935339,37.711549566428495,35.99138713297422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350822.15010494384,492371.92117613286,420616.7925067977,400364.56997986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,601.8799858429074,951.9160863478388,786.6970413538943,724.3926210196335,601.8799858429074,951.9160863478388,786.6970413538943,724.3926210196335,0.0,0.0,0.0,0.0,2877717.1352075553,4816242.899585136,3876665.7378189373,3556201.1527397083,0.0,0.0,0.0,0.0,2877717.1352075553,4816242.899585136,3876665.7378189373,3556201.1527397083,1492381.0819216254,2110627.7877510726,1830556.6683004582,1708767.428961932,388615.93560177565,582326.6730500839,497800.4552266565,456414.69370868354,3892376.1629903438,4218981.778786082,4053067.9792795456,4006688.128518852,422429.8223251121,428573.9975180697,431364.3815237129,424580.28364264726,0.0,0.0,0.0,0.0,408275.7284642613,639138.0312834396,525095.405062871,489077.5344509737,2685153.807488639,2988824.99506954,2818210.856407618,2791438.7231419543,105301.87041795209,107412.16400455538,120490.24362028894,106040.47317326324,9546752.249021601,11327333.122213554,10480373.658897985,10169955.554638784,-6669035.113814047,-6511090.22262842,-6603707.921079048,-6613754.401899077,-43204570.660337485,-42251609.82224906,-42635904.41925645,-42871034.36700654,18.145666666666667,26.203333333333333,22.5865,20.96585,6.66707592767943,6.547362615242016,6.577406921415994,6.625176268326335,53.504185517346144,56.264094286482546,54.966130221296496,54.47015358654389,0.0,0.0,0.0,0.0,82.3304761252211,173.60776441833715,128.76603560031384,114.27752702781171,34.81081664707139,52.16832246010785,43.620167816552645,40.88594368163415,387693.109432956,595736.0901788555,492903.8961627927,460508.15269402077,34.81081664707139,52.16832246010785,43.620167816552645,40.88594368163415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,387693.109432956,595736.0901788555,492903.8961627927,460508.15269402077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,687.8359404016801,1153.78883981973,928.4219837467607,850.9194551979975,686.4568118613507,1152.0465609648454,926.6551495105028,849.4132240475739,1.3791285403294247,1.7422788548845558,1.7668342362580027,1.5062311504237207,3303043.607435434,5863824.987119004,4595874.588958027,4199317.090324683,0.0,0.0,0.0,0.0,3303043.607435434,5863824.987119004,4595874.588958027,4199317.090324683,1616866.5686134396,2419124.546302243,2049144.5610610675,1897656.8608045208,429273.0269714215,681897.4155389818,567741.723371233,517691.5629700676,4082892.62392972,4493631.44156181,4282249.877757891,4226651.210100952,424594.4902008268,433504.1783755976,434945.69818291615,427712.88106199657,17156.686192081062,14335.67772184369,13199.29381380405,16169.333227497984,459272.14114519756,775758.7974459276,620235.2619364869,570042.470850453,2827420.314972246,3219015.59910104,3002254.2596974457,2964478.664417324,191013.48445795084,189186.97359702064,212145.27213098918,190374.20565662527,10223234.499875853,12532606.576575521,11423566.275866993,11031514.726720735,-6920190.89244042,-6668781.589456517,-6827691.686908966,-6832197.636396054,-50124761.5527779,-48920391.411705576,-49463596.10616542,-49703232.00340259,19.515333333333334,29.814,25.092,23.119866666666667,6.309752106232993,6.187829359553881,6.220447412899804,6.267079144895304,53.69638080363271,56.4679646510399,55.17336715312759,54.666435150225226,0.0,0.0,0.0,0.0,93.93232341976706,210.30660148910084,150.68583422188277,134.66332074403388,38.61019325270266,61.96932318973586,50.602899661946914,46.785888730664276,435386.26061697374,722482.928319057,581838.5848330746,535870.0943127029,38.59658099526417,61.9482773070224,50.585436137217314,46.769674704379554,0.013612257438485851,0.021045882713455377,0.017463524729600607,0.016214026284725184,0.0,0.0,0.0,0.0,434299.39253346744,720826.5031377337,580446.0035290868,534583.8812449606,1086.8680835062278,1656.425181323327,1392.5813039878142,1286.2130677422124,0.0,0.0,0.0,0.0
9,798.794925666475,1414.8706585312962,1113.1837747591271,1014.4214321691625,781.7490656188323,1389.8573113606512,1091.698222329313,994.586951628469,17.04586004764263,25.013347170644778,21.485552429814074,19.834480540693384,3894090.1407961827,7286444.76513692,5593030.144182237,5081414.25931544,0.0,0.0,0.0,0.0,3894090.1407961827,7286444.76513692,5593030.144182237,5081414.25931544,1780985.6343736493,2812850.5628495445,2328703.6239241306,2142138.3593402123,482378.94745179295,809193.5106320943,657512.7114519455,596764.0445648985,4345633.277812651,4874756.849917599,4598731.403274842,4530826.528049383,427365.3844110583,439895.23285304627,439564.0540862494,431750.831365754,172427.63397482777,190326.17509879608,177984.2600938639,178692.12336821668,529507.4860111154,954461.2050121092,743101.3661913413,678241.2876614633,2997332.4543084526,3481089.71777669,3220830.7955912207,3166647.496522336,940697.9125344848,1112771.6466941498,964942.8032879594,1000923.7194903676,11882410.716084952,15055618.205644574,13425492.368543142,12993033.33743082,-7988320.575288768,-7769173.440507655,-7832462.224360905,-7911619.078115378,-58113082.128066674,-56689564.85221323,-57296058.33052632,-57614851.081517965,21.346666666666668,34.38766666666667,28.304,25.91101666666667,5.979483901604666,5.855193615901572,5.890899127442004,5.935982301608583,54.325841725397886,57.120964534274364,55.850167747448126,55.30413470850465,0.0,0.0,0.0,0.0,109.37336037690673,257.22472558877564,181.8916067920546,161.12133820106084,42.62075789707212,72.10172078851032,57.61260929609182,52.93909490907549,496615.23965581955,879574.2663785969,689433.4746815648,630650.8990087917,42.45076441707254,71.75676548572632,57.359648696474615,52.707864791101365,0.169993479999571,0.3449553027839928,0.25296059961719797,0.23123011797411863,0.0,0.0,0.0,0.0,483059.81378375686,852149.3207737077,669000.0153902185,612241.1412302396,13555.425872062619,27424.94560488912,20433.459291346226,18409.757778551895,0.0,0.0,0.0,0.0
10,936.6023145924343,1746.6974612358547,1343.2762576870684,1220.1356159176314,889.2620788913256,1671.4029300199945,1281.3720116173067,1163.0113767863597,47.34023570110855,75.2945312158598,61.90424606976222,57.12423913127149,4665531.28664111,9167381.751736702,6881142.065300522,6241178.949424567,0.0,0.0,0.0,0.0,4665531.28664111,9167381.751736702,6881142.065300522,6241178.949424567,1997194.3280030987,3313022.1416997947,2690628.8815477453,2457734.062796942,547184.3056865549,964881.8812618196,766511.3023029948,693378.4571378975,4685675.899967719,5350235.81316209,5014562.150488498,4918271.869585749,430809.1847845997,448088.15332594275,445398.3159050556,436856.8237740698,462974.9372197427,555099.0901741495,466774.43457240437,495218.39075378503,632057.867553817,1203929.192150889,916957.6283010374,832212.8311627922,3188997.91151014,3772174.1507489975,3460235.591405648,3393109.59524374,1458590.9680271407,1857607.5188777908,1717093.6317433019,1598246.7608248682,13650474.271062937,17943479.5468847,15840000.097173057,15153026.117600553,-8984942.984421829,-8776097.795147995,-8958858.031872531,-8911847.168175988,-67098025.11248851,-65465662.64736123,-66254916.36239885,-66526698.24969396,23.680666666666667,40.071333333333335,32.33,29.4174,5.690135210582614,5.562572686862765,5.6015000677935,5.645488327280667,55.34331090143936,58.12112583899901,56.81944158764377,56.31554612958524,0.0,0.0,0.0,0.0,129.2086309200062,318.2222946973995,218.9895506955458,195.36341324209383,47.2004579407419,82.83777349506005,65.4080459855502,59.67351838475325,584408.4203490266,1092966.714770538,838954.5216273355,762403.8233965556,46.61312657919967,81.54604123736036,64.50966153262742,58.83964670955591,0.5873313615422301,1.2917322576996857,0.8983844529227814,0.8338716751973395,0.0,0.0,0.0,0.0,537141.2618078849,988896.970178572,766068.6122716902,695255.7597376254,47267.15854114163,104069.74459196591,72885.90935564518,67148.06365893013,0.0,0.0,0.0,0.0
