month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan
1,220.2101097273063,272.7261470925936,252.51602705258026,238.59072280515684,220.2101097273063,272.7261470925936,252.51602705258026,238.59072280515684,0.0,0.0,0.0,0.0,1027307.2113685904,1360755.0197445136,1222057.8459162654,1144013.9443001635,0.0,0.0,0.0,0.0,1027307.2113685904,1360755.0197445136,1222057.8459162654,1144013.9443001635,800045.750338608,908128.923353427,879641.1958777499,837874.8608937947,173030.59238820363,204986.9803291707,197782.6988379218,184215.32816754212,2784287.9749995936,2825915.245180368,2760691.3266738234,2798857.5195628647,414049.1958608186,402366.1536251218,411162.58312756155,409960.13107832475,0.0,0.0,0.0,0.0,42088.68627785181,72878.07496594092,60346.34046869137,52864.972318682994,1807747.1261723214,1801389.6059510002,1764367.1997334557,1805521.9940948589,102615.9741703628,80978.41652594016,81787.87780220057,95042.82899481487,6177854.256602506,6368061.901376243,6220285.7992431205,6244426.932273313,-5150547.045233916,-5007306.881631729,-4998227.953326855,-5100412.987973151,-5150547.045233916,-5007306.881631729,-4998227.953326855,-5100412.987973151,9.903666666666666,11.462333333333333,10.984,10.4492,9.159748706140968,9.097763989284397,9.063450541907569,9.138054055241168,52.22750324264799,55.60502826323391,54.16879741466727,53.40963699985306,0.0,0.0,0.0,0.0
2,231.37364420426076,312.0106828539112,278.60056267630006,259.5966077316384,231.37364420426076,312.0106828539112,278.60056267630006,259.5966077316384,0.0,0.0,0.0,0.0,1081177.7130025974,1560533.6807436794,1350947.4056636305,1248952.301711976,0.0,0.0,0.0,0.0,1081177.7130025974,1560533.6807436794,1350947.4056636305,1248952.301711976,811261.612907519,981888.1072055807,922962.9326279295,870980.8859118405,175580.81449344472,226511.2128192631,210748.41002821721,193406.45390748116,2860428.921133375,2968665.466508967,2869675.509987703,2898311.712014832,414343.7154020069,403320.9781595304,411821.9516587397,410485.75736714015,0.0,0.0,0.0,0.0,44569.890892143594,83474.28887701064,67394.8395178324,58186.43018684706,1846045.2111237817,1896029.8858481369,1833781.9173057938,1863539.847277306,80219.52444603288,127900.33328594481,133313.87304437777,96907.80754000205,6289270.40551693,6769718.430027725,6521013.202961246,6457427.214095708,-5208092.692514332,-5209184.749284048,-5170065.797297615,-5208474.912383732,-10358639.737748249,-10216491.630915776,-10168293.75062447,-10308887.900356883,9.953666666666667,12.364666666666666,11.472,10.797516666666667,8.751784589785355,8.686497177569759,8.659241887352342,8.728933995509896,52.370340631992335,55.76822557561312,54.325735001214326,53.55960036225961,0.0,0.0,0.0,0.0
3,243.8031680907971,357.77505962181505,307.72487055714674,283.6933301266534,243.8031680907971,357.77505962181505,307.72487055714674,283.6933301266534,0.0,0.0,0.0,0.0,1141380.8719183416,1793447.0812452205,1495208.0588864542,1369604.0451827492,0.0,0.0,0.0,0.0,1141380.8719183416,1793447.0812452205,1495208.0588864542,1369604.0451827492,819879.496404818,1060246.5420059818,967018.8512520986,904007.9623652253,178822.1462208683,250720.07009073568,224793.6340749476,203986.4195753219,2936378.988016088,3109027.70226419,2982362.8738075625,2996806.0380029236,414665.7362692345,404438.1696324993,412547.0447448978,411086.0879463772,0.0,0.0,0.0,0.0,46798.73412014089,96289.99739379625,75278.62688965518,64120.676265920265,1886996.4405479622,1998155.780887507,1906131.314876574,1925902.2096668028,120006.07322361237,98720.34809041016,132013.1642466116,112556.0694269916,6463548.12228845,7111756.914303138,6779093.429101393,6690421.199493591,-5322167.250370108,-5318309.833057918,-5283885.370214939,-5320817.154310841,-15680806.988118358,-15534801.463973694,-15452179.120839408,-15629705.054667726,9.964,13.302333333333333,11.9605,11.132416666666668,8.313812894893964,8.245292151119385,8.224570660803478,8.28983063457286,52.51364536082134,55.93198712813423,54.48320819590864,53.71006497938086,0.0,0.0,0.0,0.0
4,257.2145802313988,410.8104985765799,340.91635503334635,310.9731516522122,257.2145802313988,410.8104985765799,340.91635503334635,310.9731516522122,0.0,0.0,0.0,0.0,1206544.675146297,2064616.9276516489,1659967.6008599652,1506869.9635231702,0.0,0.0,0.0,0.0,1206544.675146297,2064616.9276516489,1659967.6008599652,1506869.9635231702,828206.2064676406,1144888.5085545199,1013476.8158147458,939045.0121980483,182373.86628271904,277939.6179696125,240503.22168915498,215821.87937313173,3015858.545012493,3257328.6680586007,3099075.1001100647,3100373.088078631,415008.53062530723,405729.9190553958,413371.4608405789,411761.01657583826,0.0,0.0,0.0,0.0,49663.5170436423,111071.35033636726,83747.38455721393,71156.25869609603,1929301.7521913287,2106671.992420922,1984647.2436212397,1991381.3362716865,132902.88926990522,115386.646960175,151554.25141567618,126772.20446149964,6616753.09611048,7527430.920465983,7074024.471934013,6935490.334634906,-5410208.420964183,-5462813.992814333,-5414056.871074048,-5428620.371111736,-21091015.40908254,-20997615.456788026,-20866235.991913456,-21058325.42577946,9.970666666666666,14.306333333333333,12.457,11.488150000000001,7.873141139769058,7.801882164055909,7.787589067044372,7.848200498269456,52.657419147370845,56.09631508428462,54.64121903388247,53.86103272529067,0.0,0.0,0.0,0.0
5,272.4883356726003,472.78317221082597,378.25199268943805,342.59152846097925,272.4883356726003,472.78317221082597,378.25199268943805,342.59152846097925,0.0,0.0,0.0,0.0,1280297.6680913542,2381236.5023717918,1844977.402532926,1665626.2600895073,0.0,0.0,0.0,0.0,1280297.6680913542,2381236.5023717918,1844977.402532926,1665626.2600895073,837981.4860497647,1239317.6334786774,1063958.3237100895,978449.1376498842,186800.31535884293,309146.9593842932,257853.55848341878,229621.6407677505,3098972.8024076335,3422643.6970605543,3214786.558799033,3212257.615536156,415401.84670632833,407232.0124251738,414314.49830481026,412542.40470792423,0.0,0.0,0.0,0.0,53601.26260977244,129325.29196338085,93621.6364246774,80104.67288353539,1975062.3590147486,2222980.792942606,2066026.1759290877,2061833.8108894988,128869.76099420631,149748.23879938372,104464.36591810673,136177.2282260184,6764000.233631078,8005430.434222367,7312413.770288629,7198500.8038380295,-5483702.565539723,-5624193.931850575,-5467436.367755703,-5532874.543748521,-26574717.974622265,-26621809.3886386,-26333672.35966916,-26591199.969527982,9.998,15.406333333333333,12.984,11.890916666666666,7.444942647016263,7.371258537695261,7.362654121789683,7.419153208753912,52.80166371674368,56.26121161647179,54.7997695586191,54.012505481648525,0.0,0.0,0.0,0.0
6,288.98251595862337,544.3585907335674,419.9416002838289,378.3641421298538,288.98251595862337,544.3585907335674,419.9416002838289,378.3641421298538,0.0,0.0,0.0,0.0,1360363.1730060773,2748385.1266261763,2052065.1474896003,1846170.856773112,0.0,0.0,0.0,0.0,1360363.1730060773,2748385.1266261763,2052065.1474896003,1846170.856773112,848805.530680866,1345565.2059349227,1118830.4970531627,1022671.4170197858,191577.1905563695,343933.51718183194,276835.9903518032,244901.90487528133,3180940.48356236,3586442.902091534,3343721.285370117,3322866.330047571,415829.26987930585,408945.5470035794,415386.94052957726,413419.9668728016,0.0,0.0,0.0,0.0,56718.795644741935,149804.60994843638,104137.9045612311,89298.83065103498,2022853.5746096885,2346531.837460057,2151272.4239755794,2136140.9666073173,101107.1870801687,118665.37739243712,139228.80968584545,107252.55368946266,6889365.018958343,8444197.084863076,7657740.770470271,7433556.242024999,-5529001.845952267,-5695811.958236899,-5605675.622980671,-5587385.385251888,-32103719.820574526,-32317621.346875507,-31939347.98264983,-32178585.35477987,10.034666666666666,16.625,13.57,12.341283333333333,7.037315832387,6.961463447069202,6.957736354946169,7.010767497525771,52.94638080093901,56.42667890606223,54.958861821989025,54.16448513773214,0.0,0.0,0.0,0.0
7,306.9558601050187,627.0653046255958,467.57048609474816,418.99416568722063,306.9558601050187,627.0653046255958,467.57048609474816,418.99416568722063,0.0,0.0,0.0,0.0,1447417.9483466847,3173277.74457936,2288613.47596014,2051468.8770281211,0.0,0.0,0.0,0.0,1447417.9483466847,3173277.74457936,2288613.47596014,2051468.8770281211,860105.9884454879,1461878.1505506353,1177906.7252867494,1070726.2451822895,196912.08087615037,382978.54149793537,297913.428131871,262035.3420937751,3268509.187428356,3768855.301935897,3486461.8888600366,3443630.3275059955,416287.9490486557,410950.3888961795,416580.5821302307,414419.802995289,0.0,0.0,0.0,0.0,60280.64300905162,172937.63338993862,116763.75328110544,99710.58964236206,2073197.4992009364,2477373.8624633094,2243449.9077382153,2214659.226342767,104204.53653427174,118603.41045344547,91431.27312095478,109244.14240598254,7055635.256037698,8960185.44980058,7951290.528606064,7722227.823854707,-5608217.307691013,-5786907.705221222,-5662677.052645924,-5670758.9468265865,-37711937.128265545,-38104529.052096725,-37602025.035295755,-37849344.30160646,10.079,17.954333333333334,14.192,12.835366666666667,6.653568006395552,6.5759560370402665,6.577056838810006,6.6264038171212025,53.091572138881546,56.59271914342037,55.118497884286484,54.316973590470134,0.0,0.0,0.0,0.0
8,326.8947439249376,721.8785212064955,520.1048081771864,465.13906597348284,326.8947439249376,721.8785212064955,520.1048081771864,465.13906597348284,0.0,0.0,0.0,0.0,1544088.7727350302,3661987.4008943397,2550840.235104732,2285353.2925907886,0.0,0.0,0.0,0.0,1544088.7727350302,3661987.4008943397,2550840.235104732,2285353.2925907886,873338.817519124,1593096.1484072807,1243195.896256958,1125253.883329979,202828.12312556806,426008.1033423422,320458.11002890446,280941.116201439,3364375.134674867,3947585.92132781,3625142.4437010814,3568498.910003397,416798.60927729163,413254.0662195167,417908.48189255217,415558.01920707047,0.0,0.0,0.0,0.0,64772.957956490376,198440.02249276478,129860.7603540164,111556.43054418641,2126515.5866966117,2614201.3752389895,2338416.714172973,2297205.612686444,141590.15396104194,130975.65851954719,135448.31319747563,137875.08055651878,7271466.888812795,9515865.637190837,8345094.1928554615,8057006.45074511,-5727378.116077765,-5853878.236296496,-5794253.957750728,-5771653.158154321,-43439315.24434331,-43958407.28839322,-43396278.99304648,-43620997.45976078,10.147333333333334,19.426333333333332,14.8685,13.394983333333332,6.294622741801318,6.216156008529576,6.220769565679856,6.267159385156209,53.237239476451094,56.759334527947686,55.278679814266006,54.4699727444749,0.0,0.0,0.0,0.0
9,347.94296930403283,832.5141750484935,578.6232974622492,517.542891314594,347.94296930403283,832.5141750484935,578.6232974622492,517.542891314594,0.0,0.0,0.0,0.0,1646786.2453894399,4233705.609304709,2843081.7107786383,2552208.022759784,0.0,0.0,0.0,0.0,1646786.2453894399,4233705.609304709,2843081.7107786383,2552208.022759784,887800.2833892972,1739312.7326597888,1309660.418613263,1185829.640633969,208843.4549797274,475104.85027270444,344677.77465847647,302034.9433322693,3463299.528287834,4150910.9521056046,3772176.8616943886,3703963.5266240537,417335.3810488756,415916.2699589938,419357.91971889185,416838.69216741703,0.0,0.0,0.0,0.0,69402.67213897716,232309.43649019505,144497.74424128825,126420.0396619034,2180997.170652469,2759701.7298773592,2437162.8887756406,2383543.766381181,125662.3182910011,69172.19420368588,140651.080885143,105890.77486044077,7440006.763160508,10064764.55178822,8718280.152004132,8358671.989180207,-5793220.517771069,-5831058.942483513,-5875198.441225493,-5806463.966420424,-49232535.76211437,-49789466.23087673,-49271477.43427198,-49427461.4261812,10.224333333333334,21.059,15.566,14.016466666666666,5.960985065278054,5.88127520996257,5.889435714063959,5.9330866159176345,53.38338456651214,56.926527268122086,55.43940968917924,54.62348451207562,0.0,0.0,0.0,0.0
10,370.97035267354346,960.7836414736995,643.6105492943702,577.4050037535981,370.97035267354346,960.7836414736995,643.6105492943702,577.4050037535981,0.0,0.0,0.0,0.0,1758806.8247051535,4897065.697741664,3167693.333118076,2857197.430267932,0.0,0.0,0.0,0.0,1758806.8247051535,4897065.697741664,3167693.333118076,2857197.430267932,903122.2845974441,1903350.6268395614,1386839.775295762,1253202.2043821851,215459.41260170937,529832.8909314529,370909.1016076833,325490.1300171196,3561602.869461629,4360793.713407186,3917376.3173315534,3841319.664842574,417935.501665019,419019.6321273942,420985.40628627024,418314.9473268504,0.0,0.0,0.0,0.0,74359.47818061119,270280.69225025695,160764.41356897177,142931.9031049872,2237641.619015468,2914550.108340686,2539158.3284610766,2474559.590279294,132923.9297717692,136065.6704154066,152537.2996316183,134023.53899704228,7635618.626642896,10791053.445880374,9115792.480054934,8740020.813376013,-5876811.801937741,-5893987.748138709,-5948099.146936858,-5882823.383108079,-55109347.56405213,-55683453.97901544,-55219576.58120883,-55310284.809289284,10.315333333333333,22.884,16.3525,14.714366666666667,5.651567391858311,5.570593677819431,5.582561950052088,5.623226591944703,53.53000916894353,57.094299581537356,55.600689594811904,54.77751081335137,0.0,0.0,0.0,0.0
