month,adds_organic_mean,adds_paid_mean,marketing_spend_mean,users_mean
1,45.18494758591129,27.655235734997877,300000.0,277.88821696193224
2,55.186585819831166,27.824442848670564,302240.91450771777,334.57382335004735
3,66.21415103065189,28.508105205588112,310465.16567547666,398.77439719352265
4,78.64019854159442,30.175388388619567,330235.45269990835,472.486808983183
5,92.74474458313934,33.19069869881191,366107.4638700881,558.0774547255709
6,108.97184181883871,37.603223793750125,419252.2530476681,658.7518105319286
7,128.3520128201814,43.31735545526809,489411.2689321789,777.8790301146574
8,150.82940568398922,50.268599283096556,576949.1993411215,919.1004633432768
9,177.81848855092352,58.43854562719619,683007.7005756637,1086.6987168972198
10,208.18330362547357,67.86858417319588,810087.7837519287,1283.9742105359044
11,242.72853462915552,78.57419776202939,960453.9490983194,1514.8331552061422
12,285.81394437690057,90.58749104689684,1137009.8019309323,1788.0130038580924
13,334.38028832754907,104.11786718836795,1346734.6271343036,2108.47725993933
14,387.7101464741264,119.21618757524797,1593833.9856542735,2481.094076422434
15,451.0217234640739,135.92761571330115,1882946.5388764625,2915.8294452433033
16,522.3806640431925,154.46284837162278,2223395.0036895173,3419.38301150527
17,604.1961743212738,174.93962329553258,2621854.504721088,4001.6907913905516
18,697.9762209487129,197.47590410474942,3088400.5811407035,4672.581458706024
19,797.6954308482052,222.25909920934126,3633351.9099730095,5437.179371251447
20,909.3730179055393,249.25610653439713,4264451.740994319,6305.426650288656
21,1026.5462614426167,278.26590517788895,4993517.764100098,7278.764844042844
22,1161.4347201526136,308.7607404830951,5824269.807470357,8371.862452441357
23,1299.71255476993,340.57223190444006,6770928.490591515,9586.384782246223
24,1447.225983302305,373.36963132888496,7838721.796175495,10927.06064603925
25,1611.5124381109013,406.36113704688705,9034187.681937942,12408.085065269464
26,1779.3248279002487,439.48148845189706,10371338.216319803,14026.386879019994
27,1942.2535663848482,471.86702580767235,11850739.655742548,15772.778275042605
28,2115.476054548631,503.0668992848905,13466642.254510626,17651.877326832913
29,2292.646215839979,532.910941565955,15225174.459534068,19663.66198836766
30,2466.3499935971863,561.0086333571462,17131296.684860088,21796.978763868206
31,2643.104330635989,588.1669369074493,19174127.07629778,24055.70167151825
32,2814.1043381570107,614.5031938583916,21362046.723070472,26430.39813157469
33,2965.6131152223193,640.5482288281211,23691535.552708704,28892.323731848835
34,3137.743415386556,666.6871686058684,26140376.19363427,31464.501362788636
35,3291.6089832727785,693.9427889823165,28733992.796104997,34123.22855565685
36,3443.983398218539,720.6645330651238,31460138.834746014,36867.38220870568
37,3595.376946344715,747.1119706022882,34318851.91193684,39694.55426855373
38,3722.45242747854,772.5186351661414,37314771.49216098,42574.67224960571
39,3855.057748710829,796.8008872839899,40419387.462201975,45514.99513131348
40,3979.805922328099,819.9590189291771,43646147.1272387,48499.9662834762
41,4102.2341168475705,841.6653457711617,46981696.010066345,51527.86031316733
42,4207.306612872657,861.3567110539063,50425991.45382626,54578.624797239056
43,4344.901283138097,879.5429298766475,53959551.915295236,57690.438373936966
44,4448.04510567086,895.6216011633378,57617114.43607251,60825.47924569421
45,4558.178911252118,909.2467487785924,61366505.27740762,63977.925963156435
46,4649.831097088302,920.6953562692527,65198576.02279671,67132.02800744084
47,4758.063713540318,929.4796073653031,69101265.29697406,70294.37276842353
48,4825.738308931872,935.6773334540652,73078683.02292334,73439.73656394613
49,4919.447685938704,939.0500828066833,77104641.96930505,76584.42790765215
50,4986.00714926295,939.7805218497597,81179103.27552876,79701.43654340014
51,5043.558436485212,939.1676566419821,85278913.54948,82785.53512178226
52,5123.225915617837,937.6822081982393,89402504.15325212,85849.68326833747
53,5170.03326664606,935.552029254504,93549880.08411455,88877.56331791382
54,5215.523773046073,932.6336656473924,97709987.40764783,91854.72901933397
55,5264.34995967509,929.2082560382939,101863240.35212317,94797.54914883566
56,5316.27955692562,925.2763352648496,106021760.79553233,97691.50150464338
57,5334.34090558796,921.0717042429077,110168277.4618646,100511.61515894474
58,5350.644281157106,916.6244645832766,114267291.05786648,103276.65792621642
59,5355.071735849586,911.9416684982207,118339177.46629694,105959.8932068097
60,5385.022591866152,907.21191212504,122354435.96308139,108599.3751866705
