month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan
1,219.98201648745933,275.7155136218569,253.4465836460412,239.48874048449846,219.98201648745933,275.7155136218569,253.4465836460412,239.48874048449846,0.0,0.0,0.0,0.0,1034556.7083711281,1369903.6014416136,1228153.5814403868,1151928.120945798,0.0,0.0,0.0,0.0,1034556.7083711281,1369903.6014416136,1228153.5814403868,1151928.120945798,802970.0703524855,927795.3867175058,876674.6428887314,846658.9310802426,172332.04962630032,210109.22649128636,195509.0501612451,185554.06152904543,2814970.8059908827,2824440.65070374,2769411.414535347,2818285.2516403827,414555.49793080345,403683.6215017575,411646.55447976704,410750.34118063736,0.0,0.0,0.0,0.0,42451.456961484146,74037.53662459098,60686.26640181516,53506.58484357154,1822011.176147929,1803526.7958437563,1787088.339728759,1815541.6430414687,127409.10544801471,105226.44412878335,106973.12059505911,119645.17398628374,6251531.615203883,6420448.837905452,6272703.718039234,6310652.643149432,-5216974.906832754,-5050545.236463838,-5044550.136598849,-5158724.522203634,-5216974.906832754,-5050545.236463838,-5044550.136598849,-5158724.522203634,9.917333333333334,11.717333333333332,10.91,10.547333333333334,9.172982288669036,9.129761579058437,9.05125260420874,9.157855040305327,52.59548837402952,55.37903527562382,54.21123521090745,53.56972978958753,10604663.7263338,13501771.472716603,12097551.79331509,11618651.437567782
2,231.35335475359332,315.9333545404818,278.9379495334917,260.9563546790043,231.35335475359332,315.9333545404818,278.9379495334917,260.9563546790043,0.0,0.0,0.0,0.0,1090280.5821391346,1573693.6566700332,1354543.2882594704,1259475.1582249491,0.0,0.0,0.0,0.0,1090280.5821391346,1573693.6566700332,1354543.2882594704,1259475.1582249491,813607.4315028923,1007229.7221216313,919819.8290226278,881375.2332194508,174923.13011372017,232487.36274775644,207771.14082316618,195070.61153563287,2887984.4054964725,2961904.0279686223,2873108.682568697,2913856.273361725,414844.5023126715,404666.1418693494,412302.30009407114,411282.07615750877,0.0,0.0,0.0,0.0,45074.694416719576,84890.83349163472,66270.17413799917,59010.343092939875,1859971.8928179818,1899783.9641737645,1855636.8299277124,1873906.1177925058,191453.16281627034,103614.072380652,133318.1389343212,160709.48116380392,6445642.466376253,6776895.905432756,6539616.308907262,6561581.17004603,-5355361.884237119,-5203202.248762723,-5185073.020647791,-5302106.011821081,-10572336.791069875,-10253747.48522656,-10229623.15724664,-10460830.534024715,9.956333333333333,12.674,11.38,10.907516666666666,8.764302867919081,8.716841279765928,8.645563295608754,8.747691312065477,52.738370781349744,55.541721664002786,54.3668876378058,53.719543590278306,11143856.569635216,15477365.988207366,13303777.622034848,12660584.866135469
3,244.37621895949988,363.166017385288,307.23555973406053,285.9526484085257,244.37621895949988,363.166017385288,307.23555973406053,285.9526484085257,0.0,0.0,0.0,0.0,1154095.1127725216,1812909.7093235047,1495257.4563384326,1384680.2215653658,0.0,0.0,0.0,0.0,1154095.1127725216,1812909.7093235047,1495257.4563384326,1384680.2215653658,824442.4629413356,1089478.4465804666,960614.6458138288,917205.0572150315,178531.76081412233,258194.23579033604,221019.64437723573,206413.62705579714,2968635.9178143605,3106418.1671833396,2986210.5373709407,3016859.705093503,415176.4853132264,405823.4398332095,413026.0770498958,411902.91939522047,0.0,0.0,0.0,0.0,48324.972938984465,98426.76132823082,73638.13750307041,65860.59887522069,1901916.023142578,2004203.3877456016,1928262.765684187,1937716.6007536363,103761.82976421971,127285.60314108658,117502.70578313488,111995.15044612312,6501975.592946147,7184694.122319148,6779068.784233332,6740927.078226697,-5347880.480173625,-5371784.412995644,-5283811.327894899,-5356246.856661331,-15920217.2712435,-15625531.898222206,-15513434.485141538,-15817077.390686046,10.000666666666667,13.654,11.815,11.279333333333334,8.325519714612053,8.274180486001116,8.210217285566934,8.307550984598224,52.88171789218626,55.704970832428025,54.5230686858233,53.86985642127088,11766794.093817785,17781874.118478965,14647186.138252446,13872072.102449197
4,258.0851736100797,417.4521967731614,338.9557108994401,313.86363171715834,258.0851736100797,417.4521967731614,338.9557108994401,313.86363171715834,0.0,0.0,0.0,0.0,1221224.9674044545,2088801.9108627702,1652958.0011607502,1524876.897614865,0.0,0.0,0.0,0.0,1221224.9674044545,2088801.9108627702,1652958.0011607502,1524876.897614865,833033.6908532693,1180550.808087289,1002853.6671965341,954664.6818851762,182105.95952965703,286431.34610522,235534.34628587717,218619.84483110404,3051437.0371963303,3257880.10029164,3097765.651611571,3123692.1092796884,415523.25836068153,407146.1319572889,413826.6952391942,412591.2641194941,0.0,0.0,0.0,0.0,50805.966285587696,113283.5400774305,81184.1849627021,72673.11711273267,1944083.1359430344,2114090.695388889,2004661.2260789222,2003585.7817490837,153422.6223551582,133472.50749961595,104606.36095646063,146440.0821557184,6695164.62342084,7602152.321087855,7027575.346462464,7012610.317604296,-5473939.656016384,-5513350.410225085,-5374617.345301714,-5487733.419989429,-21394156.92725988,-21138882.30844729,-20888051.830443252,-21304810.810675476,10.005,14.720333333333333,12.2625,11.655366666666666,7.88406699526479,7.828991923028302,7.7725041915576405,7.864790719982019,53.02553140796831,55.86878494203678,54.67978035662186,54.02067014489228,12428792.288177582,20422059.19356059,16150946.404144881,15226435.705061633
5,273.38796498489825,479.6471033304492,374.11789310251714,345.5786634058411,273.38796498489825,479.6471033304492,374.11789310251714,345.5786634058411,0.0,0.0,0.0,0.0,1296205.8643526877,2406112.504426051,1827973.7925124536,1684673.1883783648,0.0,0.0,0.0,0.0,1296205.8643526877,2406112.504426051,1827973.7925124536,1684673.1883783648,842753.7158819402,1274586.0022454916,1047434.492175091,993895.0161091832,186361.22891811593,317843.83733216627,250921.4706293229,232380.14186303352,3133228.182991092,3413795.983945279,3213981.744883644,3231426.9133250574,415916.13608770736,408655.27103598975,414710.68038806313,413374.83331960614,0.0,0.0,0.0,0.0,54511.540574548264,129960.07728280159,89965.38089332993,80918.52842243694,1990216.1518018988,2229439.2310080472,2084017.2944104539,2073944.2295240508,128859.4868694274,117301.30143130998,71366.79586998188,124814.1219660863,6820557.250604696,8017518.83457653,7268761.9332689,7239493.804994837,-5524351.386252007,-5611406.3301504785,-5440788.140756447,-5554820.616616473,-26918508.313511893,-26750288.638597768,-26328839.9711997,-26859631.427291952,10.026666666666667,15.821666666666667,12.723,12.054916666666667,7.45560240586323,7.396775086590586,7.346869584699265,7.4350128441178045,53.16981303690311,56.03316616289415,54.83702466004681,54.17198663099997,13160340.23462941,23456021.345051173,17806457.88386398,16763828.623277025
6,290.05831310734635,553.3051811765821,413.5379917633798,382.19471693157885,290.05831310734635,553.3051811765821,413.5379917633798,382.19471693157885,0.0,0.0,0.0,0.0,1378186.022340297,2782604.837398807,2024476.1071475602,1869732.6076107756,0.0,0.0,0.0,0.0,1378186.022340297,2782604.837398807,2024476.1071475602,1869732.6076107756,852521.6815112346,1384753.2270746068,1094751.9974502989,1038802.722458415,191145.93533590983,354210.2771058016,268034.15874751454,248218.45495537197,3220147.2563499007,3588320.7035477962,3344432.1371684154,3349007.962869164,416340.20518191194,410456.07769083604,415719.5022335852,414280.76056003536,0.0,0.0,0.0,0.0,58016.30153445505,152055.6733711046,100132.53007977898,90930.0816772824,2037872.3580316594,2354427.221685937,2167439.03943414,2148666.5603106567,141342.02165186836,80179.72665190292,209395.83027022504,119935.21840188047,6990422.974195234,8470095.175062617,7706639.443049349,7508308.244498817,-5612236.951854939,-5687490.337663809,-5682163.335901788,-5638575.636888043,-32530745.26536683,-32437778.976261575,-32011003.307101484,-32498207.06417999,10.054333333333334,17.087333333333333,13.2115,12.515883333333335,7.0471573935129515,6.984936104794633,6.941466230978219,7.02537994246154,53.31456449400468,56.198116674031866,54.994803614162095,54.323807757014194,13962863.18087236,27044275.953536693,19677766.38468254,18541357.65130488
7,307.8183298629384,637.6311259533345,459.1429877773508,423.25280849457704,307.8183298629384,637.6311259533345,459.1429877773508,423.25280849457704,0.0,0.0,0.0,0.0,1465398.4415124487,3214892.1430182043,2252212.866331048,2077721.2370394631,0.0,0.0,0.0,0.0,1465398.4415124487,3214892.1430182043,2252212.866331048,2077721.2370394631,862612.4810368996,1507589.2964358153,1149708.6201614805,1088354.36642652,196080.5437192969,394274.3828201925,287565.2588596073,265448.38740461034,3308807.0425236793,3764422.106529495,3478175.1842998248,3468272.3149257144,416791.97871043603,412522.0904308442,416865.0071172464,415297.51781257894,0.0,0.0,0.0,0.0,61446.56602747939,175641.56908070366,113051.40623513292,101414.81709610789,2087011.4393004125,2485816.0526231034,2257374.5159887616,2226593.0539633543,155146.21137869317,106918.42454330754,118073.56438735787,138266.4859863082,7165566.047663076,9015520.58466591,7939574.571636429,7813050.135614067,-5700167.606150627,-5800628.441647707,-5687361.70530538,-5735328.898574606,-38230912.87151746,-38238407.41790929,-37698365.01240687,-38233535.9627546,10.081,18.47833333333333,13.7845,13.020066666666665,6.662321655814389,6.597945954934165,6.559916877094223,6.63979016050631,53.45978750112257,56.36363866348746,55.153119245286,54.47613540795028,14823045.94258011,31149077.583789684,21832905.339362264,20537157.01700346
8,327.71073169214793,735.6514189178191,508.3528722296969,470.48997222113286,327.71073169214793,735.6514189178191,508.3528722296969,470.48997222113286,0.0,0.0,0.0,0.0,1563345.792939614,3718170.303285797,2498769.4813716193,2317534.371560778,0.0,0.0,0.0,0.0,1563345.792939614,3718170.303285797,2498769.4813716193,2317534.371560778,876327.764055567,1643151.5562038056,1206636.5202132622,1144716.0913074506,201797.4514569772,439396.9089660031,307930.56593018485,284957.2615851363,3410032.5199926756,3951026.8526892266,3614388.1646521157,3599380.5364364684,417302.7540500353,414909.29961183923,418127.68794483517,416465.0449966667,0.0,0.0,0.0,0.0,66522.25370058848,203873.0901323691,123016.8912712216,114595.04645171169,2138796.1728128158,2625002.23338306,2348768.1574067124,2308968.2940124013,131447.31807083602,124514.5273747057,162720.58473630494,129020.8413271904,7325089.3326503625,9596593.679752031,8313361.860095036,8120115.854135946,-5761743.539710749,-5878423.376466233,-5814592.378723417,-5802581.482575169,-43992656.4112282,-44116830.79437552,-43512957.391130276,-44036117.44532976,10.146666666666667,20.004666666666665,14.359,13.596966666666667,6.302963334990879,6.236639646488191,6.203639786089631,6.279750044014937,53.605483786971,56.52973432834347,55.31197358802668,54.62897147645137,15773978.800098978,35933426.936272085,24159352.8449811,22829785.647759564
9,348.8831000930429,847.8679602537248,564.6131496705958,523.5278011492816,348.8831000930429,847.8679602537248,564.6131496705958,523.5278011492816,0.0,0.0,0.0,0.0,1667718.151096852,4295845.709353456,2780826.1252936525,2587562.7964866636,0.0,0.0,0.0,0.0,1667718.151096852,4295845.709353456,2780826.1252936525,2587562.7964866636,891092.0555932841,1794746.1611340675,1269306.0183453923,1207370.9925325583,207747.78881125117,489381.11551570887,330869.52658161154,306319.4531578113,3506182.453346583,4150093.878373848,3757315.5858081663,3731551.4521061257,417847.0795492908,417682.9418996277,419545.6299578271,417789.6313719087,0.0,0.0,0.0,0.0,70373.17188448127,234958.66179130337,140089.7286951083,127978.093351869,2192874.440791692,2771905.6440941677,2447946.8703449816,2395535.361947559,172195.2262327126,179117.661810028,125483.681876924,174618.07868477298,7546703.373806977,10262938.973891059,8637257.857108317,8497385.833836405,-5878985.222710123,-5967093.264537603,-5856431.731814665,-5909823.037349741,-49871641.633938335,-50083924.05891313,-49369389.12294494,-49945940.482679516,10.229333333333333,21.697333333333333,15.0105,14.243133333333333,5.9683912949736575,5.90077374219578,5.8718896343620495,5.9447251515014,53.75165508715787,56.69640587476693,55.47136868531822,54.78231786282104,16788876.39227152,41402740.645270206,26836080.21721273,25403728.880821057
10,372.4902003921478,978.262028485211,626.4885061055113,584.5103402247199,372.4902003921478,978.262028485211,626.4885061055113,584.5103402247199,0.0,0.0,0.0,0.0,1784394.038766072,4968852.529286667,3091715.7004128085,2898954.51044828,0.0,0.0,0.0,0.0,1784394.038766072,4968852.529286667,3091715.7004128085,2898954.51044828,907865.671487499,1962811.221815466,1338740.3824210435,1277096.6141022875,214467.90226817346,545727.2623907129,355074.049341906,330408.6783110623,3607069.660236091,4354701.467651828,3906782.426637026,3868740.792831599,418456.10573553626,420898.3136825651,421118.5336823827,419310.87851699634,0.0,0.0,0.0,0.0,75942.03981958133,273123.0477456357,155198.13186520545,144955.39259370035,2250035.1787790516,2928082.7407459742,2549166.9765222566,2487351.8254674748,111077.0661248798,104891.02421296664,182903.30165402882,108911.9514557102,7679503.003756244,10850592.356485108,9072125.537609456,8789384.277211346,-5895108.964990171,-5881739.82719844,-5980409.837196647,-5890429.766763065,-55766750.59892851,-55965663.886111565,-55349798.9601416,-55836370.24944258,10.335333333333333,23.552333333333333,15.715,14.961283333333334,5.6580128657352935,5.5892196185883005,5.564006468433794,5.633935229233846,53.89830314421411,56.86365551804895,55.631306588456525,54.93617647505631,17927633.90464246,47762706.28369001,29773339.821957253,28369909.237309102
