month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan
1,224.69712370649344,272.76702951368713,253.82244193681336,241.52159073901123,224.69712370649344,272.76702951368713,253.82244193681336,241.52159073901123,0.0,0.0,0.0,0.0,1072176.1770908274,1338057.6458025237,1229832.549885207,1165234.691139921,0.0,0.0,0.0,0.0,1072176.1770908274,1338057.6458025237,1229832.549885207,1165234.691139921,801411.6371760229,922431.1405133839,877507.8379167212,843768.4633440992,173170.95467382864,209652.80874856742,195648.42331084458,185939.60359998723,2766569.756587419,2835960.2049878337,2822704.6231600284,2790856.413527564,412799.5470550376,418956.3507452495,413383.84114128916,414954.4283466118,0.0,0.0,0.0,0.0,43859.01235456094,72813.2293707968,59670.275352814766,53992.98831024349,1773388.3524250903,1857542.8814837069,1841997.5947721123,1802842.4375956059,130998.20182624988,108661.70909002428,150101.60342261137,123180.42936857091,6158728.50262413,6496302.518541365,6425504.01728895,6276879.408195162,-5086552.3255333025,-5158244.872738842,-5195671.4674037425,-5111644.717055241,-5086552.3255333025,-5158244.872738842,-5195671.4674037425,-5111644.717055241,9.917333333333334,11.606666666666667,10.978,10.508600000000001,9.145631027274609,9.076730256254873,9.070746501931332,9.1215157574177,53.32886078174661,54.581194723902016,54.03252459036173,53.76717766150101,10763754.680380078,13305153.271305704,12382392.438578896,11653244.187204048
2,238.1799047901726,311.41058469569805,279.9822613752962,263.8106427571065,238.1799047901726,311.41058469569805,279.9822613752962,263.8106427571065,0.0,0.0,0.0,0.0,1139437.6690105302,1532162.5422254836,1360036.2642712523,1276891.374635764,0.0,0.0,0.0,0.0,1139437.6690105302,1532162.5422254836,1360036.2642712523,1276891.374635764,816345.2088020113,995258.4393939502,922352.4565043419,878964.8395091898,177198.26720778598,231044.61728412108,208374.7982016225,196044.48973450327,2845647.9073278126,2972074.469064748,2930339.6101205884,2889897.20393574,413137.5608144391,419889.39679892175,414021.64314044773,415500.703409008,0.0,0.0,0.0,0.0,46857.711064437746,83140.65407807531,66859.62704607433,59556.74111921089,1814262.059923927,1954812.5291736359,1912164.4485058105,1863454.7241613253,163983.82910666763,105134.65233802017,89963.1801600045,143386.617237641,6337512.358481925,6841838.614751854,6615408.356397914,6514026.5481764,-5198074.689471395,-5309676.072526371,-5255372.092126661,-5237135.173540637,-10284627.015004696,-10467920.945265211,-10451043.559530403,-10348779.890595876,10.016666666666667,12.485666666666667,11.479,10.880816666666668,8.740050212216017,8.665564326669879,8.664920999731264,8.71398015227487,53.473244163092225,54.744467611083884,54.187665725801345,53.918172369889305,11401089.012739409,15193561.95941591,13647397.19701242,12728454.544076186
3,252.69267103209793,356.9125065171635,309.65928147940406,289.1696134518709,252.69267103209793,356.9125065171635,309.65928147940406,289.1696134518709,0.0,0.0,0.0,0.0,1211827.0229383365,1760718.6143967507,1507959.7475616173,1403939.0799487815,0.0,0.0,0.0,0.0,1211827.0229383365,1760718.6143967507,1507959.7475616173,1403939.0799487815,831732.9526037235,1072717.1213847424,965370.9232433352,916077.4116770802,181670.7654387049,255511.87017070592,222508.2381310085,207515.15209490526,2927056.160829315,3116889.9055122077,3040737.0222412106,2993497.9714683276,413507.2498733298,420988.4559981186,414763.2616077087,416125.6720170059,0.0,0.0,0.0,0.0,49460.497535150884,96833.49589018738,73530.35905456968,66041.04695941365,1856226.9194290785,2059995.5695495552,1988330.4661013302,1927545.9469712456,79491.8710527356,111830.18709342988,112581.51991091117,90810.2816669786,6403059.095768209,7227259.344515348,6896916.898926424,6691529.182829707,-5191232.072829872,-5466540.730118597,-5388957.151364807,-5287590.102880926,-15475859.087834569,-15934461.67538381,-15840000.71089521,-15636369.993476804,10.115333333333334,13.412666666666667,11.949,11.269400000000001,8.304175794805657,8.224870583186418,8.229704696219196,8.276418970738924,53.618096153856,54.90831357242202,54.34333472283428,54.0696722503541,12095817.074050512,17407857.885803595,15084006.206457833,13955031.35816409
4,268.2606156617665,408.21258530048544,343.0302694935616,317.24380503531813,268.2606156617665,408.21258530048544,343.0302694935616,317.24380503531813,0.0,0.0,0.0,0.0,1289659.5721310864,2019772.5320104393,1674765.2400617625,1545199.1080888598,0.0,0.0,0.0,0.0,1289659.5721310864,2019772.5320104393,1674765.2400617625,1545199.1080888598,843483.2923591712,1156986.9579371833,1013369.1787795031,953209.5753114754,186367.65369188294,282107.42676131596,237869.771583404,219876.57426618447,3009419.876246498,3260375.358023421,3159241.611977845,3097254.294868421,413896.3852085155,422210.22231616214,415581.1107164693,416806.22819619183,0.0,0.0,0.0,0.0,52732.53865572456,109840.76309263847,82285.67633168507,72720.41720864443,1899591.3680347481,2169213.5618662927,2068183.5202812192,1993959.1358757888,109077.37070740771,124361.63702584156,141753.66900954006,114426.86391885956,6582595.538906209,7631195.144530296,7206143.773174055,6949605.40087464,-5292935.966775122,-5611422.6125198575,-5531378.533112293,-5404406.29278578,-20768795.05460969,-21545884.287903666,-21371379.2440075,-21040776.28626258,10.167666666666667,14.392666666666667,12.4665,11.646416666666667,7.865272951278151,7.781627629515308,7.791862826899176,7.835997088661156,53.76341846664518,55.07273483554057,54.49953358696761,54.22167919575856,12842010.69955486,19897275.26165271,16694769.27741742,15311353.296289109
5,285.9726634126113,467.07222092430885,380.4442066721943,349.35750854170544,285.9726634126113,467.07222092430885,380.4442066721943,349.35750854170544,0.0,0.0,0.0,0.0,1378268.5801181654,2317522.928141825,1861818.1368773407,1707007.6019264462,0.0,0.0,0.0,0.0,1378268.5801181654,2317522.928141825,1861818.1368773407,1707007.6019264462,855904.3504852834,1244583.5013267673,1061738.898861323,991942.0532798027,191991.04065260958,311512.32095078565,254797.91903736326,233823.4887569712,3096290.9474847983,3414362.994043733,3288116.6845446886,3207616.1637804257,414347.416980359,423620.1803844267,416505.27260059764,417592.88417178264,0.0,0.0,0.0,0.0,57310.92224992893,126092.37532549894,91001.7248034643,81384.43082637843,1946894.249361635,2284842.5941573596,2151036.557423566,2065176.1700401385,115654.36188547945,168380.64528942222,112228.3968227703,134108.56107685942,6751087.070629479,8095144.935242872,7473108.203167471,7221507.323244167,-5372818.490511314,-5777622.007101046,-5611290.066290131,-5514499.721317721,-26141613.545121003,-27323506.29500471,-26982669.310297634,-26555276.007580303,10.229,15.409,12.9835,12.042,7.438993567527665,7.3513267748974345,7.366863713275909,7.408310190107084,53.909212820877556,55.23773363736516,54.656264331949494,54.374195106648216,13688136.837965174,22759603.377721447,18501844.319213055,16863150.12687987
6,305.3755436030321,535.6630745087499,422.86622080154996,385.9761794200333,305.3755436030321,535.6630745087499,422.86622080154996,385.9761794200333,0.0,0.0,0.0,0.0,1475541.9726293618,2665170.0960781137,2074192.5448241243,1891911.815836425,0.0,0.0,0.0,0.0,1475541.9726293618,2665170.0960781137,2074192.5448241243,1891911.815836425,871758.1333685395,1344651.3773928962,1115044.5573841897,1037270.7687770644,198204.9050513405,344933.09325517726,273601.2903958239,249559.77092268335,3187622.4700254947,3579786.033654479,3415751.1800645664,3324879.717295639,414836.88136579905,425277.6536306517,417558.7173932237,418491.1516584975,0.0,0.0,0.0,0.0,61735.60552159579,145361.28258117975,102415.44674448103,91004.59249245017,1996712.073424853,2407205.8826250043,2239520.0234818584,2140384.906644906,104604.05253167836,79491.31803859914,170186.9878592895,95814.59545910064,6913289.1419145595,8466735.883757835,7842939.385858006,7456995.501559706,-5437747.169285199,-5801565.787679722,-5768746.841033882,-5565083.685723281,-31579360.71440621,-33125072.08268443,-32751416.15133152,-32120359.693303585,10.326,16.547666666666668,13.557,12.503583333333335,7.032449464328707,6.942270257591638,6.962022113371308,7.000886741970733,54.055480942810384,55.40331222416385,54.81352897980509,54.52722189128409,14620019.692244984,26092342.501579907,20552463.828817468,18635332.67551221
7,325.66824103609156,615.4070475725293,470.727165533084,427.0768233238448,325.66824103609156,615.4070475725293,470.727165533084,427.0768233238448,0.0,0.0,0.0,0.0,1577272.935872251,3071117.3289107876,2315066.8071591593,2100118.473435739,0.0,0.0,0.0,0.0,1577272.935872251,3071117.3289107876,2315066.8071591593,2100118.473435739,884129.7702047642,1457434.9322260316,1170891.3586546378,1084786.5769122078,204476.0593837045,382532.43663036544,294248.96220225026,266795.7914200358,3279832.6446514446,3756485.07858671,3554953.3657733127,3446660.9965287875,415350.65580298693,427202.55112299696,418746.03342161485,419498.81916499045,0.0,0.0,0.0,0.0,65038.86232724911,168859.77144981586,114456.98924826842,101376.18052014746,2046887.598720384,2539149.5964381504,2332519.0304537155,2219179.297921602,106948.0165410583,105255.8604733477,117739.97660308715,106355.7619173596,7085848.959875636,8998306.404923746,8125095.792579017,7755209.065642474,-5508576.0240033865,-5927189.07601296,-5810028.985419857,-5655090.592206737,-37087936.738409586,-39052261.1586974,-38561445.136751376,-37775450.28551032,10.386333333333333,17.824,14.1465,12.989516666666667,6.649744152376202,6.557097175095413,6.580573344582884,6.617317710327926,54.20222456556925,55.569472851588145,54.97132956087256,54.68076146567587,15595210.876553884,29971783.693202235,22869923.547000956,20627011.362380806
8,349.7291696935573,711.4723400177248,526.7908121956726,476.3392793070159,348.2963418833441,708.9991997807579,524.2298129646257,474.5423421474389,1.432827810213205,2.473140236966793,2.5609992310471212,1.7969371595769608,1702680.160960885,3568590.1537476126,2605750.1036786684,2355748.6584362397,0.0,0.0,0.0,0.0,1702680.160960885,3568590.1537476126,2605750.1036786684,2355748.6584362397,902756.5979764361,1592353.2741748223,1242750.091522956,1144115.4346458712,212239.76156546618,427333.8924346389,318049.3553292464,287522.7073696766,3386330.1197350756,3950748.3114636713,3709527.857107912,3583876.486840084,415954.1137019755,429518.63433756627,420135.2749924504,420701.69592443225,17375.52519082574,19322.967238925212,16888.801550831486,18057.129907660557,73148.52191350027,204611.78707189433,134027.8753372284,119160.66471893818,2102839.905001304,2682684.5903588785,2433119.994294868,2305785.544876455,198086.07911048038,222544.5016002729,241109.26871155345,206646.52698190775,7398558.187685585,9716643.914834086,8652429.103441864,8209888.19218756,-5695878.0267247,-6148053.761086474,-6046678.999763196,-5854139.53375132,-42783814.76513429,-45200314.91978387,-44608124.136514574,-43629589.81926164,10.520333333333333,19.341,14.916,13.607566666666667,6.2920252262387,6.197668634147402,6.224946611215461,6.259000419006746,54.42813540301831,55.813833857670375,55.22631729639905,54.91312986214653,16946353.799016293,35006517.4797781,26017542.330889046,23267411.087282926
9,389.2542415198517,843.1856924226583,603.9478878934618,548.130249335834,372.77935503670017,815.8332292379455,584.4683597400449,527.848211007136,16.474886483151536,27.35246318471293,19.47952815341693,20.28203832869802,1945981.722522124,4317764.8334938465,3050758.130763902,2776105.8113622265,0.0,0.0,0.0,0.0,1945981.722522124,4317764.8334938465,3050758.130763902,2776105.8113622265,948005.3848446887,1787903.6984959964,1346573.5241623993,1241969.7946226464,228284.77654874508,490172.06374590343,352773.5144806289,319945.3270677505,3563575.8723613275,4246854.120031309,3928484.3896748084,3802723.259045821,416955.4756325911,432677.3172745759,422089.1470809322,422458.1202072858,163817.41993611283,222122.12764629818,165000.3076426818,184224.0676346777,114260.8716906828,300104.7507236756,192141.89585189515,179306.22935223026,2188661.118534365,2860167.064048113,2562198.251375171,2423688.199464177,1009330.8143873194,1198048.7688113581,846634.5770804703,1075382.098435733,8735503.202126063,11764907.029414408,9976023.491951814,9795794.541676983,-6789521.479603941,-7447142.1959205605,-6925265.361187912,-7019688.730314758,-49573336.24473823,-52647457.115704425,-51533389.49770249,-50649278.549576394,10.982333333333333,21.556333333333335,16.0635,14.683233333333334,5.962127933503369,5.866437961108536,5.89766142203421,5.9286364431651775,55.33548394168682,56.737126709606635,56.07845976841394,55.826058910458755,20963417.215134256,45282171.25002823,32245014.422493182,29474981.127347145
10,445.2874251777321,1016.2123475985188,712.3882262458465,645.1111480250074,400.35945665617925,938.7340332823318,650.4433691759466,588.7905584753325,44.92796852155283,77.47831431618688,61.944857069899946,56.32058954967474,2314988.66943459,5362776.999393602,3727387.0749849863,3381714.5849202443,0.0,0.0,0.0,0.0,2314988.66943459,5362776.999393602,3727387.0749849863,3381714.5849202443,1033939.4096116119,2057084.7577949779,1514889.5228675304,1392040.2814757898,252299.44365968346,570427.3311842424,401979.5643618688,363644.2042932791,3809908.4375572624,4635759.99055142,4263197.074688113,4098956.4811052177,418368.81132640125,436874.7867996454,424849.2738102497,424845.9027420367,442623.97298599576,567815.6984132789,511840.8173683455,486441.0768855448,194122.14106422095,481221.43183240684,330398.992982334,294606.892833086,2298917.7949258825,3067969.4454399785,2722598.266342121,2568085.872605816,1424511.5297657817,2019102.232468332,1889026.1448125688,1632618.2757116742,9996955.813727984,14118217.591284055,12254208.458670115,11439397.435872609,-7681967.144293393,-8755440.591890452,-8526821.383685129,-8057682.8509523645,-57255303.38903162,-61402897.70759488,-60060210.88138761,-58706961.40052876,11.864333333333333,24.513333333333332,17.8895,16.291483333333332,5.683235290590767,5.583524837860097,5.615322330517824,5.648336632135033,56.83806009069888,58.22315423425852,57.62223164626033,57.32284304094476,28019017.7202395,61382854.5622436,43797002.825385995,39696360.614940934
