scenario,organic_cost_basis,peak_cash_cr_plan,peak_cash_cr_cons,profitable_by_m36,contribution_cr_m36
india_only,referral_scaled,12.657779444721296,18.16787972733527,0.9254,5.687367781405435
india_only,published_cac_on_organic,13.631401969740068,19.678014110690683,0.9134,5.261555164054611
expansion,referral_scaled,14.986050072680676,35.46417760912357,0.77985,4.202546400112648
expansion,published_cac_on_organic,16.44682919119038,43.2140399653978,0.7338,3.4152387288698165
expansion_commerce,referral_scaled,14.323001661047954,25.784100173876084,0.8542,5.886601308780397
expansion_commerce,published_cac_on_organic,15.613690737673762,30.157805243666406,0.8244,5.082470832580551
foreign_led,referral_scaled,18.029139444764944,28.348555574770064,0.9631,15.64582518439969
foreign_led,published_cac_on_organic,23.507041779524616,38.36179619186108,0.91505,11.47315178176212
foreign_led_nocommerce,referral_scaled,19.209737952653295,34.278526704640925,0.9172,10.832139299700922
foreign_led_nocommerce,published_cac_on_organic,26.51671008690693,51.97478338234779,0.8097,6.763728782843208
