month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan,adds_organic_cons,adds_organic_opt,adds_organic_med,adds_organic_plan,adds_paid_cons,adds_paid_opt,adds_paid_med,adds_paid_plan,marketing_spend_cons,marketing_spend_opt,marketing_spend_med,marketing_spend_plan,adds_paid_ind_cons,adds_paid_ind_opt,adds_paid_ind_med,adds_paid_ind_plan,adds_paid_uk_cons,adds_paid_uk_opt,adds_paid_uk_med,adds_paid_uk_plan,adds_paid_us_cons,adds_paid_us_opt,adds_paid_us_med,adds_paid_us_plan,spend_ind_cons,spend_ind_opt,spend_ind_med,spend_ind_plan,spend_uk_cons,spend_uk_opt,spend_uk_med,spend_uk_plan,spend_us_cons,spend_us_opt,spend_us_med,spend_us_plan
1,259.63930992160044,293.4144692251626,278.7867450935416,271.46061567784716,259.63930992160044,293.4144692251626,278.7867450935416,271.46061567784716,0.0,0.0,0.0,0.0,1195185.856658813,1477841.5549910825,1350608.1672326066,1294115.3510751072,0.0,0.0,0.0,0.0,1195185.856658813,1477841.5549910825,1350608.1672326066,1294115.3510751072,916916.3496096719,958655.8434372483,936108.5152601969,931525.1724493236,205122.68681292355,221225.74785063378,216894.9495249855,210758.75817612212,2910853.5951541867,2878707.251046155,2846971.765010778,2899602.374716376,416325.26881962275,411831.22130724526,418620.51976438094,414752.3521902907,0.0,0.0,0.0,0.0,308998.9499009702,313581.19833158795,311282.754769006,310602.73685168644,1978583.9585173628,1862878.3058775454,1864878.2924932973,1938086.9800934265,122745.64292444653,150748.61815496552,106183.03310778466,132546.68425512817,6922923.780898257,6874712.840280748,6771628.696911904,6906049.951682128,-5727737.924239445,-5396871.285289664,-5421020.5296792975,-5611934.600607022,-5727737.924239445,-5396871.285289664,-5421020.5296792975,-5611934.600607022,11.473666666666666,12.168,11.7995,11.716683333333332,9.178320776622893,9.078265261380393,9.067512686837196,9.143301346288018,51.54079771508942,56.155498456664986,54.14651362387517,53.155942974640865,0.0,0.0,0.0,0.0,35.995799603880954,54.32479332635178,45.131019076024025,42.41094740674574,27.574283112701615,27.723884940252912,27.665769241970352,27.626643752344567,300000.0,300000.0,300000.0,300000.0,27.574283112701615,27.723884940252912,27.665769241970352,27.626643752344567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,300000.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,304.36726898927895,361.6277545221228,335.03494916037386,324.4084389257743,304.36726898927895,361.6277545221228,335.03494916037386,324.4084389257743,0.0,0.0,0.0,0.0,1403850.6888488694,1825970.562180729,1626565.7203613871,1551592.6445150203,0.0,0.0,0.0,0.0,1403850.6888488694,1825970.562180729,1626565.7203613871,1551592.6445150203,1012615.468881138,1100016.0624499226,1053084.976583829,1043205.6766302127,232412.66505959927,263174.83078337176,251605.64191864923,243179.42306291964,3080661.2716150377,3072226.0203693598,3033236.203589456,3077708.9336790503,417450.42330817634,413494.3126234525,420036.12069264613,416065.78456852294,0.0,0.0,0.0,0.0,311206.07808236196,320868.81359457626,315743.1847345003,314588.035511637,2108464.2164997747,2020727.7533256193,2004333.2855162888,2077756.4543888206,144026.73831228787,98680.56816859114,143004.2369842457,128155.57876199401,7381287.535581739,7384443.8915306805,7306180.704515322,7382392.260163868,-5977436.84673287,-5558473.329349952,-5679614.984153936,-5830799.615648848,-11705174.770972315,-10955344.614639616,-11100635.513833232,-11442734.21625587,12.652333333333333,13.993666666666666,13.2735,13.1218,8.772488264551717,8.666414114013927,8.660111317044043,8.73536231186349,51.67687712473306,56.325489640685824,54.30055095535494,53.30389150531653,0.0,0.0,0.0,0.0,42.688864360151456,67.14288072397358,54.68682017189867,51.2477700874892,27.57963318854959,28.067944468859515,27.820849267586613,27.750542136658062,300533.86199232406,304083.0934135828,302071.4796915256,301776.09298976464,27.57963318854959,28.067944468859515,27.820849267586613,27.750542136658062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300533.86199232406,304083.0934135828,302071.4796915256,301776.09298976464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,352.90092770158464,441.35931425714045,398.42886666644705,383.86136299602913,352.90092770158464,441.35931425714045,398.42886666644705,383.86136299602913,0.0,0.0,0.0,0.0,1631417.3635542628,2234306.910622262,1938524.0883588092,1842428.7050280627,0.0,0.0,0.0,0.0,1631417.3635542628,2234306.910622262,1938524.0883588092,1842428.7050280627,1102706.8129131978,1254789.6138259962,1175029.014650352,1155935.7932326773,260516.5973212446,310161.40897623973,288842.306705342,277892.2814004929,3247238.2984071383,3273413.486731742,3206532.85027417,3256399.6143207494,418674.26973489206,415429.85646249674,421628.18148182984,417538.72508955374,0.0,0.0,0.0,0.0,315124.4542923132,340052.8855000466,325638.86206678103,323849.4052150199,2236832.829611771,2182940.603441284,2145632.0289198975,2217970.5504521006,81993.36223772186,123007.77974064398,115587.22789042801,96348.4083637446,7749614.017447866,8016385.865114236,7780358.934258257,7842984.164131096,-6118196.653893603,-5782078.954491975,-5841834.845899449,-6000555.459103033,-17823371.424865916,-16737423.569131592,-16942470.35973268,-17443289.675358903,13.742,15.944666666666667,14.7745,14.512933333333335,8.336478600096765,8.224688557344603,8.22283561705058,8.297352085133507,51.81339038367197,56.496083589276104,54.45510477082906,53.45233300563342,0.0,0.0,0.0,0.0,49.612079031989495,82.6827322468605,65.49557633089117,61.18680765719434,27.721295245608655,29.383735504736844,28.415600959708396,28.30314933630352,302721.43453431583,319382.20243833144,309264.96798405825,308552.7033007213,27.721295245608655,29.383735504736844,28.415600959708396,28.30314933630352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302721.43453431583,319382.20243833144,309264.96798405825,308552.7033007213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,405.35062503104484,535.597043547788,469.7049091599114,450.93687151190494,405.35062503104484,535.597043547788,469.7049091599114,450.93687151190494,0.0,0.0,0.0,0.0,1877864.0641838424,2719398.162652509,2290810.5392697346,2172400.9986478756,0.0,0.0,0.0,0.0,1877864.0641838424,2719398.162652509,2290810.5392697346,2172400.9986478756,1193987.2774781461,1425747.3029986136,1302549.6661331747,1275103.2864103098,289313.6872494879,363459.1324454098,328810.7729228974,315264.5930680606,3409977.0473079523,3488134.8224276127,3392152.0539792604,3437332.2685998334,419993.68687596434,417718.2552577575,423412.5294025613,419197.2858095919,0.0,0.0,0.0,0.0,323387.3121588859,379732.840727885,346426.68603931344,343108.2471580356,2363092.150239497,2352037.0179970996,2287723.6648101206,2359222.853954658,151710.98384272313,143559.8241694735,126644.60241595627,148858.07795708574,8251038.152539047,8712291.994578267,8327642.758788456,8412476.997252773,-6373174.088355207,-5992893.831925757,-6036832.219518722,-6240075.998604899,-24196545.513221126,-22730317.40105735,-22979302.579251405,-23683365.673963804,14.818333333333333,18.050333333333334,16.309,15.949533333333335,7.897459706668722,7.780603994629298,7.783115661896775,7.8565602074549235,51.950339053104166,56.667282660870484,54.61017700095126,53.60126931582238,0.0,0.0,0.0,0.0,56.66299746583635,99.90830319368847,76.40831523974455,71.79885447058459,28.224253828069237,32.41887462339965,29.9375800083254,29.692371106434884,309221.5627924268,354755.7649294629,327324.6072293774,325158.53354038944,28.224253828069237,32.41887462339965,29.9375800083254,29.692371106434884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,309221.5627924268,354755.7649294629,327324.6072293774,325158.53354038944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,463.78266371791824,647.9331223657097,553.6050492761408,528.2353242446452,463.78266371791824,647.9331223657097,553.6050492761408,528.2353242446452,0.0,0.0,0.0,0.0,2154146.0721263043,3300687.4040748416,2706657.072956725,2555435.538308292,0.0,0.0,0.0,0.0,2154146.0721263043,3300687.4040748416,2706657.072956725,2555435.538308292,1291532.5549421047,1623439.3098640344,1442344.9614213232,1407699.91916478,320135.6599919874,424608.78644653974,374273.78334383,356701.2542510807,3575170.3423578553,3708277.560302157,3578422.47006516,3621757.868638361,421472.5316222317,420445.925975204,425507.66052874504,421113.219645772,0.0,0.0,0.0,0.0,338942.5725660693,444173.77237037214,383080.86416794366,375773.49249757535,2492311.5020384844,2530897.885001326,2439336.6468631946,2505816.7360754786,117434.60605149323,137380.4272414509,116851.49745792404,124415.64346797841,8671221.461171245,9461506.006863214,8901524.000271114,8947821.052163433,-6517075.38904494,-6160818.602788373,-6194866.927314391,-6392385.513855141,-30713620.902266063,-28891136.003845725,-29174169.506565794,-30075751.187818944,15.927,20.434,17.9785,17.50445,7.471103864594347,7.349569000926075,7.355803373412921,7.428566662310452,52.087724700349845,56.839089223784036,54.76576958417327,53.75070228355181,0.0,0.0,0.0,0.0,65.30938383325403,119.78021101633468,91.06141034475421,84.37417334733226,29.30199857020252,37.465570261572324,32.715748897205344,32.15924866218195,322615.22660775576,414228.7196162885,360315.5115817551,354679.9491607422,29.30199857020252,37.465570261572324,32.715748897205344,32.15924866218195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322615.22660775576,414228.7196162885,360315.5115817551,354679.9491607422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,529.8915787871883,785.5191475003436,651.5993121324876,619.3612278367928,529.8915787871883,785.5191475003436,651.5993121324876,619.3612278367928,0.0,0.0,0.0,0.0,2467459.105465005,4014440.7798458766,3193430.3333663624,3008902.6914983103,0.0,0.0,0.0,0.0,2467459.105465005,4014440.7798458766,3193430.3333663624,3008902.6914983103,1392752.9762201698,1854322.485481246,1601401.667251836,1554302.3044615465,353901.4321974732,497039.3483300921,425858.8539567332,403999.7028438898,3750818.2018156457,3942364.631286888,3775240.182155384,3817859.4521305803,423144.7047874938,423795.0932759912,427958.20964010555,423372.3407584679,0.0,0.0,0.0,0.0,364666.1346437005,532726.8100003591,438242.2789838568,423487.37101853103,2625479.0053575905,2725440.9285934134,2598657.487825529,2660465.6784901284,111636.19289309508,110871.84890203655,92006.5207485734,111368.67249622461,9153204.092792215,10296105.826509736,9526565.948605131,9553219.699593347,-6685744.98732721,-6281665.04666386,-6333135.615238767,-6544317.008095037,-37399365.88959327,-35172801.05050958,-35507305.121804565,-36620068.195913985,17.077666666666666,23.191333333333333,19.841,19.21745,7.064462052989569,6.939118898052504,6.948665019625404,7.020591948761596,52.225548898877015,57.01150565625589,54.921884466778124,53.90063376395962,0.0,0.0,0.0,0.0,74.64836871094047,145.33573630794055,106.43499441938063,99.3889473698905,31.198668388866157,44.31297273428753,36.99582803366159,35.788674909763635,346004.04246596544,496392.8759233739,411633.53037901176,398640.1341760584,31.198668388866157,44.31297273428753,36.99582803366159,35.788674909763635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346004.04246596544,496392.8759233739,411633.53037901176,398640.1341760584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,602.6544630462444,951.1755108958896,766.306093222395,724.6368297936201,602.6544630462444,951.1755108958896,766.306093222395,724.6368297936201,0.0,0.0,0.0,0.0,2813743.905420516,4875947.790847348,3765616.7289607106,3535515.265319907,0.0,0.0,0.0,0.0,2813743.905420516,4875947.790847348,3765616.7289607106,3535515.265319907,1499822.6380019893,2113412.2537748553,1779275.4825321273,1714579.0035224925,389499.9288974614,581156.6255763057,484216.2695458536,456579.77273505693,3929193.1658646264,4194413.991967194,3989837.5999290356,4022020.455000525,424979.70885958883,427838.09660252684,430820.52258437837,425980.1445696171,0.0,0.0,0.0,0.0,401645.4991189291,645793.9647472565,511252.97490557167,487097.4620888437,2762013.093271839,2933702.7958573177,2767376.095071708,2822104.4891767567,142027.94594168558,128029.2688453897,124541.13545556169,137128.40895798203,9698337.389055092,11278833.578831663,10284511.880339954,10251511.055476893,-6884593.483634576,-6402885.787984316,-6518895.151379243,-6715995.790156986,-44283959.37322786,-41575686.8384939,-42026200.27318381,-43336063.98607097,18.273333333333333,26.269333333333332,21.8935,21.071933333333334,6.681692568386141,6.55357036600321,6.5659322008177705,6.636849797552115,52.363813228327125,57.184534346492754,55.07852360291367,54.0510656196851,0.0,0.0,0.0,0.0,82.86269456798452,173.78994687161176,123.73826261523801,114.68723287425405,34.021411697401355,52.931357942353486,42.63316613352825,40.6398928831346,380929.825476933,602346.4780293535,480318.4092517621,458425.65387028013,34.021411697401355,52.931357942353486,42.63316613352825,40.6398928831346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380929.825476933,602346.4780293535,480318.4092517621,458425.65387028013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,686.4733826345807,1151.838403567513,900.601773722494,849.351139961107,686.4733826345807,1151.838403567513,900.601773722494,849.351139961107,0.0,0.0,0.0,0.0,3213802.97329982,5923734.990276048,4438340.545230572,4162279.1792415,0.0,0.0,0.0,0.0,3213802.97329982,5923734.990276048,4438340.545230572,4162279.1792415,1621929.7847949502,2423803.8524377863,1979106.5541803099,1902585.7084699427,429270.6498049831,679676.0546330711,550393.6017251572,516912.54149481386,4114554.4103350174,4462242.286642809,4207902.620029317,4236245.167042744,427078.5872817783,432724.40065586433,434155.1225604012,429054.6219627084,0.0,0.0,0.0,0.0,449876.63067593623,783675.3501816975,601050.0434843849,566706.1825029526,2906379.3355581677,3157035.615451684,2945418.682408737,2994109.0335208983,155535.39734976823,136936.12149340185,95492.1903238774,149025.65080004,10274992.91871213,12385261.640616668,11045937.960823668,11013586.971378718,-7061189.94541231,-6461526.6503406195,-6607597.415593096,-6851307.792137219,-51345149.318640165,-48037213.488834515,-48633797.6887769,-50187371.77820819,19.608333333333334,29.89,24.184,23.206916666666665,6.324147195960446,6.193526584282632,6.20809738059968,6.278429981873211,52.50251927454098,57.358177692713014,55.235688954626255,54.20199972090119,0.0,0.0,0.0,0.0,94.53338006515108,209.12793950101442,143.96526093306727,134.64147586770326,37.64191993596692,63.11486490359617,49.42710864740275,46.55745067463715,426243.2856596485,731393.3653064439,565058.7282511181,533045.8135360269,37.64191993596692,63.11486490359617,49.42710864740275,46.55745067463715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426243.2856596485,731393.3653064439,565058.7282511181,533045.8135360269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,781.2694560568776,1394.770807714731,1059.4348835973494,995.9949291371263,781.2694560568776,1394.770807714731,1059.4348835973494,995.9949291371263,0.0,0.0,0.0,0.0,3667059.6792794317,7194187.1035925,5235241.6267590625,4901554.277789006,0.0,0.0,0.0,0.0,3667059.6792794317,7194187.1035925,5235241.6267590625,4901554.277789006,1756271.2255287692,2780419.80282187,2206581.399369029,2114723.2275813543,472828.96775854606,795041.8563402888,626051.6085172485,585603.478762156,4309431.191893455,4746802.185992887,4446069.086879301,4462511.039828256,429469.28844300495,438653.16506045905,438095.5858116052,432683.64525911387,0.0,0.0,0.0,0.0,509983.72615646536,951706.8382001368,707943.9980392924,664586.8153717504,3057436.942949961,3398182.5487075164,3136233.616487261,3176697.9049651055,123490.401914244,167643.38631805178,154318.43892128015,138943.94645557672,10853295.215314379,13654023.53860021,11989441.869994858,11833550.12846442,-7186235.536034945,-6459836.435007711,-6754200.243235797,-6931995.850675413,-58531384.8546751,-54497049.92384222,-55387997.93201269,-57119367.628883585,21.064,34.02,26.767,25.5986,5.990883935237403,5.8588222491208075,5.875292743342529,5.944662345096595,52.6416686295846,57.53243810319068,55.39338249189444,54.35343794534673,0.0,0.0,0.0,0.0,106.27304495000675,252.58635863491858,168.74157407963742,157.48270473972588,42.1256187542895,75.0794243052377,57.26678735997908,53.65945069712137,483415.4649189637,888560.2485414073,665758.604519383,625216.139186819,42.1256187542895,75.0794243052377,57.26678735997908,53.65945069712137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,483415.4649189637,888560.2485414073,665758.604519383,625216.139186819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,888.8700179065889,1687.7802306151161,1243.391863999297,1168.4885923545735,888.8700179065889,1687.7802306151161,1243.391863999297,1168.4885923545735,0.0,0.0,0.0,0.0,4183360.41338715,8733135.204904767,6159881.462612647,5775781.5904183155,0.0,0.0,0.0,0.0,4183360.41338715,8733135.204904767,6159881.462612647,5775781.5904183155,1904159.1449509189,3193128.345581784,2463243.740235841,2355298.365171721,520933.5016516007,929711.8137614304,710377.9643736163,664005.9108900412,4514096.433977629,5046905.407220114,4693995.0856793495,4700579.574612499,432179.9428102237,445794.7508819451,442691.07454665244,436945.12563532614,0.0,0.0,0.0,0.0,580298.0391657543,1154844.989969559,834007.686499683,781389.4719470859,3216849.4497375754,3655897.3033400993,3338828.5974375037,3370516.1984984586,112520.312550131,110723.15654874154,92098.5828944776,111891.30794964469,11502793.761263177,14992907.201468015,12897881.317936286,12724333.46533487,-7319433.347876024,-6259771.996563247,-6737999.855323641,-6948551.874916553,-65850818.202551134,-60756821.92040548,-62125997.787336335,-64067919.503800154,22.646,38.75866666666667,29.619,28.285433333333337,5.681842842115675,5.548240032928797,5.565924788638538,5.635081858900268,52.781262891775285,57.707317996299885,55.55160619266308,54.5053821783589,0.0,0.0,0.0,0.0,119.38565236812636,302.8676977227365,194.88576994329387,183.6043682422399,47.25587896595255,89.00330837846776,66.25637615763111,61.86747926033287,550451.6260737227,1079128.065538875,785286.2440138594,735488.379886526,47.25587896595255,89.00330837846776,66.25637615763111,61.86747926033287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550451.6260737227,1079128.065538875,785286.2440138594,735488.379886526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
