month,users_cons,users_opt,users_med,users_plan,users_ind_cons,users_ind_opt,users_ind_med,users_ind_plan,users_fgn_cons,users_fgn_opt,users_fgn_med,users_fgn_plan,sub_rev_cons,sub_rev_opt,sub_rev_med,sub_rev_plan,commerce_rev_cons,commerce_rev_opt,commerce_rev_med,commerce_rev_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,geo_fixed_cons,geo_fixed_opt,geo_fixed_med,geo_fixed_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,gmv_cons,gmv_opt,gmv_med,gmv_plan,adds_organic_cons,adds_organic_opt,adds_organic_med,adds_organic_plan,adds_paid_cons,adds_paid_opt,adds_paid_med,adds_paid_plan,marketing_spend_cons,marketing_spend_opt,marketing_spend_med,marketing_spend_plan,adds_paid_ind_cons,adds_paid_ind_opt,adds_paid_ind_med,adds_paid_ind_plan,adds_paid_uk_cons,adds_paid_uk_opt,adds_paid_uk_med,adds_paid_uk_plan,adds_paid_us_cons,adds_paid_us_opt,adds_paid_us_med,adds_paid_us_plan,spend_ind_cons,spend_ind_opt,spend_ind_med,spend_ind_plan,spend_uk_cons,spend_uk_opt,spend_uk_med,spend_uk_plan,spend_us_cons,spend_us_opt,spend_us_med,spend_us_plan
1,266.5020088530057,288.2163760061358,280.054783997805,274.1020373566012,266.5020088530057,288.2163760061358,280.054783997805,274.1020373566012,0.0,0.0,0.0,0.0,1217631.3275535859,1462578.257613855,1358824.003308338,1303362.75307468,0.0,0.0,0.0,0.0,1217631.3275535859,1462578.257613855,1358824.003308338,1303362.75307468,940982.3214033219,942669.1982421045,947567.2517104659,941572.7282968957,211980.62088093348,218525.14517991393,218281.35945849578,214271.20438557665,2915661.636699793,2872072.462279612,2876131.144066838,2900405.42565273,415196.8559661414,407459.1477107048,413235.161682113,412488.6580767386,0.0,0.0,0.0,0.0,309804.70744461386,312850.8219648375,311393.87283631123,310870.8475266921,1983592.3759599307,1836438.1374432899,1891024.9232925687,1932088.3924791066,146293.74791603483,108333.32191364805,137841.58451102543,133007.59881519945,6988002.2066466315,6775122.079102651,6867437.677349693,6913494.1620062385,-5770370.879093045,-5312543.821488795,-5508613.674041354,-5610131.408931557,-5770370.879093045,-5312543.821488795,-5508613.674041354,-5610131.408931557,11.768666666666666,11.945,11.9385,11.830383333333334,9.172528141724673,9.034112004878661,9.079306989367906,9.124082493828569,51.14948688575845,56.60607092348787,54.2156948793861,53.05929129896374,0.0,0.0,0.0,0.0,39.21882977845544,51.40328785934986,45.5754913452448,43.48339010676848,27.554193380267613,27.733583363143843,27.677312485445015,27.616979874274293,300000.0,300000.0,300000.0,300000.0,27.554193380267613,27.733583363143843,27.677312485445015,27.616979874274293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300000.0,300000.0,300000.0,300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,315.41997411851406,352.92901962284435,336.4939177771762,328.54814004502964,315.41997411851406,352.92901962284435,336.4939177771762,328.54814004502964,0.0,0.0,0.0,0.0,1444767.8726917533,1795498.1877044698,1636704.8106788977,1567523.482946204,0.0,0.0,0.0,0.0,1444767.8726917533,1795498.1877044698,1636704.8106788977,1567523.482946204,1046477.7501569008,1075059.3297162196,1063668.6442607746,1056481.3030026625,242450.0955870791,258328.09312956317,253148.05058673536,248007.39472694852,3083512.2578986106,3059439.0355491242,3054008.960002285,3075086.63007629,416439.83720774174,409013.0484127903,414580.410441898,413840.4611295088,0.0,0.0,0.0,0.0,312601.2657644833,319757.1224581735,315410.5704653231,315105.8156072749,2120855.630865474,1986229.001728304,2032189.8640708027,2073736.3106674645,102512.3742174188,122032.86192420387,74328.23842000819,109344.54491479357,7401378.6702106055,7324120.457616969,7294048.278959043,7374338.2958028335,-5956610.797518852,-5528622.269912498,-5657343.468280146,-5806814.812856628,-11726981.676611898,-10841166.091401294,-11165957.142321499,-11416946.221788187,13.082666666666666,13.656333333333333,13.4075,13.283449999999998,8.768069738913512,8.624440401637345,8.670242142339204,8.717799470866854,51.28595004774796,56.775908793305454,54.37022108696546,53.207435608693075,0.0,0.0,0.0,0.0,47.12468110060228,63.571039113941644,54.95874364482274,52.88090640527106,27.577750180145763,28.061743782191673,27.800030199650056,27.747147940861833,300820.09548933274,303864.36267968814,301670.88455411745,301885.5890059571,27.577750180145763,28.061743782191673,27.800030199650056,27.747147940861833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300820.09548933274,303864.36267968814,301670.88455411745,301885.5890059571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,369.02064356044934,428.5888347929695,400.075468138505,389.8695104918314,369.02064356044934,428.5888347929695,400.075468138505,389.8695104918314,0.0,0.0,0.0,0.0,1694542.1234587147,2186197.1239462006,1950856.802635447,1866621.3736293348,0.0,0.0,0.0,0.0,1694542.1234587147,2186197.1239462006,1950856.802635447,1866621.3736293348,1148674.3982983874,1220428.5461853615,1187410.0781144209,1173788.3500588285,274130.31583003013,302858.35610256623,290579.5150334561,284185.1299254178,3254080.2564314166,3257028.850115546,3228963.1667994005,3255112.2642208617,417793.6768153774,410831.3901167539,416088.8639720367,415356.87647085916,0.0,0.0,0.0,0.0,318021.42098707485,337215.1752793248,325721.35495481134,324739.23498936236,2255108.9181445464,2140871.8306484898,2173684.437734082,2215125.9375209264,155893.48871072923,111348.99130245697,133696.65462633732,140302.91461783394,7913485.308159108,7895363.401047013,7859503.184164612,7907142.640669875,-6218943.184700394,-5709166.277100812,-5908646.3815291645,-6040521.2670405395,-17945924.861312293,-16550332.368502107,-17074603.523850664,-17457467.488828726,14.332,15.477666666666666,14.925,14.732983333333333,8.33356673165996,8.185054832708062,8.231516355618812,8.281587567026795,51.42285081685556,56.94634382240908,54.52526558350503,53.35607336879929,0.0,0.0,0.0,0.0,55.38118195175005,78.1860049370274,65.82836212458884,63.36286999659713,27.81141964694277,29.252283403528146,28.433146741984544,28.31572196174765,304176.1254991373,317668.6740450679,309264.2644236641,308898.51749021304,27.81141964694277,29.252283403528146,28.433146741984544,28.31572196174765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304176.1254991373,317668.6740450679,309264.2644236641,308898.51749021304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,428.38628258547334,517.9144325893963,472.5204638490283,459.7211350868464,428.38628258547334,517.9144325893963,472.5204638490283,459.7211350868464,0.0,0.0,0.0,0.0,1972601.7108620964,2649653.3812437356,2310797.1234079194,2209569.7954956703,0.0,0.0,0.0,0.0,1972601.7108620964,2649653.3812437356,2310797.1234079194,2209569.7954956703,1257866.0068409722,1382036.69439472,1316467.284739973,1301325.747484784,307523.9375866944,353345.22780023114,331482.75292100076,323561.3891614322,3425999.7025976633,3466923.236742512,3417606.127927317,3440322.93954836,419291.3202785917,412977.25266541523,417801.6443725482,417081.39661397994,0.0,0.0,0.0,0.0,329928.06007167813,373768.578950444,347668.8029405087,345272.2416792462,2390089.8550688913,2302515.951224711,2318765.523839986,2359438.988723428,117793.94938068384,107791.41396552543,105322.0134028993,114293.06198537839,8353034.739512537,8538465.722148012,8377554.130236015,8417935.583434954,-6380433.028650439,-5888812.340904277,-6066757.006828096,-6208365.787939282,-24326357.88996273,-22439144.709406383,-23141360.53067876,-23665833.276768006,15.62,17.465333333333334,16.481,16.265866666666668,7.896342243690035,7.743464896496617,7.79018361776038,7.8428351721723395,51.5601907729867,57.117378333701716,54.68083030350966,53.505206419236956,0.0,0.0,0.0,0.0,64.26835607012393,94.4789044789724,77.34799313107744,74.84204801322089,28.573612424716345,32.04481070387415,30.046014966838424,29.788531822421575,313860.9710541472,350148.85283070087,328331.80465773935,326561.72967594094,28.573612424716345,32.04481070387415,30.046014966838424,29.788531822421575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313860.9710541472,350148.85283070087,328331.80465773935,326561.72967594094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,495.5078746067421,624.7793351014282,555.9957139349259,540.7528857798823,495.5078746067421,624.7793351014282,555.9957139349259,540.7528857798823,0.0,0.0,0.0,0.0,2287963.573722122,3205816.154576168,2726628.600778695,2609211.9770210376,0.0,0.0,0.0,0.0,2287963.573722122,3205816.154576168,2726628.600778695,2609211.9770210376,1372520.7705382921,1567645.4427114918,1456222.6311933848,1440814.405798912,344002.6876624386,411948.52730902337,376777.31992409774,367783.73153874325,3604622.63625835,3680620.0176192825,3602460.5420649187,3631221.7197346766,420973.391161517,415549.1497845608,419761.75143369375,419074.9066795823,0.0,0.0,0.0,0.0,351563.14940467424,433207.0916987842,386098.36097236106,380138.52920761274,2528653.3252070406,2474023.662977618,2468150.5238255626,2509532.9434267427,148801.4116238922,137346.43876975338,117133.53571003556,144792.17112494362,8892397.724562982,9288665.7828851,8971076.038511116,9031091.544975724,-6604434.15084086,-6082849.628308932,-6244447.437732422,-6421879.567954686,-30930792.040803593,-28521994.337715317,-29385807.968411177,-30087712.844722696,16.950666666666667,19.706666666666667,18.1375,17.915266666666668,7.471483799591896,7.315177177666868,7.361559627749453,7.416776481918136,51.69797150225468,57.28901465978589,54.83691718928519,53.65483660739061,0.0,0.0,0.0,0.0,74.95447217616075,113.41238149338379,90.93844545861856,88.41474043718881,30.0990347131215,36.697649006089364,33.00066330604271,32.40854971566026,332824.531360634,404853.9963254383,363363.74960770644,358034.8440983156,30.0990347131215,36.697649006089364,33.00066330604271,32.40854971566026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332824.531360634,404853.9963254383,363363.74960770644,358034.8440983156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,573.435698457906,753.4304747269247,655.0577759847781,636.4338701520626,573.435698457906,753.4304747269247,655.0577759847781,636.4338701520626,0.0,0.0,0.0,0.0,2655894.7040678645,3878421.6846583276,3221300.028633926,3083779.147274527,0.0,0.0,0.0,0.0,2655894.7040678645,3878421.6846583276,3221300.028633926,3083779.147274527,1501242.2779388935,1780629.8259328029,1617776.1985670957,1599027.9197367616,384987.37002905965,479948.38128980226,429173.388586192,418223.72397031955,3787306.603146767,3908865.2998377373,3806219.497354379,3829852.1469886065,422972.7662620845,418635.59547676047,422129.5816852658,421454.7564872211,0.0,0.0,0.0,0.0,385647.23232142313,516503.8734651981,442111.1113851622,431447.05672174436,2674393.126636646,2657800.0609387285,2627522.4457168747,2668585.5536423754,112194.5517050606,130703.02036360367,108626.810667909,118672.51573555068,9409533.189743798,10096764.227000434,9624261.565130074,9650064.052783621,-6753638.485675933,-6218342.542342107,-6402961.5364961475,-6566284.905509094,-37684430.52647952,-34740336.880057424,-35788769.504907325,-36653997.75023179,18.426333333333332,22.249,20.0155,19.764266666666664,7.066729692676774,6.907291122532816,6.954131366328069,7.010926193126388,51.83619459700647,57.46125514300633,54.993528190971894,53.804965788106415,0.0,0.0,0.0,0.0,87.1401986548852,136.11283205031364,107.37232698915354,104.28062034328515,32.5939847448584,43.195630609137,37.329676685060434,36.30456079735591,363862.18265770184,482475.6654526197,415268.02963787375,405376.9016359231,32.5939847448584,43.195630609137,37.329676685060434,36.30456079735591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,363862.18265770184,482475.6654526197,415268.02963787375,405376.9016359231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,660.9110865968225,907.860477896749,772.4569621885183,747.3433735517967,660.9110865968225,907.860477896749,772.4569621885183,747.3433735517967,0.0,0.0,0.0,0.0,3070570.003684756,4688344.405232402,3810344.120060464,3636791.0442264318,0.0,0.0,0.0,0.0,3070570.003684756,4688344.405232402,3810344.120060464,3636791.0442264318,1639191.29082551,2023612.944209305,1802555.345227952,1773738.8695098383,429266.538162563,558787.9924978887,489174.1366953622,474599.047179927,3977615.8471088726,4151810.286493006,4014340.6864481354,4038583.9008933194,425176.9064494148,422347.02699395304,424919.953917679,424186.4486400032,0.0,0.0,0.0,0.0,433195.79794651904,622390.2011136236,516562.2431867646,499413.83905500564,2823247.85120847,2854056.5487352675,2799006.797609097,2834030.895342849,118905.1486408718,113068.0606508297,146249.10255723275,116862.16784435707,10009425.942729976,10992300.803124644,10394704.711213924,10353432.14386811,-6938855.93904522,-6303956.397892242,-6584360.591153461,-6716641.099641678,-44623286.46552475,-41044293.27794967,-42373130.09606079,-43370638.84987347,19.977,25.114,22.1585,21.77495,6.685517377231739,6.523176440695664,6.570276909811968,6.628698049444113,51.974861655848905,57.63410213549281,55.15066526657791,53.95559582372427,0.0,0.0,0.0,0.0,98.2757579122757,161.6540337119237,126.46098823763734,120.45815444215248,36.14480941563537,51.3348241495719,43.03621433280829,41.46131457251316,408626.85846845014,581976.6926856427,484946.99612735526,469299.3004444676,36.14480941563537,51.3348241495719,43.03621433280829,41.46131457251316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408626.85846845014,581976.6926856427,484946.99612735526,469299.3004444676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,761.6078741611844,1094.1833697911454,912.1449233747983,878.0092976316707,761.6078741611844,1094.1833697911454,912.1449233747983,878.0092976316707,0.0,0.0,0.0,0.0,3549296.3052437743,5667867.403786993,4512944.473413508,4290796.1897339,0.0,0.0,0.0,0.0,3549296.3052437743,5667867.403786993,4512944.473413508,4290796.1897339,1790728.4187998753,2302251.933663641,2012088.567502272,1969761.6490021935,478426.5136144681,650886.9019683035,558130.9367620924,538787.6495383105,4175077.8493042206,4413533.578894777,4240009.289655607,4258537.354660915,427723.22186011187,426844.4676847739,428227.3510488121,427415.6578987435,0.0,0.0,0.0,0.0,493221.0592108338,751785.0073335797,609200.4581543485,583718.4410537949,2980222.7467181925,3064857.028928028,2984131.469512919,3009844.745491635,124466.98357415329,112539.34405144744,123136.00182132158,120292.30974120623,10658109.496645646,12020412.525900379,11194048.285222247,11134915.556884803,-7108813.191401874,-6352545.122113383,-6681103.811808738,-6844119.367150903,-51732099.65692662,-47396838.40006305,-49054233.907869525,-50214758.21702437,21.677,28.383666666666667,24.5535,24.02433333333333,6.3287796641293,6.165147152570891,6.211156113522267,6.271508285083857,52.11397428367491,57.80755799920323,55.308330382012876,54.10672858410982,0.0,0.0,0.0,0.0,112.52796397755388,194.08417468902866,149.16053352929563,141.07263772657006,40.527907407250645,60.97086197956533,49.982923475578076,47.682941507560784,465089.0682164453,703263.9636613226,571910.3247720246,548450.2816221523,40.527907407250645,60.97086197956533,49.982923475578076,47.682941507560784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,465089.0682164453,703263.9636613226,571910.3247720246,548450.2816221523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,877.5675721977474,1318.6956177297427,1074.6070996874428,1031.9623881339458,877.5675721977474,1318.6956177297427,1074.6070996874428,1031.9623881339458,0.0,0.0,0.0,0.0,4102261.3863165122,6852366.882395521,5331181.451140138,5064798.309944166,0.0,0.0,0.0,0.0,4102261.3863165122,6852366.882395521,5331181.451140138,5064798.309944166,1960636.1977653364,2632883.1003470477,2247505.2539541745,2195922.6136689354,533519.7199063622,758042.4485770502,635650.4707508128,612102.674941103,4381591.511177996,4687092.955297191,4478385.239595102,4488517.016619714,430632.5567662592,432241.5590739212,432057.92412203463,431195.70757394086,0.0,0.0,0.0,0.0,566315.548353211,908239.152108436,720016.6359272851,685988.8096675398,3145690.877744972,3290531.5230541904,3176669.5750268647,3196385.103603198,139291.6146712772,127775.19162269223,114631.07710423945,135260.86660427245,11375314.338012543,13196760.818274206,12087389.12417715,12012820.606104124,-7273052.951696031,-6344393.935878684,-6756207.673037013,-6948022.296159959,-59005152.60862266,-53741232.33594173,-55810441.58090654,-57162780.51318434,23.541,32.19733333333333,27.219,26.570716666666666,5.996916161737056,5.8321990150020016,5.878086658699272,5.9392651603797875,52.25353409168977,57.98162510596689,55.46652551112176,54.258365946686766,0.0,0.0,0.0,0.0,128.87750778429566,232.23616616154874,172.17682705094415,165.05303821633424,45.74336857413498,72.25295142243631,58.113473985206106,55.02172257104045,534096.1714071371,850180.1105680488,676972.4291645491,644725.5501134562,45.74336857413498,72.25295142243631,58.113473985206106,55.02172257104045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,534096.1714071371,850180.1105680488,676972.4291645491,644725.5501134562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,1009.3037199400628,1589.534784527233,1264.6591640003924,1212.3845925455723,1009.3037199400628,1589.534784527233,1264.6591640003924,1212.3845925455723,0.0,0.0,0.0,0.0,4731917.58245511,8283806.448756803,6292193.2409420945,5975078.685660702,0.0,0.0,0.0,0.0,4731917.58245511,8283806.448756803,6292193.2409420945,5975078.685660702,2149877.281587884,3011859.4504850665,2514606.1154382266,2451571.040701898,593899.2430494911,883395.2933370842,723856.972950818,695222.8606501487,4601592.557720376,4982437.088531125,4729846.341267607,4734888.143504139,433959.4380164161,438757.66248589446,436561.66653513885,435638.8165807335,0.0,0.0,0.0,0.0,652379.9330662102,1097551.2100626163,849905.278182074,808189.8800149523,3317714.6188593637,3533631.4328145054,3379869.902608678,3393285.5037436634,166341.66204668302,126348.91054999376,89454.56994857591,152344.19902284176,12166873.791532237,14509195.647771709,13057575.353072556,12986686.441216052,-7434956.209077129,-6225389.199014905,-6765382.112130462,-7011607.75555535,-66440108.817699775,-59966621.534956634,-62575823.693037,-64174388.26873968,25.601333333333333,36.538666666666664,30.21,29.4294,5.6887674274732785,5.523729202485793,5.569029756695733,5.631004048727659,52.39354269743761,58.15630583752784,55.6252526357187,54.410509796469185,0.0,0.0,0.0,0.0,145.97975174252383,278.784710813152,200.91224204421223,192.4614874172437,51.71993724542439,85.38304829704848,67.30864483593368,63.50202611349282,615884.9951305791,1027855.0323593282,799677.2176710208,760074.5081606413,51.71993724542439,85.38304829704848,67.30864483593368,63.50202611349282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,615884.9951305791,1027855.0323593282,799677.2176710208,760074.5081606413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
