paid_cac_usd,spend_share,median_peak_need_cr,share_profitable_by_m60,median_crossover_month,median_m60_users,worse_than_organic_only
15,0.05,6.974545024167165,1.0,15.0,118410.74187211697,False
15,0.15,6.299039291322359,1.0,12.0,136481.1620305436,False
15,0.25,7.1040043862480875,1.0,12.0,144551.86462223175,False
30,0.05,9.512439228219032,1.0,20.0,102173.05337927832,False
30,0.15,8.190956638537006,1.0,16.0,124840.37898361444,False
30,0.25,8.640400067091003,1.0,15.0,133350.6216030878,False
60,0.05,12.683611747554073,1.0,24.0,83898.45608183289,False
60,0.15,11.282209068709356,1.0,21.0,109477.50760902786,False
60,0.25,11.3055323658694,1.0,20.0,120786.40040280402,False
120,0.05,15.772851859938584,0.9988,30.0,65270.80735399276,False
120,0.15,14.867035323055578,1.0,25.0,90406.36465853905,False
120,0.25,14.996225683396842,1.0,24.0,103771.47224366822,False
250,0.05,18.615345824850138,0.982,36.0,50549.112900181375,False
250,0.15,18.446188663357972,0.9984,32.0,68959.89985111526,False
250,0.25,19.020716780537295,0.9996,30.0,82444.82619385378,False
500,0.05,20.92830707239289,0.955,38.0,41476.07591418795,False
500,0.15,21.72875410769405,0.9778,37.0,53915.47292247487,False
500,0.25,23.153016713982137,0.99,37.0,63639.753603957535,False
900,0.05,22.13170980927561,0.9328,39.0,37022.48880808745,False
900,0.15,23.954000341816382,0.9472,39.0,44756.55261050951,False
900,0.25,26.31229493292279,0.9556,39.0,51841.37540762512,True
1500,0.05,22.96028285321431,0.9168,40.0,34573.338961221365,False
1500,0.15,25.417970054420547,0.9206,40.0,39882.2350873188,True
1500,0.25,28.605663587838855,0.9204,41.0,44423.05316384259,True
2100,0.05,23.402594094720456,0.9096,40.0,33470.91714407182,False
2100,0.15,26.14969310580004,0.9062,40.0,37346.887722890744,True
2100,0.25,29.748480243991025,0.8984,41.0,40975.30823991471,True
