driver,reads_as,p10,p50,p90,s1_peak_need_cr,s1rank_peak_need_cr,lo_peak_need_cr,hi_peak_need_cr,s1_crossover_month,s1rank_crossover_month,lo_crossover_month,hi_crossover_month,s1_m60_contribution_cr,s1rank_m60_contribution_cr,lo_m60_contribution_cr,hi_m60_contribution_cr,s1_profitable_by_m60,s1rank_profitable_by_m60,lo_profitable_by_m60,hi_profitable_by_m60,s1_m36_minutes_per_user,s1rank_m36_minutes_per_user,lo_m36_minutes_per_user,hi_m36_minutes_per_user,s1_m60_users,s1rank_m60_users,lo_m60_users,hi_m60_users
add_rate_0,referral and growth rate at month 1,0.1402925608179592,0.19099417880664812,0.25129568435600574,0.14499588711576777,0.14186121368568805,96.24107243644558,199.25844982331606,0.10608779491576763,0.04066490395124975,61.0,61.0,0.008091089650378256,0.02291040650351477,-2.5935352578008715,-2.983738986876829,0.10663509353540138,0.03461782445316956,0.0,0.0,0.002094177222620498,0.0019538727189246825,150.7705085946692,146.47142712310716,0.34848042555126624,0.6396509582032237,3410.318031217478,67255.15664868418
tasks_day,tasks a user runs a day,1.202873340087057,1.5797898137706357,2.0300359093212563,0.07506411286530026,0.10669583240608332,103.27823671540695,180.868152166562,0.04821734588458849,0.015544725620865556,61.0,61.0,0.0778110342131476,0.11795261395719779,-1.9817847818496592,-5.476203553458971,0.04633895613656308,0.017049352872345887,0.0,0.0,0.49368653062666623,0.4993025048545063,103.61025735770153,202.43201378367337,0.0012417041602370525,0.0011389205726560522,24587.555386787688,23799.183989755627
eng_exp,engineering scaling exponent,0.2766758025621183,0.3451896080348108,0.4198130778598033,0.04740669382216206,0.09693538052885846,104.18603020501217,188.47224703453594,0.02080206867999661,0.00948949449950374,61.0,61.0,0.037383738780143824,0.1020007650218682,-2.163276205311554,-5.819410877248435,0.02454012341379838,0.0085615161570813,0.0,0.0,0.0011046416094293958,0.0009706055488765137,145.7673766583763,148.16266744981715,0.0010499601834038346,0.0010041072067290206,23527.705451390106,23573.134895870156
price_ind,"India price, $ a month",26.21221183074116,31.52864483154954,38.37865304158448,0.03451665926266412,0.06379595726841239,166.08002676489554,107.35792991840407,0.040222201195870694,0.014160423024256054,61.0,61.0,0.03799711919289,0.0661456823010867,-4.721626650458465,-2.2497282905381653,0.0347820757476564,0.012096724016900555,0.0,0.0,0.0009888135493944022,0.0008949470210423658,144.6478063477378,148.84073716513527,0.0014156470405090559,0.0009873122105107806,24265.5734030806,23207.03528249415
cap_ind,"India ceiling, users",24889.545801023003,78865.6912404465,248560.73988656758,0.033831291989879046,0.013863455893381138,123.34183878137158,141.84254182311332,0.009119447767117579,0.0032378073258207698,61.0,61.0,0.020492750409593075,0.01920940670916852,-2.799199345171185,-3.841713902787917,0.005386747642462148,0.002833628619157819,0.0,0.0,0.001847792141838778,0.0016736502557466264,147.49184379251793,146.199737382304,0.1986728532562712,0.13393026044308814,12120.45620124335,43825.07043894056
eng0,engineers at 100 users,4.007948464707526,5.2540427720609735,6.797367489799793,0.029285190989555794,0.0696861011063415,105.90179940330701,172.1187396469897,0.008950067789069288,0.0037904978286337453,61.0,61.0,0.01654638599943645,0.047930512059253784,-2.3300000697534564,-4.782564726269166,0.010543940048195456,0.005095808421240768,0.0,0.0,0.001327635311305642,0.0013452282736455706,149.62332897750235,146.51986468971864,0.0011528367922026732,0.0015123044153257594,23971.744619285815,23496.581892141345
tail_floor,tail share floor,0.03197370144458332,0.0474998554452118,0.06550685445915047,0.025388056613513423,0.03093519483658674,117.91870091829448,160.06361013467745,0.014222205537060793,0.006525655399501636,61.0,61.0,0.03648094425730714,0.05521392472558983,-2.484723267335158,-4.781691364230145,0.017642322853839616,0.006736852468204635,0.0,0.0,0.12061929746862292,0.11504551331031751,126.67933874604437,173.71417814724725,0.0011691229554385734,0.0016275603514239,23285.5612032438,23073.82631002947
gna0,"G&A at 100 users, Rs a month",599420.014755927,1154392.7763664902,2215742.6048797425,0.022876147151402012,0.05552292944857234,117.22574179728177,178.64032884428485,0.0062085488580868355,0.002861547724641371,61.0,61.0,0.007482505096670807,0.021987217520985546,-2.8505186301168846,-4.608476500425341,0.0059350057806688864,0.002252212232656782,0.0,0.0,0.001360607710528234,0.0013592926977344809,146.74901583834838,147.92655134761378,0.0010220600603523897,0.0014707393457455995,24437.608828187433,24910.911903894885
eng_ctc,"engineer cost to company, Rs a year",3117001.306768548,3763675.80080169,4553508.0529713845,0.01643884308526202,0.03628676185208688,116.02898061492242,164.930757757138,0.003894110602235129,0.002749267351649417,61.0,61.0,0.008670721741434698,0.02497257668212645,-2.711632617283432,-4.563193303546967,0.004673566324469641,0.0024099463184423663,0.0,0.0,0.0015441455962517832,0.0015545654528901654,148.4460595738022,147.23639663344096,0.0014216291106681279,0.0014834724958611802,24030.139511657704,24461.870097517465
gen_ctc,"generalist cost to company, Rs a year",468014.33624338865,527051.3666036772,595004.6949582021,0.013443783352586329,0.01858489869533975,121.46403865297357,157.64736231489962,0.010001295969131697,0.004433752990319385,61.0,61.0,0.015073528448620057,0.022973110035399032,-2.6633013312985856,-4.288463986699076,0.010744522293880848,0.003792553666242635,0.0,0.0,0.0015808587459813217,0.0014554192836010475,149.90560172652667,148.3960292395999,0.0009381580544824899,0.0009537839372469603,24708.422326682783,25069.65998831545
