driver,reads_as,s1_peak_need_cr,s1_crossover_month,s1_profitable_by_m60,s1_m60_users
seed_users,users at month 1,0.007059069050787541,0.018272279060348822,0.0011501150115011006,0.002875982764850948
add_rate_0,referral and growth rate at month 1,0.10470772553655047,0.34873830332494543,0.0011501150115011006,0.1850423852555055
add_decay,monthly decay of that rate,0.00312384938594212,0.010658616330722792,0.0011501150115011006,0.028584049039083542
cap_ind,"India ceiling, users",0.006773405361627979,0.05273396050591166,0.0011501150115011006,0.43005565464716466
cap_uk,"UK ceiling, users",0.0006928150772083493,0.008342914286120084,0.0011501150115011006,0.06749628008007742
cap_us,"US ceiling, users",0.0018162184769856258,0.001768481867367696,0.0011501150115011006,0.027751909103708564
churn_0,churn at month 1,0.009106310391666077,0.02488604728429617,0.0011501150115011006,0.007033154830784179
churn_floor,churn floor,0.002359197976940943,0.004974788492232257,0.0011501150115011006,0.011020088906672209
churn_halflife,months to half the churn gap,0.003419157374234361,0.00969040305148233,0.0011501150115011006,0.009668447630033435
churn_vol,churn sensitivity to saturation,0.001405777206606577,0.0012435208333403426,0.0011501150115011006,0.0010117423446558034
cac_0,"cost to acquire a user, Rs",0.0009684443012104465,0.0010810186528018289,0.0011501150115011006,0.001685744692703236
cac_growth,monthly growth in that cost,0.0013383715998751418,0.001035440768995592,0.0011501150115011006,0.001885212035081307
tasks_day,tasks a user runs a day,0.04497082208304587,0.01941089158817988,0.0011501150115011006,0.00081403660064368
price_ind,"India price, $ a month",0.11666307225179416,0.08209747425912718,0.0011501150115011006,0.0019121636763916468
price_uk,"UK price, $ a month",0.00210496417452891,0.007343462323405414,0.0011501150115011006,0.002038815401167319
price_us,"US price, $ a month",0.0007193756181759964,0.0012688852136345503,0.0011501150115011006,0.0007522537034111426
price_drift,price_drift,0.004822645930638604,0.009431604330269799,0.0011501150115011006,0.0018469864319474593
fx,rupees to the dollar,0.007056812040041129,0.007365209571710577,0.0011501150115011006,0.0007060211923288099
auto_0,automation at month 1,0.0012810204037928285,0.0013681259785030097,0.0011501150115011006,0.0013479773828790004
auto_ceil,"automation ceiling, share of tasks",0.0024473603216429054,0.0018854748694003237,0.0011501150115011006,0.001160193643665484
auto_hl,months to half the automation gap,0.0028850386383440603,0.0023924674466418204,0.0011501150115011006,0.001220049140490348
jump_rate,jump_rate,0.0013424163303091573,0.0008654739596483831,0.0011501150115011006,0.0015035235865073582
jump_size,jump_size,0.0014358375983165813,0.0009463623263466675,0.0011501150115011006,0.0008849321640004267
tail_0,tail share at month 1,0.004518313738426324,0.0011254810858494296,0.0011501150115011006,0.0008983425171301422
tail_floor,tail share floor,0.004894566118942107,0.002480066704589067,0.0011501150115011006,0.0008501982235614157
assist_0,"assisted task at month 1, minutes",0.0029447577960766544,0.0019338737120091938,0.0011501150115011006,0.0016028875376148384
assist_floor,"assisted task floor, minutes",0.0011995415404302393,0.0011408670316397514,0.0011501150115011006,0.0014853581595305715
tail_min_0,"tail task at month 1, minutes",0.011485070775189815,0.003478277930409165,0.0011501150115011006,0.001156688041105239
tail_floor_min,"tail task floor, minutes",0.0015019888934402377,0.002108807510422951,0.0011501150115011006,0.0014487160844534892
learn_hl,months to half the learning gap,0.00551982559068136,0.0047506374498378166,0.0011501150115011006,0.001014689535917873
attrition,annual attrition of the floor,0.0010454284827821952,0.0005777705144294538,0.0011501150115011006,0.0009046001630357147
tok0,"tokens a task at month 1, $",0.006763275868599259,0.0027986087259448656,0.0011501150115011006,0.0015733775539264617
