driver,reads_as,pinned_at,median_peak_need_cr,median_crossover_month,share_profitable_by_m60,share_profitable_by_m36,median_m60_contribution_cr
tasks_day,tasks a user runs a day,1.043107072228067,96.44367242788115,61.0,0.31,0.017,-1.7250682996271771
tasks_day,tasks a user runs a day,1.1919713901712263,107.08193745643118,61.0,0.2505,0.010333333333333333,-2.1756352862092943
tasks_day,tasks a user runs a day,1.3408357081143856,117.85640170520648,61.0,0.19816666666666666,0.006833333333333334,-2.589869003571761
tasks_day,tasks a user runs a day,1.4897000260575446,129.19383246314072,61.0,0.14833333333333334,0.003833333333333333,-3.0535219893205072
tasks_day,tasks a user runs a day,1.6385643440007038,141.04133993775002,61.0,0.1115,0.0021666666666666666,-3.534620193596213
tasks_day,tasks a user runs a day,1.787428661943863,152.53536885938976,61.0,0.08116666666666666,0.001,-4.046887844726261
tasks_day,tasks a user runs a day,1.936292979887022,165.6166659553278,61.0,0.0605,0.0006666666666666666,-4.5825334912878155
tasks_day,tasks a user runs a day,2.0851572978301816,177.43336514190298,61.0,0.046,0.0003333333333333333,-5.150238032665732
tasks_day,tasks a user runs a day,2.2340216157733406,189.4939524482582,61.0,0.03133333333333333,0.0,-5.718421166438057
price_ind,"India price, $ a month",23.895183280653956,168.34211649232836,61.0,0.0475,0.00016666666666666666,-4.806430669924477
price_ind,"India price, $ a month",26.09741210441358,158.7505945547182,61.0,0.06566666666666666,0.00016666666666666666,-4.353863867651546
price_ind,"India price, $ a month",28.299640928173204,149.3239442483771,61.0,0.08733333333333333,0.0006666666666666666,-3.9475439058637205
price_ind,"India price, $ a month",30.501869751932826,140.22836202312556,61.0,0.11466666666666667,0.0018333333333333333,-3.5525397716146596
price_ind,"India price, $ a month",32.70409857569245,131.8843098432997,61.0,0.146,0.0028333333333333335,-3.1969006084932827
price_ind,"India price, $ a month",34.906327399452074,123.95892805480983,61.0,0.18116666666666667,0.005166666666666667,-2.846034302577882
price_ind,"India price, $ a month",37.10855622321169,115.84135609967336,61.0,0.219,0.0075,-2.532527087073429
price_ind,"India price, $ a month",39.31078504697132,108.4243127098905,61.0,0.25233333333333335,0.012,-2.2371568209743558
price_ind,"India price, $ a month",41.513013870730944,101.60831041978795,61.0,0.2915,0.018666666666666668,-1.9372761337871323
auto_ceil,"automation ceiling, share of tasks",0.6086278617052019,149.31176358171172,61.0,0.08766666666666667,0.0018333333333333333,-4.132591101674932
auto_ceil,"automation ceiling, share of tasks",0.6385437532392787,144.62709560678064,61.0,0.1015,0.0018333333333333333,-3.8727653197724434
auto_ceil,"automation ceiling, share of tasks",0.6684596447733556,141.09540466191572,61.0,0.11383333333333333,0.0025,-3.6600752970245845
auto_ceil,"automation ceiling, share of tasks",0.6983755363074324,137.13517758143507,61.0,0.12666666666666668,0.003,-3.4445912338635605
