driver,reads_as,swept_from,swept_to,at_half_the_paths_profitable,at_nine_in_ten_profitable,at_twice_the_plan_trough,at_thrice_the_plan_trough,need_span_cr,profitable_span
add_rate_0,referral and growth rate at month 1,0.11754601983123975,0.27841080929871753,,,,,102.88515423903007,0.39233333333333337
eng_exp,engineering scaling exponent,0.24544140361414607,0.45363648116717986,,,,,98.6412761388554,0.2075
tasks_day,tasks a user runs a day,1.043107072228067,2.2340216157733406,,,,,93.05028002037704,0.2786666666666667
eng0,engineers at 100 users,3.448973888669571,7.434006311587927,,,,,73.87597552799339,0.1295
gna0,"G&A at 100 users, Rs a month",408172.457902509,3247403.4338712227,,,,,73.24128536300091,0.09516666666666666
price_ind,"India price, $ a month",23.895183280653956,41.513013870730944,,,,,66.7338060725404,0.244
tail_floor,tail share floor,0.025365634293994438,0.0736234034452515,,,,,45.61203164593999,0.19499999999999998
gen_ctc,"generalist cost to company, Rs a year",442019.7721367671,624536.1072512041,,,,,34.11074551047615,0.11083333333333334
price_drift,price_drift,0.0005312228562691709,0.005346660936429334,,,,,31.751884924582072,0.17816666666666667
auto_ceil,"automation ceiling, share of tasks",0.6086278617052019,0.8479549939778167,,,,,28.49529896058735,0.11099999999999999
cap_ind,"India ceiling, users",12421.780105321002,493807.6172271415,,,,,23.33870709545232,0.10266666666666666
add_decay,monthly decay of that rate,0.9862791963996372,0.9958862548606612,,,,,17.982752610165193,0.1765
assist_floor,"assisted task floor, minutes",2.0242613172250654,3.9338646091581784,,,,,12.753065931967882,0.04266666666666666
