driver_a,a,driver_b,b,median_peak_need_cr,share_profitable_by_m60,median_crossover_month
add_rate_0,0.11754601983123975,gna0,599420.014755927,46.893847004702764,0.282,61.0
add_rate_0,0.11754601983123975,gna0,1154392.7763664902,54.68479010362231,0.21916666666666668,61.0
add_rate_0,0.11754601983123975,gna0,2215742.6048797425,69.76223622429552,0.12983333333333333,61.0
add_rate_0,0.13363249877798752,gna0,599420.014755927,38.1858504621587,0.5856666666666667,57.0
add_rate_0,0.13363249877798752,gna0,1154392.7763664902,46.750162073862334,0.5158333333333334,60.0
add_rate_0,0.13363249877798752,gna0,2215742.6048797425,63.35841637965244,0.38483333333333336,61.0
add_rate_0,0.1497189777247353,gna0,599420.014755927,30.082758858116893,0.8201666666666667,47.0
add_rate_0,0.1497189777247353,gna0,1154392.7763664902,37.49639252742747,0.7773333333333333,49.0
add_rate_0,0.1497189777247353,gna0,2215742.6048797425,53.207799828272236,0.6765,54.0
add_rate_0,0.16580545667148308,gna0,599420.014755927,23.94025636395137,0.9481666666666667,43.0
add_rate_0,0.16580545667148308,gna0,1154392.7763664902,30.391281697612058,0.9246666666666666,44.0
add_rate_0,0.16580545667148308,gna0,2215742.6048797425,44.07712005701729,0.8621666666666666,47.0
add_rate_0,0.18189193561823086,gna0,599420.014755927,18.813777783249186,0.9871666666666666,41.0
add_rate_0,0.18189193561823086,gna0,1154392.7763664902,24.451524971935807,0.98,41.0
add_rate_0,0.18189193561823086,gna0,2215742.6048797425,37.04964388916469,0.9586666666666667,43.0
add_rate_0,0.19797841456497864,gna0,599420.014755927,15.316541515941646,0.9973333333333333,38.0
add_rate_0,0.19797841456497864,gna0,1154392.7763664902,20.09588861113643,0.9953333333333333,39.0
add_rate_0,0.19797841456497864,gna0,2215742.6048797425,31.11831902095814,0.9883333333333333,40.0
add_rate_0,0.21406489351172642,gna0,599420.014755927,13.205819458172083,0.9988333333333334,35.0
add_rate_0,0.21406489351172642,gna0,1154392.7763664902,17.309946103585723,0.9983333333333333,36.0
add_rate_0,0.21406489351172642,gna0,2215742.6048797425,26.729049950096737,0.9963333333333333,37.0
add_rate_0,0.2301513724584742,gna0,599420.014755927,11.639310628495846,0.9996666666666667,29.0
add_rate_0,0.2301513724584742,gna0,1154392.7763664902,15.377321018365151,0.9995,31.0
add_rate_0,0.2301513724584742,gna0,2215742.6048797425,23.737511365877836,0.9983333333333333,34.0
add_rate_0,0.24623785140522197,gna0,599420.014755927,10.363984489090647,0.9998333333333334,25.0
add_rate_0,0.24623785140522197,gna0,1154392.7763664902,13.861726307722966,0.9996666666666667,26.0
add_rate_0,0.24623785140522197,gna0,2215742.6048797425,21.58301970697459,0.9996666666666667,29.0
add_rate_0,0.2623243303519698,gna0,599420.014755927,9.317845332955986,0.9998333333333334,23.0
add_rate_0,0.2623243303519698,gna0,1154392.7763664902,12.581369464515195,0.9998333333333334,24.0
add_rate_0,0.2623243303519698,gna0,2215742.6048797425,19.806711947355566,0.9996666666666667,26.0
add_rate_0,0.27841080929871753,gna0,599420.014755927,8.37827316315408,0.9998333333333334,22.0
add_rate_0,0.27841080929871753,gna0,1154392.7763664902,11.485505125758241,0.9998333333333334,23.0
add_rate_0,0.27841080929871753,gna0,2215742.6048797425,18.42742685715606,0.9998333333333334,24.0
