driver,reads_as,p10,p50,p90,s1_peak_need_cr,s1rank_peak_need_cr,lo_peak_need_cr,hi_peak_need_cr,s1_crossover_month,s1rank_crossover_month,lo_crossover_month,hi_crossover_month,s1_m60_contribution_cr,s1rank_m60_contribution_cr,lo_m60_contribution_cr,hi_m60_contribution_cr,s1_profitable_by_m60,s1rank_profitable_by_m60,lo_profitable_by_m60,hi_profitable_by_m60,s1_m36_minutes_per_user,s1rank_m36_minutes_per_user,lo_m36_minutes_per_user,hi_m36_minutes_per_user,s1_m60_users,s1rank_m60_users,lo_m60_users,hi_m60_users
add_rate_0,referral and growth rate at month 1,0.1402925608179592,0.19099417880664812,0.25129568435600574,0.3411177555879422,0.3765816764074929,51.75391075989181,13.210487523817445,0.6006839768556826,0.5920582392155493,61.0,24.0,0.33782839088449124,0.6050808334645921,-0.45849026534692533,30.297668006307333,0.3998278883926522,0.11859658836455023,0.0,1.0,0.001936762913600732,0.0018970425877301064,57.54955144666684,55.943595346314616,0.331022588063623,0.6077470561376426,4740.605569561863,74649.84363480096
gna0,"G&A at 100 users, Rs a month",599420.014755927,1154392.7763664902,2215742.6048797425,0.16125963232233015,0.15125132941422836,16.102124610541864,41.985561151167914,0.015264514483331089,0.01398603032421758,39.0,42.0,0.0019068270611154823,0.004557488044403718,10.3500222541526,8.603502782533468,0.007022801201461164,0.0024917519039181282,1.0,1.0,0.001394413031662022,0.0014139906163449774,55.894701270150925,56.48571751190863,0.0009871627849021905,0.0013675489364276224,30070.093590858924,31064.349998928978
eng0,engineers at 100 users,4.007948464707526,5.2540427720609735,6.797367489799793,0.06882507336101351,0.06660445108503735,17.618920100411405,33.366875602945356,0.010226160849420478,0.009537723743214313,39.0,42.0,0.0021444302100835973,0.0038360960221252415,10.186705179688442,7.97253164888445,0.006860127245361716,0.0032387784116256965,1.0,1.0,0.0012918550335160753,0.0013129892076012215,56.89562920285911,56.09140019801132,0.0011235734411756476,0.0015150750202764366,29678.903095839116,28934.941205933334
price_ind,"India price, $ a month",44.92719392935824,53.46926072381208,63.64744220171763,0.04935547717381311,0.06407513705414909,33.15356093308996,18.10906132417766,0.024734812292173964,0.02394127612862194,43.0,38.0,0.013788915126257769,0.01593946435146116,6.509183852342495,12.239860539589229,0.005449859326735784,0.0030612100789605234,1.0,1.0,0.0010871015937168964,0.0010478041012257611,54.840387025167104,56.84583044896145,0.001418940914571561,0.0009607659770044151,30214.427124026424,28982.930516296452
eng_ctc,"engineer cost to company, Rs a year",3117001.306768548,3763675.80080169,4553508.0529713845,0.042413666728222596,0.04004815038566913,19.6671920039597,30.823213853585088,0.007291489712041157,0.0070124269361323205,39.5,41.0,0.0017713234389370822,0.002878596729900242,10.014185293165191,8.75084348499136,0.0045686019897560985,0.0020599197643435476,1.0,1.0,0.001711673655094936,0.0016742307182855774,56.993542204487085,56.070430902619165,0.001458210787390458,0.0014463663115246656,29606.01854353278,30356.219707597313
eng_exp,engineering scaling exponent,0.2230483623117889,0.2751945130830169,0.33320895081614554,0.03378108993872157,0.030248600616085267,20.315319715858564,31.14904558578072,0.009853910134211259,0.009337397266968493,39.0,42.0,0.0021775962806417698,0.0051983081280432735,10.27047735459433,7.664411172520245,0.005132196798289629,0.001504945924144862,1.0,1.0,0.001245759771552556,0.0010396437759303582,55.54879484422494,56.57671477929607,0.0010588166411690122,0.0010494727751349316,29155.31836042062,29562.40035128652
seed_users,users at month 1,142.3967612390941,221.78111353402554,321.08763849040434,0.030503638671057327,0.03681169339913674,31.91570380980913,19.870579332556602,0.046822318076513006,0.044861165890512915,44.0,37.0,0.01283080636131346,0.026446794021150726,6.067980178412368,12.428354843467556,0.01756714771020652,0.004192901285476,1.0,1.0,0.001356568908566503,0.0012212463168681169,55.7617487252129,57.21814368743213,0.010623055360489663,0.022051254512403137,23057.677784771924,37255.95944846324
churn_0,churn at month 1,0.07541887105935643,0.09529587994012362,0.11997443310153366,0.018530017719338557,0.023839833301395833,20.37037225836615,29.473996553390915,0.030564569747836192,0.029315257181334382,38.0,43.0,0.009631903073584165,0.01801769515790549,12.278010765504906,6.1965426450171,0.012251423947901702,0.003113087053748968,1.0,1.0,0.0010690216051933397,0.0010179485487398724,55.598059178646835,57.0637559504638,0.010685278261678914,0.020424263986035664,36669.20593474485,22917.804401711917
tasks_day,tasks a user runs a day,0.6689346778358007,0.8764452811125317,1.108951365080861,0.015090995140050313,0.02017227362030318,20.778233238412973,28.41475661665524,0.007265673952259538,0.0071440483600788696,39.0,41.0,0.004234623268674887,0.00441742335345356,10.875993704208733,8.348259034259993,0.0021720431561965087,0.0009186280815128207,1.0,1.0,0.40650102462155097,0.4115978573743334,39.67693499572813,76.0894158571179,0.001189991869226084,0.0011018347330070879,30770.520808660698,29404.555743057048
gna_exp,G&A scaling exponent,0.3092482443527982,0.38268508673095614,0.45886141372124345,0.01467682260931049,0.013127674326287937,21.6617696028141,29.065461481485936,0.00336068328159784,0.0031101263536928154,40.0,42.0,0.0010135853604747876,0.0012592801806656994,9.544931610302568,9.104337621349606,0.002352649674385664,0.002170826887628318,1.0,1.0,0.0013171727724196772,0.0015549666641799186,55.864267522924806,56.46228086244602,0.0007342281906261123,0.001111193736595483,28939.818971800083,30430.207837233545
add_decay,monthly decay of that rate,0.9878486874634694,0.9915060998226737,0.9945388203388184,0.014299719036683853,0.011800415477328536,28.387077586953215,21.84050118979139,0.02863467245631372,0.026214690596450478,43.0,38.0,0.03859585214008048,0.06329931665139205,4.065517361773445,15.78924510554803,0.027784865409460846,0.007975190015350483,1.0,1.0,0.0006503109413901623,0.0006990800732889495,56.42699952996279,55.947729462541346,0.035282735776123175,0.060125507888072534,17778.219733316684,44648.79241788156
us_entry,"US entry cost, Rs",11945751.756042458,28972656.165298074,70605881.17528567,0.00838362010744846,0.0077692544799018845,23.63508355692315,29.070177028258577,0.008604215254652454,0.009172023953770063,39.0,42.0,0.0007675832357981438,0.0012708512207183786,8.999760665405773,9.59337297952866,0.0014086283700920103,0.0013454938979587377,1.0,1.0,0.0009442483438710028,0.0011322296451180716,56.73265231009995,57.26337697136406,0.0009555612326051774,0.0013434176424285426,28719.49121586574,30049.424044286963
churn_halflife,months to half the churn gap,11.064925130026317,15.05940942867615,19.91542962583366,0.00822227111300497,0.007974640802019104,22.393601402162254,27.122636411567143,0.014195461241958116,0.013476457010749895,39.0,42.0,0.009929216458174342,0.014966073823696429,11.744350593748322,6.5188213524852126,0.00922722544120251,0.0031464035147572593,1.0,1.0,0.0006930772277931921,0.0008210216292613054,55.87670925259856,55.62796893641371,0.009434305800505118,0.01437313178848158,35460.27422840767,23654.62392187478
eng_infl,eng_infl,0.12340551922691124,0.15224974072709374,0.18404544746425444,0.0063093391701399115,0.004160106605660267,23.547641669001635,26.43618420908432,0.002351750264685353,0.0019637257523555615,40.0,41.0,0.0007324390271149334,0.001479546511126366,9.64336275458767,8.465528350616538,0.0036950300365291427,0.0015696689029404205,1.0,1.0,0.0007544864627476969,0.0008361327717390826,56.04177800733403,56.82572890803159,0.00044921870096461907,0.0006437778710781938,29531.839456035377,29931.48348881901
price_drift,price_drift,0.0012112511771371329,0.0027599279173920184,0.004557061438269297,0.006277478495763134,0.005329749673763122,26.711341012395273,22.02512096491406,0.0061317847374723995,0.0060951019015327524,42.0,39.0,0.009211464687840511,0.01102014177761911,6.805494813563758,12.018717150808406,0.0035823110748224355,0.002150644337620362,1.0,1.0,0.0010229858824359686,0.0009099864849924658,56.77087056166381,55.86634592328072,0.0016459385621802826,0.0018081585024466475,28536.16232626335,30835.11923792646
cap_ind,"India ceiling, users",24889.545801023003,78865.6912404465,248560.73988656758,0.005466264336754166,0.0048411887374554706,27.466370316617898,23.616284081594134,0.02691427322630766,0.02802601917673504,44.0,39.0,0.18096412659833658,0.1141050232492388,3.581949787799214,19.741517628708174,0.005902016070854728,0.0023153728069446817,1.0,1.0,0.0019792950418223995,0.0018672667323406666,56.311693174882826,55.78027408324593,0.23154574386452775,0.16970004532937008,14430.653723210951,59354.03010650525
churn_floor,churn floor,0.019131984301010905,0.025628376723960566,0.033496553644342626,0.005447715783356559,0.005207055515277639,22.97239494779812,25.947737265953982,0.010243844685008708,0.009262496094127487,39.0,42.0,0.010785635025239914,0.015998766678543164,12.242145911421584,6.857652991366296,0.009195203008899469,0.0037337591248469,1.0,1.0,0.0023131901936367626,0.0022478679219096703,55.11637758700219,56.55973791556034,0.009622244619634537,0.015061611565939027,35666.191778869405,24440.774313678492
us_m,US launch month,31.0,37.0,44.0,0.004369500432540435,0.006085592420621487,27.03958442487935,21.828437721487663,0.00223885949826445,0.005854427723028573,39.0,45.0,0.0028819373961399834,0.0035193778478371934,10.618346802403662,8.901101894932001,0.001201123008768306,0.029948591029048975,1.0,1.0,0.0015482749286225607,0.001665472989676182,56.7930384928207,55.7213475660827,0.002274039139731956,0.0023839022402710034,31640.864979075122,29104.053744193254
uk_entry,"UK entry cost, Rs",6062075.023727662,13344733.3902121,29757668.69077819,0.0043514893253040815,0.006608855380237138,22.646062432583008,27.250020335065898,0.0011488908800777555,0.0011817942459932378,40.0,40.0,0.0007851792230331574,0.0010605593123701488,9.767643517661828,9.290169706095867,0.0008988312478275981,0.0009642259330755663,1.0,1.0,0.0017185712665647639,0.0016767079308892723,56.981112440190834,56.20001014502142,0.0009311163750128476,0.0010109286600860701,30804.285064775322,30222.914268116678
fx,rupees to the dollar,86.40156657404506,89.51870110521861,93.13876386076846,0.003955171755487051,0.004302891150624727,25.357711583159272,22.238124874696098,0.0026311853717297076,0.0025632162722805407,41.0,40.0,0.0012305762839595622,0.0020165640282501607,8.760091115256678,10.295854503945993,0.0023564923662620263,0.0028500618215439055,1.0,1.0,0.001796587444690225,0.0016130573154538922,55.785717385328894,55.98397260073915,0.0009512948252663494,0.0007698374736645921,29685.77646678024,29463.773534596578
tail_min_0,"tail task at month 1, minutes",39.85813910560346,52.98706718523516,70.6510513677141,0.0035581500096810025,0.0042983563079946425,22.918460345693035,26.93157859268507,0.001297853067613561,0.001298047414441369,40.0,41.0,0.0012450327482401847,0.0008051789169291971,9.193787325720075,9.105689361926014,0.00128181953817197,0.0008976219234728038,1.0,1.0,0.07223556299352195,0.06682945225938362,49.8930359243421,64.608389619694,0.0012139914145050975,0.0007567510580381258,28899.777779484306,29957.84046760649
cac_0,"cost to acquire a user, Rs",594.6221813704259,1144.4735567327125,2195.211464345708,0.003534880760469092,0.0040341402475403505,24.05231151298893,27.36488878323368,0.002346264761363075,0.0021136648074979126,40.0,41.0,0.0013357433311456965,0.0014653840555947102,9.722862715749244,8.786022404374485,0.0016058865530787431,0.0010563985548197462,1.0,1.0,0.0011733897777328117,0.0011683631906996591,56.49939090568513,55.474229208157624,0.001616814597798645,0.0012048884518097212,29892.39710978388,29996.61205336979
replat2_c,"second replatform, Rs",8029702.214291943,18854377.594674084,44565915.00395836,0.0035015266083279076,0.003621414173727284,23.50262138188905,26.956177848328675,0.005716452752268643,0.006863661546287907,39.0,42.0,0.002394582055815937,0.002456227236748066,9.955186823631031,9.2324917973746,0.001303594792138034,0.0009438465089708647,1.0,1.0,0.0006793113428688977,0.0006340379943175942,56.90717443395219,56.168573453477904,0.0022231006919496837,0.0025810961081239943,31423.352405761634,30405.415628596405
gen_ctc,"generalist cost to company, Rs a year",468014.33624338865,527051.3666036772,595004.6949582021,0.0032461060178614735,0.00509584302038711,21.962927612252265,26.19663472275648,0.0025572559501251912,0.0024459669476836663,39.0,41.0,0.001952625379050264,0.0020264584161373968,10.151384700383662,9.279262645329993,0.0010064266203658168,0.0008049765621249424,1.0,1.0,0.0016182035409478919,0.001497746663049366,57.17894352169418,56.299377516106375,0.00094371832702761,0.0009211143480865345,30081.19929907772,31100.46817961974
oncost,employer on-costs,0.1848910660622356,0.21541485202984667,0.2508345572478077,0.002991341922493199,0.003154628649345323,23.72882965436581,26.176706535256933,0.0017401407269478587,0.0017237359275643434,40.0,41.0,0.0014395623588715153,0.0015977404104456016,9.522312024378472,8.985762987661937,0.00185950421691883,0.0016841692892166724,1.0,1.0,0.0013497593886893117,0.001394546194138865,56.2830646041816,56.228070423597785,0.0012232104208940188,0.0016229281952023207,30592.284856151695,28721.6371612379
learn_hl,months to half the learning gap,11.109135920312864,15.073125773367202,19.946824839405455,0.0029170859487875176,0.0031301658396141662,23.437833283958547,26.443816253301073,0.0020061537439119118,0.0019511135629340325,40.0,41.0,0.0011587148479007068,0.0014431086353140212,9.697954726912089,9.105517609035413,0.0014380890078108082,0.0010786344334765868,1.0,1.0,0.08424608764387247,0.08095985618674964,48.775243351907946,64.91043410356443,0.0009195081424201211,0.001048535478506338,29495.65713358869,30479.217927972713
tail_floor,tail share floor,0.03197370144458332,0.0474998554452118,0.06550685445915047,0.002907990209829525,0.003096092093790229,23.870563797201193,26.707352257923986,0.0024352877906455932,0.002481070166298925,40.0,41.0,0.002070346289583995,0.002786643001716609,9.668014061995553,7.83257673318596,0.0012241791600264991,0.0009158577966883939,1.0,1.0,0.2064461532981491,0.20114026101152815,44.83567037898895,70.66778845489219,0.0011291471740627558,0.0016082290162543237,28539.49300541818,29262.111710141056
inc_cost,"cost of an incident, Rs",400657.59964231204,1924692.8209510194,9103299.393507909,0.002844711933934118,0.002862604537917761,23.333756645815463,25.833383421802466,0.001545381276309151,0.0014487260337668166,40.0,41.0,0.0012689718731127267,0.001195108856237773,10.08905809031036,9.286729995534273,0.000982089571815505,0.0013777113958142807,1.0,1.0,0.0012570792653701262,0.0011684655651749139,55.52916768248478,56.08851694275352,0.0009531751480179034,0.0010759052299622633,30290.12420177586,29489.023515391647
tok_decline,monthly decline in token price,0.0409469265491058,0.05487447788783334,0.06889469343529052,0.0028190494077106223,0.0030427806094294532,25.442734897202044,23.68151169365791,0.002143896070262184,0.0020172320898780814,41.0,40.0,0.001026100215993598,0.0013321619681966543,9.240597861326677,9.490282047120798,0.0015597742505623685,0.0009454396145223513,1.0,1.0,0.0012394115930808099,0.0011616343722240848,55.70312981123121,57.03981740702264,0.000907082381248752,0.0010661603857679012,29940.26525910006,29673.39332401821
us_legal,us_legal,695413.6613278221,1560908.4953970844,3479881.702473334,0.0026734251651956316,0.002155494150847485,24.011553900056487,25.21928891411606,0.002439472828302208,0.0024159513051398803,40.0,41.0,0.002186045413581387,0.0015883910331484763,9.554867991505589,9.191358563480401,0.0012510780031610485,0.0007302907990307274,1.0,1.0,0.0011265865235496413,0.0012259988504899962,56.33055844895304,56.83760670358717,0.0018600780229054456,0.0011936367351665913,29093.55535764582,29637.83118402982
uk_legal,uk_legal,347710.1525011987,750798.119552979,1600214.6180587327,0.002645860894242551,0.0024859654901449126,23.797182855643733,26.709012073431932,0.0013491349420869916,0.0011854141736335358,40.0,41.0,0.001339068393966424,0.0011291765470791905,8.953633451762304,8.94647634999288,0.0021515487995225637,0.0021289024339210066,1.0,1.0,0.0009842758591152023,0.000880728773400572,56.57834937392359,56.23695276461305,0.0013739388292723172,0.0015548709894696751,28477.35700704578,29687.2117996514
tok_usage_growth,monthly growth in tokens a task,0.012309260854488063,0.021392179069266732,0.03171519857956252,0.0024081714647981403,0.0028499372382523452,23.28046317912837,25.714525546337924,0.001857593826619741,0.0018133460435133628,40.0,41.0,0.0010553186426046268,0.0013281783377941962,9.487230264666742,9.509503784262478,0.0011473253224991964,0.001161875013680938,1.0,1.0,0.0019924570849498857,0.0018909867920124679,56.54260202874406,56.332466395074235,0.0012495012267743485,0.0012757868006157168,30150.20493633423,30162.29242303042
tok0,"tokens a task at month 1, $",0.217292508999938,0.31482846662958863,0.4457248231193234,0.002401908533681883,0.00310257136911143,23.20494623201113,26.216816001085803,0.0015427375312933353,0.0014983242992883112,40.0,41.0,0.0015246496111811958,0.0012586255748553133,9.657401497147951,8.912496165074966,0.0012651678733743884,0.0017711222606690573,1.0,1.0,0.0008802039172913977,0.001025844267775862,56.87630280852666,55.79386316734558,0.001393263118804079,0.0011565965510777418,30294.13827110859,29128.01288000266
legal_base,legal_base,180400.8260431103,355356.38022002217,700062.6355503489,0.002268307261993499,0.0028833350200508407,23.40478346650138,26.152708555871296,0.0015424199964668703,0.0015032432063556075,40.0,40.0,0.0014720113439163904,0.0015624420181261055,9.50824184986455,9.287249897828621,0.0007041348594251087,0.0009452635084469086,1.0,1.0,0.0009384742183484601,0.000990963336999909,56.406417403816114,56.14415805293117,0.0015501211999679498,0.0015033487832071227,29583.64978532825,30441.582008622743
audit,"annual audit, Rs",1205044.6773308136,2457903.066517523,4968594.6494860565,0.0022647547543876655,0.0020527839751782084,23.666184048899968,25.711079889132698,0.0016611735618044321,0.001675125251991564,41.0,41.0,0.0018320278012741355,0.0017022522296318804,9.322323643197173,9.060989042393107,0.0016135719368314766,0.001936437236032343,1.0,1.0,0.0010664172241488974,0.0011095572281426423,56.489032108940734,56.2917500154161,0.0015789755979115836,0.0016704081857760202,29547.007797366798,29435.27282254032
makegood,"make-goods, share of revenue",0.016422809425882604,0.025024607961769127,0.03597725989590316,0.001994094416870981,0.0018094374942685936,24.025135623001045,25.45580613453943,0.0014616243302160235,0.0014748960755372434,40.5,41.0,0.0018067713771103642,0.0014972675850606694,9.796346184951602,8.944708940983194,0.0013522688892386575,0.0009889006863722505,1.0,1.0,0.001249811779061352,0.0012017076929480201,56.87996782349365,55.97629236668514,0.0015699588510417648,0.001217999136513749,30032.70617732732,29300.002745907128
auto_ceil,"automation ceiling, share of tasks",0.7343715505134639,0.8001355075856731,0.8665116404514914,0.0018908487151030253,0.0017336837832892093,25.722572720447044,24.798000434955057,0.0012555683105404463,0.0012418870524372174,41.0,40.0,0.0013717637606056121,0.001022749732439374,9.120146503200704,9.620067420448642,0.001354830683822905,0.000896083137496458,1.0,1.0,0.0378618861199109,0.037628663694025406,62.0612503390487,50.97852054011169,0.0013404030127630035,0.001003086776995218,29557.59001740748,29907.482801033864
tail_floor_min,"tail task floor, minutes",15.794458452550415,20.56165282599684,25.79885324031912,0.0017895718701938259,0.002098433199299832,24.604584181830553,25.33922058492975,0.00211155479140644,0.001992854418752134,40.0,41.0,0.0016869943228811338,0.0018217301056368271,9.930109051888227,8.760453021501341,0.001404785678215646,0.0008626632254966566,1.0,1.0,0.05571656943677365,0.05423616893612416,49.40378409916594,63.61446187162397,0.0013492715839807056,0.0012822272713268188,30323.388344527928,29764.102452228097
inc_rate,incidents a month,0.018244452845761476,0.029147619123642853,0.04350329250112166,0.001768978992737474,0.0014776271928603174,24.24212588899374,24.78018743741334,0.0010621887092740305,0.0011831035142390086,41.0,40.0,0.0007115448009523178,0.0011180248384100612,9.181073454648999,9.192886572866959,0.0011857522412628489,0.0015087043360417602,1.0,1.0,0.0009591906997531459,0.0009986519466966314,56.13108532972,56.66463179978143,0.0008513435152242167,0.0011135217627688035,29833.54346613671,29276.588948281176
assist_0,"assisted task at month 1, minutes",5.764792112329525,7.378745969871751,9.367266161307775,0.0017652325857570458,0.0015713443446133623,24.494959720372368,25.9082995484459,0.001747913194582065,0.0017048113155545296,40.0,41.0,0.0012406460591058088,0.001589456170281139,9.192301653033983,9.290962218337505,0.0015648978397308521,0.0020093873175809707,1.0,1.0,0.009177412674912564,0.009022894494525988,53.54813691903789,59.65596756114485,0.001539816659294318,0.0016382932104419814,29545.87657138822,29322.654079302134
prod_min,productive minutes a person a month,350.5206996501603,375.9104110997507,397.44020043444874,0.0017609453558733478,0.0017274013234297545,25.83345653295597,24.088183820062554,0.0010990281008540477,0.001192196955460491,41.0,40.0,0.0009278979456942731,0.0008586852862404639,8.79554371197508,9.568922403949598,0.0009090784261645724,0.001268645259152863,1.0,1.0,0.001678567797684644,0.0015498817275909522,55.54852447136312,56.26124864119349,0.0008643995133240205,0.0009856237179790583,29567.641730237643,30028.43595846669
auto_hl,months to half the automation gap,9.136372129015834,11.77066516058592,15.221420503574828,0.0017296356884794087,0.001981758978338149,23.988071622304666,25.942803285623057,0.0018172285497335436,0.0017793354306758387,40.0,41.0,0.0010261049762482213,0.001461955271034889,9.679310210014503,8.913705555038849,0.0014816395157429474,0.0009124271049048195,1.0,1.0,0.04490808146894967,0.04476905301277888,51.03378050053992,63.952927632092894,0.0011556563174694096,0.00161350058567125,31146.752982316397,29226.592873305824
soc2_c,"SOC 2, Rs",2494511.702559788,4767822.3737148605,9032750.891503453,0.0016376588262003596,0.001691425546007313,24.153243101832423,25.335586774552368,0.0015583609583166127,0.0014426106315365245,41.0,40.0,0.0010456945225994082,0.0012366764606679395,9.294970494426522,9.269898491093613,0.0018095492225260888,0.0012248695083171743,1.0,1.0,0.0013579145951905585,0.0013230790262364458,56.185770932703015,56.17432213808935,0.001284602150519677,0.0014040756000564423,29345.2581910638,29730.205180492278
sup_mult,supervisor and QA cost multiple,2.244402138627275,2.554377185670771,2.9131854898235763,0.0016064091788801518,0.0017318927803184846,24.1706547194068,25.67187794810753,0.001288036246546065,0.0014634572658961441,41.0,41.0,0.001155173170720812,0.0012076400474140977,9.08699131765053,8.79199493550195,0.0013215273542277399,0.0012772890767344743,1.0,1.0,0.0013180168919479465,0.0012454863000537159,55.95173938271567,56.4360746104109,0.0010718336177982645,0.0011233759276534424,28668.283831054323,30287.02932639826
price_uk,"UK price, $ a month",72.3013500928114,87.43819488133038,105.37119963131764,0.001604014753265804,0.0014213215169308012,24.955495426920578,24.172715844110456,0.0018066883557889153,0.0017277881683307194,41.0,40.0,0.0027283130216515664,0.002720337924437095,8.47961605637822,10.588153002149792,0.00115116801437556,0.0009883373246283426,1.0,1.0,0.0011894852552242648,0.0013490128018925315,56.52756904823498,56.33674257417805,0.0019516971050679208,0.0017295272246438166,29183.599234739864,30937.868664824087
auto_0,automation at month 1,0.3508963411854182,0.4147391449149191,0.4727870265082854,0.0015543670468098358,0.0011147220147380537,24.323676105682598,24.30552924805422,0.0011905289721250748,0.001133517056462541,40.0,40.0,0.0010033323493760205,0.0010489527251448818,9.27098280215231,9.473711885462672,0.0018121110171103272,0.0013447271381980697,1.0,1.0,0.0029986264984282985,0.0029149685496424205,57.663816115959705,55.217031932203,0.0010178683348323991,0.0010682611691031512,29798.815260269184,30072.345779183834
insur_1k,insur_1k,8849.620467938095,20094.29003316517,44787.37732424924,0.0015290284785315883,0.00152234727224212,24.6353184397568,25.082416110142766,0.002173644445352407,0.0020336115592715274,41.0,41.0,0.0010356447404473992,0.001578361814835905,9.4020514662421,8.84437381007235,0.0022399307126789547,0.0015323339229583342,1.0,1.0,0.0016043415931216774,0.0016531543599378855,56.37588238335436,55.79607507879459,0.0011769372790115709,0.001536759686709399,29684.422163937856,29342.150736366642
util,utilisation,0.660017764602218,0.7096617183553762,0.7595347925386885,0.0015185257246046512,0.0017166142769077875,25.061479260932842,23.50246845718975,0.0010784909115864592,0.0010984537384473845,41.0,40.0,0.001157422018048231,0.0011286595277303962,9.006045605788291,9.644896455397992,0.0008142920265475694,0.0012504238403760605,1.0,1.0,0.00137170837292166,0.0012426776490466942,55.92133884006484,56.10010482179993,0.001158239616538381,0.0011890482159288712,29705.197235358384,30134.12584366852
mgmt_infl,mgmt_infl,0.12098865289463764,0.1475980254986765,0.17634791191322505,0.0014722195720541257,0.0012775386050163462,24.58441263757384,24.252966286666183,0.0017215051788319997,0.0016436224780115528,40.0,40.0,0.0011620462748964183,0.0015062312796380788,9.477346219718985,8.991701400690294,0.001076875971432505,0.0006431769588666914,1.0,1.0,0.0010200638628008,0.0010710638782051587,57.05008185771072,55.614084595995436,0.0011064416007415501,0.001241613430664034,30023.078756024417,29544.52782834416
perks,perks,774.8613870983087,1258.2433392767418,1889.4269056458934,0.001450065750403815,0.001239150964594127,24.133206673982876,24.93743611857684,0.0010570671222697085,0.0011569348335123376,41.0,40.0,0.0014139638087082912,0.0011252829857107073,9.797104606178038,9.85155666016033,0.0010422917445452216,0.0014098293190983214,1.0,1.0,0.0009530793835461293,0.0009382183024142939,56.68061559639831,56.59010916138524,0.0015733114454772764,0.0011906086887402713,30275.579429863647,30512.766532451118
