month,users_cons,users_opt,users_med,users_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,gen_heads_cons,gen_heads_opt,gen_heads_med,gen_heads_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,eng_heads_cons,eng_heads_opt,eng_heads_med,eng_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,auto_share_cons,auto_share_opt,auto_share_med,auto_share_plan,tok_task_usd_cons,tok_task_usd_opt,tok_task_usd_med,tok_task_usd_plan,churn_cons,churn_opt,churn_med,churn_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,min_per_user_month_cons,min_per_user_month_opt,min_per_user_month_med,min_per_user_month_plan
1,266.2029103162138,234.00129730796908,243.9530360993699,254.93234576332813,730166.6382846828,701316.3575446702,695569.5504265389,720069.0400256785,1649498.6844527728,1169209.522699967,1367060.2265254513,1481397.4778392909,407565.1977490697,298003.2050927545,343603.5845176796,369218.5003193594,3371531.627207714,2492754.8777715955,3029268.1135009234,3063959.7649050727,425447.83394200733,400633.8524295316,418450.31316064234,416762.9404126408,72835.84974911738,48288.57818636519,54544.28439668911,64244.30470215411,2183373.2357387054,1427115.7309340606,1834120.077086977,1918683.1090570798,99426.65774794506,89170.61892534108,85157.28403824416,95837.04416003368,8248445.449591263,5961881.197870059,7168678.90709107,7448147.961488841,-7518278.81130658,-5260564.840325388,-6473109.356664532,-6728078.921463164,-7518278.81130658,-5260564.840325388,-6473109.356664532,-6728078.921463164,16.575,11.895,13.8665,14.937,21.142666666666667,15.376666666666667,17.7605,19.124566666666666,8.491333333333333,6.795,7.8005,7.897616666666666,9.292242824468802,8.84495235228335,9.11512933446388,9.135691159203894,0.4124784937241176,0.41321045815975804,0.41404821543871184,0.41273468127659174,0.32818274669897207,0.3168062157881788,0.32423360981240973,0.32420096088019446,0.09587394209874545,0.10148627493142434,0.09884388812659294,0.09783825859018305,30.640868676714618,33.31788364445906,31.76895030143462,31.577823915425174,484.0294864360249,398.1664632020984,443.480256141386,453.97742830415064
2,300.33397812263905,253.16581549382528,266.5583742560611,283.8251212025542,826260.8520916293,761403.0627710064,762242.3163601412,803560.6258294112,1806687.5783800131,1223407.1070542398,1449585.9854240604,1602539.4134159926,444466.7888681252,310220.1706387983,362103.44105689146,397480.4724878608,3562726.8212142144,2580468.70991337,3148363.0120383846,3218936.4822589187,426286.06346287887,401090.1953499012,419006.21940661944,417467.5096233367,81927.02744180855,53138.20127976631,60608.40532148923,71850.93828509377,2286765.0269898544,1469024.5602486762,1895482.5882423425,2000555.8636304422,142285.80885572,133204.6809390446,130003.21329122185,139107.4140848836,8795007.077427495,6210407.114583409,7505124.558921599,7890397.090432065,-7968746.225335865,-5449004.051812402,-6742882.242561458,-7086836.464602653,-15487025.036642445,-10709568.89213779,-13215991.599225989,-13814915.386065815,18.088333333333335,12.415333333333333,14.6205,16.102783333333335,22.996333333333332,15.992666666666667,18.6875,20.54505,8.864666666666666,6.952333333333334,8.014,8.19535,9.016351514155302,8.558305896470896,8.830527541411847,8.85603554796576,0.42532518381739365,0.4272480067849483,0.42756071780453975,0.4259981718560378,0.31739719377829395,0.30551043221263624,0.3129609253400624,0.31323682723031376,0.09281881643954501,0.0981243251615975,0.09551346931712607,0.09467574449226338,30.723480855914726,33.41795302850567,31.857882950004516,31.666546116321555,469.63313368892887,385.22949775217285,429.59472755375543,440.09186111106425
3,339.9792962173143,274.55339406298157,291.57739262020135,317.0802304632978,937751.4880995185,828459.5425056631,836073.2286720228,899499.3071416691,1974271.4558493341,1279877.8763755057,1531562.7532285205,1731233.7030334943,486108.28271878377,323761.3435544758,381689.63801932306,429286.85401127604,3758249.261063488,2669359.0684061805,3276221.91658268,3377137.6936334306,427262.5316951791,401600.07050932385,419620.3435034405,418280.67028012977,94183.00338077944,58064.49197597796,66531.15413018133,81541.52438909892,2397060.0642081005,1513290.6281596515,1959544.5402645126,2087740.7615911434,79335.93812807134,114981.94822289082,193565.1990312293,91812.04166125815,9266240.462204503,6404297.6765757855,7872573.932363237,8264560.487234452,-8328488.974104985,-5575838.134070123,-7036500.703691215,-7365061.180092783,-23815514.010747425,-16285407.026207915,-20252492.302917205,-21179976.566158596,19.702666666666666,12.923333333333334,15.368,17.329900000000002,24.957333333333334,16.609333333333332,19.598,22.035533333333333,9.242,7.108,8.2425,8.4951,8.70746394888049,8.24001965922279,8.51325968853545,8.543858447500295,0.4377360689546919,0.4407890768633105,0.4405816845081007,0.4388046217227084,0.307017414998111,0.2946630680039619,0.302131235283398,0.30269339355015884,0.08967935921589068,0.09571029542978761,0.09318899177204264,0.0917901868907546,30.806360611720574,33.51837243372853,31.947111057550217,31.75556474942336,453.5108569045042,370.86920887497394,414.1236725121277,424.5862800941686
4,385.15101667868703,298.38663334497494,319.06534730576004,354.78348251188777,1065381.3955023107,903576.3340308509,917997.2444740097,1008749.6239872999,2158473.7696395675,1338126.5957744,1616849.1094401293,1871352.2587867589,532682.5482919246,338919.7939226296,402695.96162975085,464865.58426267136,3963640.1777290916,2763347.0519365044,3404767.266519222,3543537.583701686,428381.8795312532,402172.24135932303,420289.56029064936,419208.5061710776,107145.40576356639,63423.320964547274,73062.11661773491,91842.6760839097,2513951.3396682534,1559257.9809198552,2025318.0511862712,2179808.664106314,99416.46462834763,76542.69866495053,60340.20838248922,91410.64654115864,9860225.689544482,6589075.303493813,8051457.520241743,8715323.054426748,-8794844.294042172,-5685498.969462962,-7133460.275767733,-7706573.430439448,-32610358.304789603,-21970905.995670877,-27385952.578684937,-28886549.99659805,21.436666666666667,13.439333333333334,16.127,18.6376,27.079666666666668,17.237666666666666,20.5255,23.634966666666667,9.633666666666667,7.2716666666666665,8.4675,8.806966666666666,8.387406114120038,7.911807189049574,8.185167052702074,8.220946490345376,0.4497015487857102,0.45387482487088027,0.4531629542869785,0.4511621954155197,0.2970267060878556,0.28424492769061105,0.29172557110259484,0.29255308364882,0.08756068074489534,0.09275110789580387,0.09064729597085348,0.08937733024771333,30.88950891897492,33.619143211720406,32.03663572360408,31.844880921435838,436.8042778660644,356.064393070091,398.12933773751047,408.54531818747375
5,436.65151391473165,325.665982752188,349.6167924393792,397.8065780078414,1211382.7092642996,989546.0441777079,1009006.6010926923,1133739.8764839924,2356580.5164302285,1403737.8435460227,1704230.4215687232,2023085.5809207566,583806.7644826344,356314.61126849824,425583.8195895911,504184.51085768675,4190789.2963476963,2866624.014848839,3553509.903543031,3727331.4478230965,429659.5684461337,402814.8972060804,421035.40484584717,420263.93351211504,121736.69729090165,70552.22306345843,80128.66535988745,103822.13131129653,2637235.621575978,1608581.014794811,2093612.69386901,2277206.5092025697,126789.50415628968,94144.7597826691,84683.19680589357,115363.84362552248,10510858.318941869,6854542.281122716,8415693.76981677,9231147.705705166,-9299475.60967757,-5864996.236945007,-7406687.168724075,-8097407.829221173,-41909833.91446717,-27835902.232615884,-34792639.74740901,-36983957.825819224,23.293,14.027666666666667,16.9075,20.05013333333333,29.340333333333334,17.949,21.4725,25.35336666666667,10.064,7.455,8.7355,9.15085,8.068491771468308,7.58658947453163,7.859240214083604,7.899825967540471,0.461285362436982,0.46648376696294575,0.46530738801869026,0.46310480402106924,0.28740909936214154,0.27423768675877175,0.28172583155501546,0.2827991049509621,0.0854100622554954,0.09100931366770677,0.08780752982747773,0.08736980024976937,30.972926756382957,33.72026671967489,32.12645805213999,31.934495743535134,420.1585159726723,341.3957057185948,382.246198424281,392.5915323837452
6,494.63475456099127,356.296200598289,384.133656170534,446.2162606740455,1376080.0513024328,1086145.9333541638,1111731.5931234802,1274603.1100205388,2576483.156273515,1474558.1101401055,1802839.0487232618,2190809.3901268216,639588.0608325735,375377.4881551488,450938.9309009426,547114.3603954748,4426597.822811968,2975148.6201512627,3694890.36305792,3918590.6018807213,431083.1024855242,403529.93734792573,421892.97007626866,421439.4946873647,137856.79307134487,77927.51678775706,89043.39365714177,116881.54637208914,2764876.233750474,1660153.0908960933,2166545.1983594866,2378223.133751441,147191.05321329975,91004.13623130758,173911.34033914408,127525.6322696025,11196643.71541486,7114509.677272536,8858356.62140829,9767896.802065045,-9820563.664112428,-6028363.743918373,-7746625.02828481,-8493293.69204451,-51730397.57857961,-33864265.97653426,-42539264.775693834,-45477251.517863736,25.307,14.659666666666666,17.777,21.580433333333332,31.810333333333332,18.714333333333332,22.535,27.226733333333335,10.507,7.647666666666667,8.98,9.506233333333334,7.758445615618623,7.270870339292882,7.542498521704325,7.587794268904613,0.47241659316308793,0.47870901696026297,0.47705963711139876,0.47461894149209916,0.2781493294132595,0.26462385022984203,0.27211474091841764,0.27341541169906336,0.08305186259131953,0.08777026066378436,0.08600931854441206,0.08470330191668221,31.056615106528568,33.821744320410886,32.21657915159243,32.02441033138738,403.9753048503163,327.1593717292128,366.81153065533294,377.08972825793006
7,561.9744516615358,390.3079274798571,422.5224055385037,501.8911681979482,1568045.5201690726,1193859.65241855,1226209.5997746917,1437080.4664563898,2821395.767874767,1551841.1886197669,1909227.639289962,2377051.665135517,702495.4402481847,396100.0428345273,478663.3214471276,595257.0511534046,4675588.852679388,3086141.861139139,3851766.3484346373,4119282.4056403004,432730.60279568436,404352.70797850826,422824.3939850256,422798.33960967266,158733.4273077921,86525.50925222869,99034.49992316667,133460.6559883449,2902694.780574107,1713481.2594537563,2242202.700262032,2486470.048181984,189767.11649431792,113709.88327072763,163478.54252205763,163147.08486606134,11966526.960414058,7414595.439539019,9231490.148654275,10373350.928107794,-10398481.440244986,-6220735.78712047,-8005280.548879581,-8936270.461651405,-62128879.018824585,-40085001.763654724,-50544545.32457341,-54413521.979515135,27.564,15.339666666666666,18.7125,23.28548333333333,34.557,19.544333333333334,23.673,29.302566666666667,10.964666666666666,7.8406666666666665,9.252,9.871266666666667,7.460182286632655,6.968957042545311,7.238789197392593,7.288253451202085,0.4832317547897356,0.49048848960574304,0.4884276903137186,0.48577161197533825,0.2692328004745463,0.2553867132866961,0.2628758093135628,0.2643866699587987,0.08150531744510982,0.08538489850072468,0.08377547524235311,0.08286317081457502,31.140574955890674,33.923577382397184,32.3070001348756,32.11462580516795,388.4089825333008,313.5440005476008,352.0121357372527,362.2062388383058
8,638.6125457188417,428.69554167309815,465.8687210804193,565.1415943028314,1787110.5056053957,1315420.227487946,1356108.943089657,1622018.9082642884,3093185.3198318356,1638696.0412526585,2029596.6609028378,2584114.0723291235,772122.968813859,419117.69139624626,509022.23426158493,648571.1217176946,4942605.595824304,3202922.324033492,4016266.7357708034,4333716.45069752,434618.90364778996,405267.2162992643,423882.6310001003,424345.813075806,180994.80587539438,95687.72815205177,110352.73772843182,151137.32867222448,3046797.6381580187,1770679.3105643508,2323027.8268484045,2600156.223500235,98137.17525016665,90827.34846067244,97588.98766414204,95578.73587384367,12663167.835583318,7691984.308797645,9580862.795197524,10923253.601208333,-10876057.329977924,-6376564.0813096985,-8224753.8521078685,-9301234.692944046,-73004936.3488025,-46461565.84496443,-58769299.176681265,-63714756.67245918,30.036333333333335,16.099,19.7715,25.15826666666667,37.568333333333335,20.474,24.966,31.58531666666667,11.455,8.041333333333334,9.5365,10.260216666666667,7.176031143452551,6.682054201328305,6.950164205632355,7.003139213709066,0.4936983368881079,0.5019007497951364,0.49939793535728083,0.4965691814055678,0.26064555537018425,0.2465103238439732,0.25399329501696244,0.2556982243360104,0.07859456790083029,0.08315119106944241,0.08118824639955136,0.08018938600984453,31.224807294859698,34.02576727977716,32.39772211940274,32.20514328958081,373.57989451139025,300.60406723940923,337.9504257349785,348.0383549661969
9,726.410322102837,471.33729413628856,514.6116223823612,637.134762314545,2039016.7053580042,1451003.2782993778,1502505.14279939,1833212.005887485,3398757.5748618506,1730774.068007968,2157161.497943859,2814963.3474629917,849647.0114665615,444077.8704636796,542504.8727964206,707697.8121155528,5224807.793849722,3325106.6267668395,4185799.0144545278,4559912.385370713,436778.55542072246,406289.512126171,425077.6986571902,426107.3902676294,207953.22844299467,105855.62374477237,123110.15662663852,172219.06679861687,3200608.6313554817,1829367.726227445,2407329.355622695,2720674.3145606685,102319.64310146829,107011.22556996056,101515.49743454302,103961.69696544058,13528919.262933837,8024348.004037874,10021287.944794936,11602319.322320249,-11489902.557575831,-6573344.7257384965,-8518782.801995544,-9769107.316432765,-84494838.90637834,-53034910.57070292,-67288081.97867683,-73483863.98889194,32.79633333333334,16.918333333333333,20.8965,27.239033333333335,40.925666666666665,21.464333333333332,26.325,34.1142,11.967333333333332,8.252,9.8235,10.666966666666665,6.907005898911802,6.411146509050947,6.6767219186446125,6.733455112460502,0.5037376173102024,0.5129052454010598,0.5100393639102893,0.5069462871420025,0.25237424597138647,0.23797944696313736,0.24545216866036043,0.24733606631849928,0.07694875045903284,0.081555441198419,0.07974644798233298,0.07856109221781798,31.309313117754044,34.12831539239356,32.48874622710536,32.29596391387788,359.54421516526475,288.39278522345205,324.6269124463233,334.6412146856303
10,825.5249463593219,519.6163325984837,568.0432785678096,718.4569315430285,2323809.957761766,1604744.5747958962,1663379.1954180126,2072137.0737237115,3735637.766214489,1835672.9084690006,2296246.6799636693,3070650.066003568,933948.8821964865,471809.6311255827,577601.9541070353,772200.1443216702,5523378.089255231,3454766.7350501157,4364894.023026082,4799364.115283441,439212.9003333078,407436.6654594927,426393.1131453882,428091.21812747256,235444.4395838058,118951.20045908676,136240.14937543345,194671.80589015415,3359089.28994975,1891309.0385614077,2494539.74830204,2845366.2019638307,136211.26314171017,76082.08589397257,110281.7233026539,115166.051105002,14486040.290207673,8339935.490529293,10493401.89299069,12334903.61032024,-12162230.332445905,-6735190.915733396,-8830022.697572678,-10262766.536596527,-96657069.23882426,-59770101.48643632,-76118104.67624947,-83746630.5254885,35.803333333333335,17.847666666666665,22.1025,29.51885,44.58433333333333,22.588666666666665,27.79,36.88585,12.499666666666666,8.474666666666666,10.1255,11.090916666666667,6.652312949333409,6.155701535382924,6.419048658148688,6.47849895445074,0.5135221941510638,0.5235748483236669,0.5202819992271351,0.5170406231114749,0.24440610508309366,0.22977953101827076,0.23723807921908047,0.23928680416040565,0.07496492164864203,0.07923624351013149,0.07787257394278041,0.07645988430016334,31.39409342283671,34.23122310581343,32.58007358445278,32.387088811878556,346.25690391905187,276.8751187299149,312.0755907290107,321.9732791028539
