month,users_cons,users_opt,users_med,users_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,gen_heads_cons,gen_heads_opt,gen_heads_med,gen_heads_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,eng_heads_cons,eng_heads_opt,eng_heads_med,eng_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,auto_share_cons,auto_share_opt,auto_share_med,auto_share_plan,tok_task_usd_cons,tok_task_usd_opt,tok_task_usd_med,tok_task_usd_plan,churn_cons,churn_opt,churn_med,churn_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,min_per_user_month_cons,min_per_user_month_opt,min_per_user_month_med,min_per_user_month_plan,adds_organic_cons,adds_organic_opt,adds_organic_med,adds_organic_plan,adds_paid_cons,adds_paid_opt,adds_paid_med,adds_paid_plan,marketing_spend_cons,marketing_spend_opt,marketing_spend_med,marketing_spend_plan
1,261.77962818561605,294.619481145182,277.72519652281596,273.2735767214641,1221432.8200280415,1470789.6433501872,1340458.8077383665,1308707.7081907925,922552.2026966693,958369.7385465807,942872.3094219997,935088.3402441383,210201.02899972667,224321.94562004134,215500.54608099503,215143.3498168368,2907463.659166619,2903972.5495868935,2876877.770667583,2906241.770813715,411335.2152991105,418010.71991429775,417350.0352850118,413671.641914426,309024.38690669305,313550.05094120675,311436.6287439435,310608.36931877286,1959706.2726331817,1920594.1587432947,1904567.354412671,1946017.0327717212,142823.90169576614,97202.35143590061,113870.75424985863,126856.3591048132,6927672.529021174,6912919.542947868,6853295.013964644,6922508.983895516,-5706239.708993133,-5442129.89959768,-5512836.206226277,-5613801.275704725,-5706239.708993133,-5442129.89959768,-5512836.206226277,-5613801.275704725,8.644666666666666,9.222,8.8855,8.846733333333333,11.531,12.203666666666667,11.82,11.766433333333334,7.513333333333334,7.5906666666666665,7.488,7.5404,9.096501685839307,9.036483162000497,9.079806974887104,9.075495202495723,0.4119965084486778,0.41227230474771964,0.4135231531960676,0.41209303715334245,0.3268032267132678,0.3214715937548222,0.32263585915717546,0.3249371551778118,0.10096810210355064,0.09581217203437976,0.09873714185130279,0.09916352657934084,52.322541486692366,55.65671584475031,53.83481898042798,53.48950251201265,249.857397164617,238.25844426729273,243.46911390818448,245.7977636505535,36.097547626772105,54.20020376482703,45.746514975774,42.43347727509133,27.597070829059696,27.710594513037503,27.653388588716094,27.636804118451927,300000.0,300000.0,300000.0,300000.0
2,306.5965124894653,362.66414193139417,334.87130438867814,326.2201827941404,1433495.3811883733,1815571.032911391,1619824.8572231168,1567221.8592914294,1016691.6337624162,1097364.8270262755,1063719.8849405297,1044927.2514047669,237946.55685881735,266603.73421686504,251262.25734473008,247976.56893413403,3077242.604467998,3106425.9550008858,3063044.8547836053,3087456.7771545085,412439.33231692767,419694.15086011885,418734.8410323168,414978.5188070446,311307.1672247402,320731.90775963693,315801.03785228374,314605.82641195407,2087714.7822708646,2082529.6701738513,2049998.4421106288,2085899.99303691,119011.22795409175,171677.7474904648,128762.66999985388,137444.50979182232,7338135.938034785,7559962.565590629,7376888.10702887,7415775.25767933,-5904640.556846413,-5744391.53267924,-5757063.249805753,-5848553.398387902,-11610880.265839543,-11186521.43227692,-11269899.45603203,-11462354.674092624,9.631666666666666,10.743666666666666,10.1695,10.020866666666667,12.701,14.005333333333333,13.3495,13.157516666666666,7.857333333333333,8.026666666666667,7.8805,7.916600000000001,8.694532819336843,8.626037144042238,8.673212738000139,8.67055933298373,0.4345444730326085,0.43515408049219195,0.43613479787991355,0.4347578356434627,0.31569918256996365,0.31031319869081453,0.3117050294772885,0.3138140882122614,0.09828586467405868,0.09174395549031217,0.09478035958660476,0.09599619645974741,52.45899999374446,55.82700456659673,53.987161012246844,53.63780159424276,238.8252488395105,227.42590413061794,232.5673445870346,234.83547819139812,42.88703367654724,67.030819887295,55.75046760264508,51.33735885030895,27.612495145896332,28.041875503997062,27.78722579468502,27.76277827123159,300585.40880560345,303974.2027878132,301863.4209516224,301771.48669937684
3,355.4591779148777,442.3487172440503,399.3766771648198,385.87051668008814,1665514.471505273,2220864.8662693463,1936241.4925768462,1859887.1096726987,1108901.9622954137,1252196.8046120296,1186992.040580192,1159055.157106229,266594.2856299278,314178.62538261915,289617.30370786577,283248.8045433698,3244887.0810078867,3311366.061645473,3244590.28616335,3268154.724231042,413645.8036646344,421674.2151885759,420301.23224637663,416455.74769801396,315554.53854613885,339640.2259104082,325833.817630555,323984.5291236331,2213658.6856595743,2249511.553955149,2196172.3012625217,2226207.1895630257,132864.914954467,85393.63015259856,96178.7965371748,116249.96527381305,7784155.049111744,8090078.949631191,7861979.900381845,7891228.41429355,-6118640.57760647,-5869214.0833618445,-5925738.4078049995,-6031341.304620851,-17729520.843446016,-17055735.515638765,-17195637.86383703,-17493695.97871348,10.565333333333333,12.358,11.4545,11.192766666666667,13.814,15.952666666666667,14.8795,14.562533333333334,8.185,8.453,8.2505,8.2788,8.262512458825862,8.186176986665133,8.237130734313968,8.235795043569606,0.45589959810834957,0.45682668818123645,0.45755808083594274,0.45622407963385997,0.3050232807271999,0.29959315730809316,0.301195420953127,0.30312273753051255,0.094277443460086,0.08912742552313413,0.091670761372177,0.09247493718215286,52.595889976651115,55.99789797543338,54.140012831897195,53.78659277622491,226.9666053786651,215.81752659778655,220.8752336641734,223.06442780535758,49.8260575562908,82.59990294279993,66.74639282582739,61.296903441569,27.79075577649833,29.32869223563315,28.38514901591322,28.329033537195517,303098.02415706613,318990.2501747082,309147.21942409826,308660.30326324084
4,408.9881213538866,537.090767190253,471.9748286930264,453.82404739661484,1920960.7753619722,2704408.5980969844,2294451.833610576,2195167.5133192264,1201277.447785888,1424262.4023434194,1318264.546958765,1279322.181881024,296671.29020084516,368499.6578262305,330854.3824154795,321811.21886973,3404429.022789243,3520431.459713062,3434973.3797900192,3445029.87571258,414969.6181148421,424029.45287889085,422049.9079128922,418140.5602822592,324743.36004484986,378979.66778112156,346505.1585315548,343726.06775254494,2339254.7841638774,2425359.5385023016,2342910.9956747787,2369391.448182326,96178.6215936225,97431.29579730146,80302.16320688059,96617.05756491014,8179074.209382823,8780358.097760491,8397077.216827398,8389523.570315007,-6258113.434020851,-6075949.499663507,-6102625.383216823,-6194356.05699578,-23987634.277466867,-23131685.015302267,-23298263.24705385,-23688052.03570926,11.469333333333333,14.130333333333333,12.765,12.400683333333333,14.899333333333333,18.084,16.4615,16.01396666666667,8.485333333333333,8.882,8.6305,8.624166666666667,7.827719712302215,7.744167757682059,7.798581257638489,7.7984765281851605,0.47612177807862405,0.4773784950912342,0.47787488500374753,0.47656162903303756,0.294757515381893,0.2892927859697428,0.2910893447783765,0.29284486008764044,0.09161277610850983,0.0859511305885786,0.08867715407073254,0.0896312001765339,52.73321297397968,56.16939843998615,54.29337633862626,53.93587788708194,215.03135249587072,204.1525422892089,209.11660992650152,211.22376892353907,57.601549845409,100.34151539102834,78.09196487214216,72.56053778637576,28.368740987940715,32.3140638747607,29.88124760624893,29.749603998327707,310342.9725834976,353894.28893336456,326982.1673135192,325585.933305951
5,467.68814067559583,650.0403723001534,557.5708968691572,531.511421744191,2202154.3076161603,3283888.5300445072,2718497.021137273,2580761.2854660815,1299799.785866685,1619569.8106571357,1465646.1297631073,1411719.2945433427,328036.3927295609,430935.57196719106,378140.01123671496,364051.10546273144,3566781.5331041096,3743397.4987611,3628256.4549580566,3628597.1210840563,416417.81375452195,426836.68872320454,424134.11028525734,420064.4199935609,341903.344460722,442528.2334567693,384307.92361698544,377122.05560933857,2466119.476799488,2609991.8207865735,2499685.117376648,2516474.797194968,120506.16141002,95964.6757602248,144308.66700054088,111916.64143259168,8655983.394442396,9540875.766504442,9068072.088517735,8965695.724664113,-6453829.086826238,-6256987.236459935,-6349575.067380463,-6384934.439198032,-30441463.364293102,-29388672.251762208,-29647838.31443432,-30072986.47490729,12.391,16.078333333333333,14.225,13.681566666666665,16.02,20.457333333333334,18.2185,17.573066666666666,8.784333333333333,9.333,9.0085,8.976366666666667,7.404806425628245,7.315303208362821,7.372906638716414,7.373480299585347,0.49531979812614374,0.4968468092617043,0.49710581519368496,0.49585425202358996,0.2848846895993347,0.2793942473874313,0.28136990506128595,0.2829630348251685,0.08926951680872297,0.08373658613129405,0.0854516432902212,0.08733299107162285,52.8709705302678,56.34150833893874,54.44725343931676,54.085658763302625,203.42219594087987,192.83458515262254,197.70231894284214,199.71653216498981,65.35470567007975,120.38589828718236,93.07283326866163,84.61562308606565,29.61731530916007,37.2689799496692,32.743074419918365,32.295397933338265,325564.6680432021,412431.7588849737,361039.71529982006,355968.14983782213
6,534.1881052221431,786.766379321227,656.6048633494818,622.5905011568225,2521714.4732992323,3986645.0810093572,3209660.583903713,3034440.1859977758,1398868.7197448614,1850325.054888468,1633624.1282660547,1556878.4370451237,362390.1554340437,503957.068970876,430755.95189890085,411938.575171935,3744273.585215553,3979227.088033776,3829859.596242083,3826507.311201931,418065.50116724713,430232.10519265843,426540.4616444149,422323.8125761411,369423.0915066206,530377.1403690011,440966.4685438186,425757.00860845373,2597394.594716792,2809548.5495796516,2662560.950614822,2671648.4789187927,122615.56294339483,126071.97486637069,75425.90043205114,123825.30711643638,9146340.309463106,10438093.622963335,9669229.355026208,9598453.969188187,-6624625.836163873,-6451448.541953977,-6459568.771122496,-6564013.783190409,-37066089.20045698,-35840120.793716185,-36107407.085556805,-36637000.2580977,13.337333333333333,18.328333333333333,15.805,15.084183333333334,17.150666666666666,23.214,20.165,19.27283333333333,9.110333333333333,9.804333333333334,9.4005,9.353233333333334,7.001613800708141,6.9072716646456636,6.967565397791995,6.968594053086274,0.5135551857707406,0.5153218274288385,0.5153459102577735,0.5141735103510748,0.27538837702586544,0.26988051039222377,0.2720209613770172,0.27346062370409085,0.08608208909300087,0.08072571528782883,0.08278329767022716,0.08420735826119066,53.00916419604813,56.51423006097677,54.60164604851944,54.235937248773155,192.35238491953064,182.06736216080267,186.83124880075442,188.75262695397583,74.76317564985231,144.80307603611348,107.79635351832636,99.27714078504371,31.68581132231224,44.06454222404502,37.15013576759129,36.018367137918716,350732.29759415746,494176.37135997263,414017.380164237,400937.7234121928
7,608.2555297622814,954.2979149146738,774.2023001018097,729.3703645656187,2878793.034445611,4850624.152456297,3795528.0344658494,3568933.925749351,1509894.1152200787,2115110.241720595,1818079.5566172083,1721719.7594952593,399309.1763357695,590787.3964228347,491425.91692610946,466326.5533662423,3921739.6724219723,4236488.048876381,4049026.6571893534,4031901.604181015,419894.08167891786,434396.2297630164,429383.2292785523,424969.83350835234,408408.34626132797,642180.2128944913,515197.12209128344,490228.4995829351,2732820.2135200924,3025875.7530650934,2836915.4393005497,2835389.6523608426,141317.71497595473,157110.90313526866,101405.70003840789,146845.33083171461,9685593.705178127,11455450.414430376,10441822.390734646,10305043.553416414,-6806800.670732515,-6604826.261974078,-6646294.356268797,-6736109.627667062,-43872889.8711895,-42444947.055690266,-42753701.441825606,-43373109.88576476,14.337,20.924,17.58,16.64245,18.375666666666667,26.368333333333332,22.312,21.173099999999998,9.430333333333333,10.313333333333333,9.819,9.739383333333333,6.6217234725487675,6.523211170721158,6.585795907409063,6.5872441669091035,0.5309191864345201,0.5329078683848837,0.5327047431252653,0.5316152251171473,0.26625288549299747,0.2607353116944221,0.2630270931662501,0.2643217346634961,0.0836281175892505,0.07803253657052349,0.0807356640390918,0.08166966423269605,53.147795527873114,56.687566004832114,54.75655608848568,54.38671519480877,181.92072585208325,171.93412265207755,176.59522574044496,178.42541473208126,83.80546803817474,176.0886567573015,127.6149775200843,116.10458408986909,34.68184446893344,52.49881965082556,42.815637989100246,40.917785782595686,387456.9792517843,598158.0487051659,483293.3777112623,461202.35356046783
8,693.705405008114,1153.9818455731663,912.2591221567285,854.8021592058823,3291743.7696526176,5884178.141578311,4485249.570056908,4199095.799826611,1631870.2520413522,2418306.396280266,2030560.0267289688,1907122.9025249719,440446.3275921802,690586.8563602719,560358.8209735502,527995.5126610124,4112079.65211788,4504805.1393701555,4272741.693307637,4249533.572656177,422004.8704946987,439339.3312759008,432751.58733445744,428071.93176811945,459253.1784021489,779722.3230469008,606896.3445631654,571417.379027812,2875728.9771490567,3255884.101340759,3022238.690401926,3008783.2706161523,114434.20821246394,83383.54079835904,98191.1960455515,103566.47461752723,10229891.626762692,12479521.760231232,11260542.943308325,11017262.173476681,-6938147.857110077,-6595343.618652919,-6775293.373251416,-6818166.373650071,-50811037.72829956,-49040290.67434318,-49528994.81507703,-50191276.25941483,15.443,23.853666666666665,19.548,18.386733333333332,19.719,29.932333333333332,24.727,23.293666666666667,9.768666666666666,10.838333333333333,10.24,10.143049999999999,6.266750841176523,6.164837305755143,6.2299798157328965,6.23108110377904,0.5473897431883066,0.5495640461621598,0.5490464451835388,0.5481507492291553,0.25746322241614744,0.25194311953079207,0.2543735658856797,0.25553118640627304,0.08118682498668173,0.07542820499937744,0.07808584833818011,0.07917130799112523,53.28686608833984,56.86151857932745,54.91198548920029,54.5379944601855,172.1755780576991,162.47975108301483,167.05522469908487,168.78203861655962,95.85100236188843,208.51480071382528,148.43225978101214,135.2833317850663,38.54355478523977,62.6722518046794,49.71798591441977,46.988598742043635,435290.4278116768,727593.6228684444,569788.2796179124,537596.5460815455
9,790.9273031813328,1396.5209961951011,1074.7786748995704,1002.8850957361517,3763267.7838048516,7143127.845134682,5298251.535432466,4946218.805270292,1768027.598115431,2774505.53669741,2270649.896634244,2120294.876619124,485657.08705946326,807927.4375490089,638762.0355177848,598451.7097308042,4301389.743733288,4789756.078214577,4513728.431963499,4472317.960801739,424400.15232323756,445377.9879749954,436694.6885000385,431742.3948013528,521880.49094308296,945541.1489461476,716185.33956973,670161.7212441555,3026317.4985646657,3504321.249711615,3219197.330663826,3193618.811466098,98919.07043609071,87761.46781267467,104257.98601631103,95013.9095178951,10825652.940898994,13728529.59122468,12179165.3527527,11841659.768512983,-7062385.1570941415,-6585401.746089997,-6880913.817320234,-6895440.963242691,-57873422.88539372,-55625692.42043318,-56409908.632397264,-57086717.22265753,16.653,27.257666666666665,21.7735,20.36463333333333,21.198666666666668,34.077,27.4375,25.706083333333332,10.095333333333333,11.388,10.691,10.547766666666666,5.936184090193339,5.83163217707035,5.897873218611332,5.899590920600293,0.5630426149014592,0.5653734875129579,0.5647287278352892,0.5638584203154837,0.24900506189624577,0.24348909910287755,0.24604629882101456,0.2470744749185669,0.07895958195307927,0.07307194912650528,0.07565396473834457,0.07689891046377836,53.42637744611508,57.036090203420954,55.0679361884144,54.68977691117213,163.10006139923647,153.6886392983484,158.15107105672348,159.80606366392564,108.20087463246252,251.6577108376038,173.4297685590956,158.41076730426195,43.25662685932476,74.44001697439546,57.695860011599684,54.17081339959951,494830.2722849674,882626.7212367466,672827.8974299562,630559.0294180901
10,901.3372438170431,1687.5304385056781,1266.2820126292218,1176.5048619580652,4300636.225202788,8658010.004052533,6260499.297606079,5825717.047800198,1918935.5466119887,3180016.519678976,2542369.2899219855,2360313.887185434,535827.4514367142,944425.5745916618,728797.9041345727,678836.7945409459,4513342.045910876,5097227.596568359,4765393.148641497,4717701.988640996,427150.04164592974,452589.7121230307,441374.1314698552,436053.92631291505,595171.2541496295,1146868.2414296917,845535.0477766108,788265.1996976512,3183838.9011775632,3769360.865892551,3427748.97386977,3388771.588827809,124448.82074456676,106551.81251764749,70691.59458431481,118184.86786514503,11526236.775294313,15149487.9990895,13152340.233334087,12794374.703622628,-7225600.550091527,-6491477.995036967,-6891840.935728007,-6968657.655822432,-65099023.43548524,-62117170.41547015,-63301749.56812527,-64055374.87847996,17.984,31.117333333333335,24.2825,22.58066666666667,22.828666666666667,38.74766666666667,30.4815,28.40031666666667,10.467666666666666,11.975666666666667,11.1535,10.995466666666665,5.62952492306108,5.522719364144147,5.589917360295332,5.592142977440154,0.5778534931633857,0.5803807429265643,0.579562791894942,0.5787380305804982,0.2408647134373291,0.2353590797151581,0.2380318344777886,0.23893774163456927,0.0763905464568457,0.0713740492598988,0.07361698817463677,0.07463477243791429,53.56633117596038,57.21128330625128,55.22441013167855,54.8420644215622,154.67822038057335,145.53817158472307,149.89499357161387,151.47920330202575,121.67718728741485,301.5962586379582,203.1892698469642,184.64886226010503,48.66251120711735,88.17249159496572,66.80288332278514,62.49100434286427,564751.9573277758,1071469.1767702021,794737.7303148699,742102.9841326249
