month,users_cons,users_opt,users_med,users_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,gen_heads_cons,gen_heads_opt,gen_heads_med,gen_heads_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,eng_heads_cons,eng_heads_opt,eng_heads_med,eng_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,auto_share_cons,auto_share_opt,auto_share_med,auto_share_plan,tok_task_usd_cons,tok_task_usd_opt,tok_task_usd_med,tok_task_usd_plan,churn_cons,churn_opt,churn_med,churn_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,min_per_user_month_cons,min_per_user_month_opt,min_per_user_month_med,min_per_user_month_plan,adds_organic_cons,adds_organic_opt,adds_organic_med,adds_organic_plan,adds_paid_cons,adds_paid_opt,adds_paid_med,adds_paid_plan,marketing_spend_cons,marketing_spend_opt,marketing_spend_med,marketing_spend_plan
1,264.4426890189308,291.82824349114776,278.78788286537457,274.02763308420674,1213520.4673830546,1478416.7073512801,1348003.6994234282,1306234.1513719335,936617.2166447153,945298.3819407895,945123.8544147942,939655.6244983412,213826.45883475704,221414.27364875068,217236.59168001843,216482.19401965482,2914430.626770406,2897771.0093868547,2855816.8264008444,2908599.760686163,416248.58878827066,417235.91085227067,417214.4808790938,416594.15151067066,309663.7863946861,313027.0401363024,311144.6962532569,310840.9252042518,2009154.1187478292,1877702.4367151354,1897983.4049880598,1963146.0300363866,100870.62474353635,116977.10048445548,105228.0410783081,106507.89125285804,6965146.821204171,6866824.125206585,6820388.271113167,6930733.877605015,-5751626.3538211165,-5388407.417855305,-5472384.571689737,-5624499.726233082,-5751626.3538211165,-5388407.417855305,-5472384.571689737,-5624499.726233082,8.806333333333333,9.087333333333333,8.937,8.904683333333333,11.721,12.047,11.8875,11.8351,7.517,7.567333333333333,7.4305,7.5346166666666665,9.133494507794973,8.984256262964363,9.067987404578183,9.081261122104259,0.4128665163708174,0.4141013133168172,0.4138811767500291,0.4132986953019173,0.3267770389439845,0.3210062255458032,0.32398041542223066,0.3247572542546211,0.10009113833008415,0.0961108012417537,0.09819367286147271,0.0986980203491685,51.35668979561195,56.44304058018806,54.05418604238251,53.13691257021359,252.17702240374243,236.46851716206177,242.774645342054,246.6790455691542,38.65514557874443,52.108160545209536,44.57878501302746,43.363700817007214,27.55602556121124,27.732603417918657,27.67960297010037,27.617827811058838,300000.0,300000.0,300000.0,300000.0
2,312.6597143103631,357.12304229199765,334.2840116413464,328.2218791039352,1437905.2861868092,1814042.0863081522,1619585.6129006906,1569553.1662292792,1041743.9228966236,1076576.6876045475,1058891.5102192685,1053935.3905443968,244424.52746231607,261557.4205256286,251507.1680533439,250421.04003447545,3081518.4353374518,3094352.3410737775,3031647.5257299556,3086010.302345166,417423.84164424054,418845.6214806626,418553.7850952147,417921.46458698827,312232.3499824819,320349.031764724,315365.3586259343,315073.18860626663,2146749.908952617,2031906.913073499,2037356.3287390869,2106554.860394926,147951.89577194524,140587.9566413195,125062.25062039551,145374.51707622624,7468262.142386294,7439126.508363759,7323243.624924995,7458064.670478407,-6030356.856199484,-5625084.422055606,-5703658.012024305,-5888511.504249127,-11781983.2100206,-11013491.839910911,-11176042.583714042,-11513011.23048221,9.896333333333333,10.532666666666668,10.1585,10.11905,13.024666666666667,13.751,13.3315,13.278883333333333,7.854666666666667,7.985333333333333,7.796,7.9004,8.729012422074597,8.577095693226983,8.659411863177866,8.675841566977933,0.4354386249929368,0.43682984768976296,0.43658439911484426,0.4359255529368259,0.31574002114908384,0.30980280277788996,0.31285599822236204,0.313661994719166,0.09716065757470425,0.09301905425604186,0.09495285027851971,0.09571109641317242,51.49399549418737,56.61021983369712,54.205448036338886,53.28467401301579,241.01918777383236,225.72998776531125,231.83462046795248,235.66796777084997,46.2352309189308,64.34928655479852,54.11043483692876,52.575150391484506,27.567101819738202,28.095479744505116,27.818086008481416,27.75203409340662,300673.5422527492,304261.7101260243,301837.74991670216,301929.4010083955
3,366.4896742875479,432.8100938374815,396.9682701679855,389.70182113002465,1689356.2784666508,2204099.5710689304,1927626.2226818486,1869516.4308774485,1147101.6472855823,1220307.3779985262,1179168.3502135053,1172723.6530351127,276783.9965140075,306109.9022828306,288428.1562798699,287048.06353309564,3257546.9241270777,3291397.969584273,3213464.4149880614,3269394.7900370965,418727.6973749256,420719.7698645115,420068.71607376327,419424.9227462807,317714.7056115268,338669.75082583394,325334.6098215265,325048.9714365343,2285012.9101926894,2188863.0169539205,2178266.3026339235,2251360.44755912,85694.73777027019,109384.23586502476,112858.56949481815,93986.06210343429,7878146.13449491,7990794.749652445,7818567.7807180695,7917573.149800047,-6188789.85602826,-5786695.178583514,-5890941.558036219,-6048056.718922599,-17970773.066048857,-16800187.018494427,-17066984.141750265,-17561067.949404806,10.965666666666667,12.034666666666666,11.392,11.339816666666668,14.305333333333333,15.558666666666667,14.8125,14.744,8.205333333333334,8.393,8.1675,8.271016666666668,8.294977000988759,8.140249487049882,8.221422228353443,8.240822371110152,0.45680139303274425,0.45838694269980884,0.45805113363899386,0.45735633541621684,0.3051249801209714,0.2990403541725351,0.30216314765069624,0.3029953610390187,0.09405983134553814,0.09021442906753244,0.09226742310603117,0.09271394054823615,51.631744518166755,56.77797812463169,54.35721315419416,53.432926280429484,229.04366960439103,214.21213026269214,220.1065454908815,223.8526308347964,55.23321483469835,78.43687594436656,65.03798978168724,63.35449622308222,27.791958757814204,29.372361818582547,28.420981084258376,28.34509982908312,303906.40190285223,319060.53183974227,309075.1123761047,309210.34738076373
4,425.23200575883556,522.8078449722658,468.89989463468663,459.3835494835361,1965169.5980284698,2669622.936828674,2282555.9764237497,2211728.2666085414,1254148.4379090548,1379424.0751200235,1309757.7913928772,1297994.9109328939,310505.97287822835,357074.3508021206,329150.91794664826,326804.90515159065,3429506.1485199905,3492970.939168625,3388241.7620360535,3451718.825247013,420164.7664480447,422955.2346121399,421787.87960846315,421141.430305478,329051.244171213,375626.9807384452,346153.3043647704,345352.7519697443,2420258.5041548926,2354290.1475744634,2322475.8339266493,2397169.5793517423,88120.36640552756,124876.62960353625,79830.95107971149,100985.05852483059,8355942.772474996,8646876.764327131,8316991.313806381,8457769.669623245,-6390773.174446528,-5977253.827498456,-6034435.337382632,-6246041.403014703,-24361546.240495387,-22777440.845992886,-23101419.479132894,-23807109.35241951,12.010333333333334,13.676,12.694,12.593316666666666,15.568666666666667,17.531666666666666,16.388,16.255716666666668,8.536,8.801666666666666,8.51,8.628983333333332,7.85848179114609,7.701327057931663,7.781044204218811,7.803477634521041,0.47703031522893646,0.4787965565407168,0.4784041413163293,0.47764849968805956,0.2949143395263432,0.2887000306367411,0.29188366673108723,0.2927393314149825,0.09091225336816526,0.08641487655735446,0.08866705422357526,0.08933817148438147,51.76993847714731,56.94631767544284,54.509483267506035,53.58167119655075,216.99817787580315,202.6424895076738,208.31353706653357,211.97368694695788,63.292392588438716,95.02267495396578,77.03448362045496,74.39799141637317,28.52504896662231,32.19116479809394,29.92826145112046,29.80818950763738,313228.14602410333,351871.31199995376,326894.6834596567,326753.254115651
5,491.7601953527811,629.2249330953085,552.6880913671134,539.8728535626657,2278738.5149780777,3222658.1817367715,2697053.649237599,2609110.398343621,1369790.73093821,1560058.0376123632,1448647.080357618,1436384.2882741634,347205.7168411359,414969.7924293273,374984.92042148876,370923.1432970029,3603859.823288444,3711475.7335557994,3583378.7004632996,3641525.391882018,421786.72933885327,425599.6986983395,423821.93098648585,423121.2686146734,349964.5404404443,435837.62389407953,383481.4814840648,380020.11964921665,2560456.0266052913,2527744.0712445844,2473849.7776108608,2549006.842229044,92735.78901991078,91896.74928677325,86662.87989379722,92442.12511331265,8866600.754528787,9336113.118072622,8916125.122895561,9030930.08176913,-6587862.23955071,-6113454.936335851,-6219071.473657963,-6421819.683425509,-30949408.480046097,-28890895.782328736,-29320490.952790856,-30228929.03584502,13.113666666666667,15.478333333333333,14.0795,13.9413,16.905666666666665,19.726,18.0475,17.892783333333334,8.863,9.241666666666667,8.8945,8.995533333333334,7.43388763669025,7.275416666011236,7.353149429848945,7.378422796952595,0.4962616221909525,0.498126087229723,0.4977320041565058,0.49691418495452216,0.28509130480116757,0.2787638406007309,0.2820001763906209,0.28287669233101476,0.08811989750051263,0.08425133202801388,0.08650720419011296,0.08676589958513807,51.90857898706778,57.115240717766426,54.662260255375784,53.73091059281231,205.28033471385137,191.41559565066615,196.85503051930118,200.42767604173656,73.59775321766878,113.2297607068293,91.30598426869302,87.46895583887496,30.00237290169935,36.924774590421485,32.77633552397748,32.4252134927521,331565.1021360271,407530.18371737225,360654.9854168915,358152.8806894979
6,566.7581416162384,757.9610008407391,650.2335466515108,633.6791423448137,2633431.0896601602,3893086.0449525034,3180735.600110338,3074310.32401248,1488737.9249833936,1769459.2452882226,1606140.8989210853,1586990.3870900837,386929.0194518505,482679.7755059022,426473.01755866344,420441.7840707686,3782546.9036328094,3941219.633867646,3773185.2313666665,3838082.3592150025,423628.35329314874,428791.21893435623,426168.33893056156,425435.35626757133,383025.6382285,519075.0310833726,438382.1985241065,430642.9257277054,2704174.4179516,2715467.9093717015,2632033.4598224727,2708127.1399486354,111940.46704205369,116843.24771202572,130356.29678917614,113656.4402765439,9420593.881403932,10177049.41646167,9599316.491285292,9685353.318674142,-6787162.791743772,-6283963.371509168,-6418580.891174953,-6611042.994661661,-37736571.27178987,-35174859.153837904,-35739071.84396581,-36839972.030506685,14.241333333333333,17.545333333333332,15.6035,15.397733333333333,18.266,22.241666666666667,19.896,19.65748333333333,9.191333333333333,9.699333333333334,9.2565,9.369133333333334,7.0291559432785915,6.869983557196791,6.946235638325932,6.973445608149961,0.5145337040921857,0.5164847021230774,0.5160119931230035,0.5152165534029978,0.27563982649552,0.2692146090305487,0.2724960767569854,0.2733910003827801,0.08497778426261661,0.08118819157161858,0.08329751245464259,0.0836514268207673,52.04766767023517,57.28474949246317,54.81554600448061,53.880646308014974,194.11126710940587,180.7321314476256,185.95679021881963,189.42856962778276,83.86989785708352,136.0964395985524,106.16007690361839,102.14918746659762,32.46129790080942,43.40977425328009,37.047451022703704,36.29326462417416,362058.16376422916,485050.92118373455,411842.17929820187,405105.62886105606
7,653.1544970018979,914.9754294034838,764.2581901220823,744.791823342453,3042867.691587801,4713361.697811119,3747653.3268411285,3627540.5937659624,1626412.9499355266,2012235.7768463758,1786286.2670031385,1761450.9393543238,431366.9117729365,562762.9202809026,484933.50925739633,477355.51475072466,3975329.4995210157,4185170.1153324,3987386.0463676024,4048773.715055,425734.35798630747,432665.7043803504,428930.82905327104,428160.32922422246,428861.1287428247,625331.2548894964,510365.27994380886,497625.6728941598,2855356.09666004,2918370.378193018,2800400.3510021362,2877411.0951965824,122340.73155967811,141456.53457797726,118972.76066163348,129031.26261608282,10026729.935628,11124328.323915008,10313548.506345129,10410889.371528454,-6983862.2440402005,-6410966.626103889,-6565895.179503999,-6783348.777762491,-44720433.51583007,-41585825.77994179,-42304967.02346981,-43623320.80826917,15.493666666666666,19.934,17.286,17.04778333333333,19.804666666666666,25.138,21.9605,21.671333333333333,9.547666666666666,10.177,9.668,9.767933333333332,6.648474991710944,6.488304472881915,6.562886873549733,6.592415310120784,0.531836997850138,0.5339702541096069,0.533444531932251,0.5325836375409521,0.2665445654139052,0.2600359384803799,0.2633555103670552,0.26426654598717136,0.08268362117618253,0.07834484206124116,0.08127877507940955,0.08116504848595305,52.18720615535131,57.454846249658985,54.969342409106,54.03088018835899,183.6033717966839,170.6747601209884,175.6929115569179,179.07835771019046,96.88744196782802,164.47310822077569,123.96422025681011,120.5424251563597,35.85489490690694,51.51769186145568,42.589367405502244,41.336873840999004,404639.26825086767,584212.9778343025,479374.2248796064,467490.0666050698
8,753.0875319622165,1101.9977762767912,899.1842572503452,875.2061174723176,3518270.129271086,5694045.709702265,4421021.7062487565,4279791.5824219985,1775670.0941623147,2291234.365985908,1986746.0646030915,1956117.5893005724,481286.48204490537,654768.8322094012,551554.211157895,542005.3046024789,4175874.339381696,4443575.469751205,4200476.315442369,4269569.735011024,428152.71234822733,437288.40019372664,432217.5789015293,431350.2030941521,488066.1181493006,755738.7566277396,598957.4542041204,581751.5416167543,3014548.534999165,3134405.742317891,2979931.0626556785,3056498.5575607195,117429.71906628877,61322.455738721,136400.5137219322,97792.17690164005,10667592.725217346,12075804.037247421,11117833.062806146,11160466.684427872,-7149322.595946261,-6381758.327545156,-6696811.356557391,-6880675.102005875,-51869756.11177633,-47967584.10748694,-49001778.3800272,-50503995.91027504,16.867,22.612666666666666,19.1565,18.877983333333333,21.470333333333333,28.406,24.2445,23.897816666666664,9.910333333333334,10.678666666666667,10.0645,10.17925,6.29262929477677,6.132161850638912,6.205398649802077,6.2364656893285195,0.5482640472478788,0.5505284201663585,0.5498853151353091,0.5490565777693467,0.2577908594597963,0.2512121720796119,0.25456332718883756,0.25548831887673173,0.08018125430876816,0.0762216507110933,0.07827387591495855,0.07879539304958195,52.327196077539625,57.62553324878543,55.12365137117839,54.18161408747566,173.7837436809577,161.29145615607396,166.11868805479048,169.41144304724838,111.36629429683379,194.93051271845175,144.89857933396672,140.61377074440009,40.20287567538993,61.270245553118365,49.27142082217694,47.57645513259489,460224.54457509215,707006.1284481267,562732.8093706287,546598.0989306542
9,867.7602309622895,1327.4251719072752,1059.1350760821842,1028.6429602930343,4065181.835635121,6879776.864603282,5219590.195208925,5050290.095773977,1942503.23870774,2614243.2905373676,2219566.582016523,2177612.25684811,536554.4521268451,762217.7320210226,628361.9579340931,615536.6000898073,4375675.097776727,4721712.642834118,4444744.87521088,4496788.238546814,430925.46168054733,442902.0083767776,436101.9115340003,435117.2530242279,560752.2678371975,912513.0631380831,705800.8428847096,683868.5461925075,3182837.174857479,3365873.4280541046,3171381.8065818534,3246899.863476298,127827.75346650204,86138.90520825076,80346.86345281902,113236.6565761141,11372644.510194229,13264914.176208496,11959715.004293285,12034938.893299222,-7307462.674559107,-6385137.311605214,-6740124.8090843605,-6984648.797525244,-59177218.78633543,-54352721.41909216,-55741903.18911156,-57488644.70780029,18.38233333333333,25.701,21.3375,20.943866666666665,23.314,32.16866666666667,26.8935,26.413133333333334,10.261,11.212333333333333,10.5255,10.593966666666667,5.96183765686041,5.801305749185631,5.87197147868654,5.905651489174237,0.5637850812342372,0.5662166300818433,0.5656505703329042,0.5646361233308994,0.24936469209790876,0.24272835835521842,0.2461050513640978,0.24704197528796712,0.07798596488416316,0.07380339974683059,0.0758367752820514,0.07652206708609677,52.46763907837205,57.79681275862036,55.27847480029778,54.332849866458965,164.65318011320034,152.5726731924092,157.18995256022387,160.42500269092344,126.98218336730376,233.62482673097333,170.31951589606922,164.30710854458812,45.44909188989045,72.56662068387648,57.10128902769917,54.94022696778556,529006.7219953716,854106.8564553397,663220.9639106924,642791.7690563605
10,998.8968213546863,1598.4874769092885,1246.7154225308132,1208.753550798797,4692596.148835734,8307792.859751666,6160272.552695515,5957914.99765631,2126426.991545731,2985576.419434803,2479781.8191656214,2427129.2913069064,597790.9935546695,887057.3393405149,715377.3805852679,699034.2145797154,4599947.028404463,5014017.594135473,4686932.991760958,4744871.726410316,434118.6641065604,449605.69583093765,440693.1713441415,439539.12521009246,646155.9499074282,1101837.4283195962,832726.3259686137,805644.467351687,3358908.686719383,3613646.150109277,3374126.4851089097,3448066.798905846,131774.97978518315,116090.65742829072,119356.57679727189,126285.4669602708,12143993.922854235,14601683.559500316,12971722.966986433,13004185.295680363,-7451397.774018503,-6293890.699748649,-6811450.414290918,-7046270.298024055,-66628616.56035394,-60646612.11884082,-62553353.60340248,-64534915.00582435,20.036333333333335,29.234,23.7445,23.25551666666667,25.328,36.44766666666667,29.816,29.219883333333335,10.659666666666666,11.765666666666666,10.9685,11.046766666666667,5.654318567842663,5.494685610789405,5.563198408164204,5.598447032874023,0.5785678291401692,0.5810869888506389,0.5805318575404913,0.5794495350388336,0.24125266235226264,0.2345702177953046,0.23796684958386685,0.23891380675732732,0.07515033759468281,0.07162852267271522,0.07408272777052995,0.07391770237199416,52.60853680589607,57.968687057328886,55.43381461377069,54.48458939389756,156.16527190877505,144.4941507536533,148.92314423130142,152.08037950448244,143.9139500253701,279.48359451641556,199.15118674909994,191.363325597236,51.433474880021166,85.70434328264227,66.11488957412215,63.428278820938544,610177.4624010858,1031966.5296904923,782938.5292813387,757803.635952378
