month,users_cons,users_opt,users_med,users_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,gen_heads_cons,gen_heads_opt,gen_heads_med,gen_heads_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,eng_heads_cons,eng_heads_opt,eng_heads_med,eng_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,auto_share_cons,auto_share_opt,auto_share_med,auto_share_plan,tok_task_usd_cons,tok_task_usd_opt,tok_task_usd_med,tok_task_usd_plan,churn_cons,churn_opt,churn_med,churn_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,min_per_user_month_cons,min_per_user_month_opt,min_per_user_month_med,min_per_user_month_plan,adds_organic_cons,adds_organic_opt,adds_organic_med,adds_organic_plan,adds_paid_cons,adds_paid_opt,adds_paid_med,adds_paid_plan,marketing_spend_cons,marketing_spend_opt,marketing_spend_med,marketing_spend_plan
1,262.419171711612,294.45347544755026,279.96280579056094,273.63117801919043,1037959.9741448765,1245601.0901655739,1147862.1487794933,1110634.3647521206,931326.4351506162,956308.2938372118,942501.5342720709,940070.0856909247,211262.36958513578,224015.5022985084,216784.21592317137,215725.96603481617,2920062.509215688,2897743.34396726,2872204.9810425956,2912250.801378738,409076.55193123483,418543.89778576844,413396.26826449286,412390.1229803216,309004.8961770405,313572.6514128532,311431.07293761685,310603.61050957494,1991349.3623016141,1908586.6906369806,1889437.6718195078,1962382.4272189923,151533.87150758374,92329.52899031929,105712.27311884046,130812.35162654117,6978514.146693187,6876218.837754483,6812206.149752385,6942710.788564641,-5940554.172548309,-5630617.74758891,-5664344.000972893,-5832076.42381252,-5940554.172548309,-5630617.74758891,-5664344.000972893,-5832076.42381252,8.728666666666667,9.205333333333334,8.917,8.8955,11.632333333333333,12.183,11.847,11.825066666666666,7.534,7.568666666666667,7.5,7.546133333333334,9.114998088475554,9.037819828266656,9.069824029364034,9.08798569740244,0.4124828190096875,0.41237542850237485,0.41281342848129554,0.41244523233212804,0.3267676701494565,0.3217813910904214,0.3230975800219293,0.32502247247879423,0.10096552304405473,0.09573987086948278,0.09864543599992608,0.09913654478295456,44.39517517494827,47.159264029671505,45.695477288327005,45.3626062741014,251.22207278442042,237.88894135616604,242.27391110936185,246.55547678453138,36.01958470816183,54.29060565141274,45.72429175046724,42.41444203829965,27.602631625463108,27.708025227373035,27.649207457777084,27.63951938613158,300000.0,300000.0,300000.0,300000.0
2,306.7710589942,362.3832155227125,336.76620963994264,326.23531377917936,1216064.8573004783,1537010.0666526295,1383560.7412587795,1328395.6805737312,1024966.9074816098,1094031.024018426,1062911.1411591556,1049139.3482694956,238793.3914463424,266203.4881789332,252090.08797909913,248386.92530274918,3089652.5584601415,3099966.0859604315,3055807.372436506,3093262.293085243,410178.6888930852,420216.469011734,414766.954852264,413691.91193461226,310688.6114819047,317363.45858629374,314265.38025637955,313024.8079684409,2120197.593216557,2069374.9490179198,2031351.314048171,2102409.667747034,106582.51973932059,163612.4673360972,154949.18329215265,126543.0013981924,7365374.124663737,7511132.797919553,7359349.70272332,7416389.660303272,-6149309.26736326,-5974122.731266923,-5975788.96146454,-6087993.979729542,-12089863.43991157,-11604740.478855835,-11640132.962437434,-11920070.403542064,9.71,10.719,10.184,10.06315,12.794666666666666,13.971666666666666,13.3635,13.206616666666667,7.877666666666666,8.004666666666667,7.887,7.922116666666667,8.713709121987291,8.627492792128091,8.663346981331278,8.68353340653657,0.43493757924069987,0.4352319616779066,0.43555429029753145,0.4350406130937222,0.315714472224469,0.31059611500081924,0.3120879494657312,0.3139230471961916,0.09873753863468133,0.09175734382821955,0.09461384025400373,0.09629447045241972,44.510745318904945,47.30431059154606,45.82409865245037,45.48849316432934,240.16861638598002,227.07559988256898,231.41964666942874,235.58606060978616,42.6254529492777,67.19741692375572,55.707596552225176,51.22564034034501,27.57142790223563,27.73991100644519,27.64969303259894,27.630396988708974,300032.2482445853,300564.10435535485,300338.4811183232,300218.3978833546
3,355.1188428590445,441.2035069111478,400.65245863450144,385.2484752772807,1410607.2114749714,1876338.3617553234,1649554.8129190907,1573613.1140730944,1117759.8921583458,1246427.6737330894,1185686.502530409,1162793.615709506,267236.9630301146,313044.6877357983,289947.8220996073,283269.6666771039,3256669.4126646244,3302765.73184162,3233645.400286206,3272803.1243765727,411382.0979416688,422165.55847410974,416310.14538675715,415156.3091280231,312845.91465369234,326203.0774427185,319188.5827817843,317520.9216298515,2247554.201937815,2233458.4777205386,2174650.598155449,2242620.698461768,143176.32584536108,90314.06606653059,100205.52535472026,124674.5349227704,7831223.117809911,8032475.662340314,7806940.220494862,7901661.508395553,-6420615.906334942,-6156137.300584991,-6157385.407575771,-6328048.39432246,-18510479.34624651,-17760877.779440824,-17797518.370013207,-18248118.79786452,10.643666666666666,12.308,11.4465,11.226183333333333,13.909666666666666,15.888333333333334,14.874,14.6022,8.202333333333334,8.425333333333333,8.249,8.280383333333333,8.28200113335688,8.187596128096246,8.227455166922903,8.248959381515657,0.456211265117366,0.45688730579559794,0.4571021206708336,0.4564478793547472,0.3050869561114837,0.29985022338860096,0.30150419320765637,0.3032540996584747,0.09459958857086864,0.08928405661589298,0.09150861914152895,0.09273915238662715,44.626681131725384,47.44987467166036,45.95315054533785,45.61479887070263,228.27613230375192,215.4840521676064,219.78188385929604,223.798904256101,49.634269383321005,82.94334761103038,66.82491906444106,61.292446763019285,27.569511970570655,28.147805621899863,27.802514312115846,27.771914748535877,300437.34730786213,305467.2405399609,302482.353015674,302197.8099390967
4,407.6094140363196,533.6921622833182,471.71195368972724,451.73837592276914,1622811.1579372776,2275784.263869695,1946869.7553152542,1851351.7450136235,1209468.2069759562,1413180.9089006353,1309281.1566840392,1280767.652649594,296779.3782513642,365796.8367914599,330100.9292156564,320935.48874039773,3415616.1511375005,3509271.091608074,3420126.0529348995,3448395.3803022015,412692.42069669586,424457.9588681731,418019.8705775068,416810.35905671294,316774.09950663877,347988.23735073925,329280.5104508919,327699.04775207397,2373710.8896864397,2404407.2553476663,2315695.237727777,2384454.617667869,101626.27561181408,92601.27218294534,85585.37212084122,98467.52441171001,8212482.2993737245,8676656.726498552,8311146.62148166,8374943.348867414,-6589671.141436447,-6400872.462628856,-6364276.866166406,-6523591.603853791,-25100150.487682957,-24161750.24206968,-24161795.236179613,-24771710.40171831,11.539,14.022666666666666,12.712,12.408283333333333,14.983333333333333,17.951666666666668,16.3815,16.02225,8.500333333333334,8.848666666666666,8.6205,8.622250000000001,7.847255300714615,7.745473406566741,7.789146436870293,7.811631637762859,0.47636522336502474,0.47742572711372167,0.47754227374713176,0.47673639967706866,0.2948672231058594,0.28952499537253135,0.29132838332968514,0.2929974433991946,0.09177206635917771,0.08605531748796622,0.08835597904750397,0.0897712042542537,44.7429839210544,47.595958304936204,46.08263457350494,45.741524955413034,216.29949465949258,203.83457017202397,208.0795492742731,211.93677108887857,57.233720651748904,100.7111895951766,77.9439377022891,72.4508347819486,27.703220143880184,29.62843289246192,28.395451242431314,28.37704460588379,302465.66934370156,322810.43995194504,309794.5260253196,309586.3390565868
5,464.1927355801786,642.0960041511553,554.7439701566432,526.4588795800205,1852296.0587248115,2746573.4959301637,2295589.915682723,2165293.161746685,1303671.8357081886,1598763.0710802567,1449152.2857322055,1406953.7680884125,326916.1811003219,425231.34529025573,375536.48557832587,361326.48856679874,3573251.344504924,3724457.6551768025,3608362.667147096,3626173.5532400818,414105.231529685,427138.95005983935,420023.3937667595,418667.03301523905,324508.1416067165,389228.699764037,350977.29952733056,347160.3369617787,2499597.190674087,2581697.8320658803,2465056.0228153295,2528332.415161215,113953.58429354869,90400.75722143403,122738.36782855379,105710.09481830856,8653953.899605671,9380478.29773909,8913367.761212593,8908237.438952368,-6801657.84088086,-6633904.801808927,-6617777.845529871,-6742944.277205683,-31901808.328563817,-30795655.043878607,-30779573.08170948,-31514654.678923994,12.409666666666666,15.876666666666667,14.097,13.623116666666666,16.045,20.205,18.0435,17.501,8.787,9.28,8.9895,8.95955,7.424272340953298,7.316440453543417,7.363715471551037,7.386531180359839,0.49549715649939957,0.4968866681770302,0.496893371884331,0.49598348558657024,0.2850381783689336,0.27960255788740185,0.2815433965988249,0.2831357112003975,0.08940700324449576,0.08382827536424899,0.0856188757169933,0.08745444848640939,44.85965499963172,47.7425635348749,46.2125523499341,45.868672986966835,204.64732224357073,192.5298459295543,196.72033913791512,200.406205533665,64.62297698944475,120.14778018794884,93.42568486609005,84.05665810892118,28.161197998575307,32.72684759623969,29.88144620118089,29.75917535775784,308352.39735935535,359191.7547170498,327620.87831080804,326146.1724345484
6,526.720125764598,772.0738221244477,648.7850315981046,612.5939194905454,2106609.981298284,3312032.543808422,2690948.9313456975,2528507.8781768326,1396103.9579678199,1814018.257726343,1605938.6684405087,1542373.962883303,358980.7296693173,493971.53856196627,424826.14654521726,406227.5127817445,3745350.9155374076,3952277.525036679,3801488.916094016,3817775.2288621524,415675.8185285598,430364.83892537165,422286.80201477284,420816.97566744394,338840.68790345703,453744.20910550945,387646.6773336449,379056.9203241754,2626588.0485346457,2771487.8115214203,2617666.740836005,2677302.965580017,106705.30071716543,130133.39819140498,104648.34231505891,114905.13483314926,9099649.220784025,10219068.430307567,9506931.197590869,9491445.944117265,-6993039.239485741,-6907035.886499145,-6815982.2662451705,-6962938.065940432,-38894847.56804956,-37702690.93037776,-37595555.34795465,-38477592.74486443,13.283333333333333,17.974666666666668,15.5505,14.9253,17.087333333333333,22.772,19.841,19.076966666666667,9.099,9.731,9.3575,9.3202,7.021028434742642,6.908127764708953,6.958537301873621,6.981513200230851,0.513658859017994,0.515365575317867,0.5152651334284819,0.5142562097229495,0.2755834929017396,0.2700658453878489,0.27213287645582485,0.27365231627187786,0.08639037428546896,0.08062678992537534,0.082401580864996,0.08437311975943619,44.97669568531327,47.889692413595526,46.342905494102155,45.99624454021206,193.53840206495772,181.77248069993888,185.8996910805059,189.42032958720114,73.16761823066992,143.73365318195798,106.8317881204316,97.86573046362074,29.146696461978852,37.66279413736275,32.65936619382056,32.12733064836321,320548.78334578953,417810.79581001995,360938.730303537,354590.4877082702
7,595.4004439578887,929.2677734676851,757.6746831568703,712.2540092863173,2387088.7858642084,3998412.046704919,3151150.042219659,2951051.927158457,1498563.9911301548,2059424.2742061885,1775235.7805422095,1694865.0902067665,392871.94835058827,574698.8726972709,479987.4726354713,456511.3718719272,3921985.0459371777,4195425.782811843,4011749.416457574,4017689.3038433106,417395.87882332486,434255.3941775545,424890.8626843194,423296.70919730526,361783.98443417443,541428.9569395386,441148.99008871516,424659.72481105186,2756846.682228692,2975202.7401918024,2778284.891618926,2833271.3025157806,156898.5176295032,153331.90210630393,107708.90693632755,155650.20219638347,9632587.565484568,11142697.50180143,10185784.577276278,10161126.04319547,-7245498.7796203615,-7144285.455096509,-7034634.53505662,-7210074.116037013,-46140346.34766992,-44846976.385474265,-44630189.88301127,-45687666.860901445,14.193333333333333,20.353666666666665,17.1545,16.349449999999997,18.202,25.674,21.791,20.8172,9.414666666666667,10.208333333333334,9.7585,9.692450000000001,6.641131646599373,6.523857276656834,6.576884511890612,6.600085617119484,0.5309380718976593,0.5329467571653042,0.532747100726265,0.531641111741335,0.2664875673950852,0.2608985615447694,0.2630811968760806,0.2645314153474747,0.08400503172724141,0.07821955157159152,0.08080690130286095,0.08198011367276395,45.094107301092336,48.03734700187304,46.473695632008045,46.12424119636558,183.07081207833826,171.64896925646445,175.70928726002725,179.07316709068243,81.83384160064833,172.94520948943207,124.38987178839403,113.72282036172263,30.837683381140057,44.31233732062203,36.71712074598906,35.55381225995875,341325.52403401234,498192.6545671806,410051.5221416167,396229.01972062123
8,674.1695511406654,1116.192396934912,885.8891376543417,828.8775471686517,2709517.1289981008,4817563.7599666035,3693877.17113626,3447333.4498370765,1608553.8109128866,2339816.2991064154,1967223.9601373742,1864495.6817806216,430444.22622470063,667242.1206233444,542923.984317879,513323.489264226,4101595.3305711555,4460676.060393485,4222002.093285238,4227273.586008971,419364.1442941271,438857.42953091016,428002.47601792857,426186.7941270012,394439.60647920746,650914.9699479165,511071.59963798587,484205.9836932556,2893608.4648304,3192143.7834163895,2950471.8082758766,2998095.8263354963,102956.03301827212,92701.56686223963,131684.89712997418,99366.96986366075,10094272.201963367,12094055.70264006,10948903.109332964,10794196.42720021,-7384755.072965266,-7276491.94267346,-7255025.938196703,-7346862.977363134,-53525101.42063519,-52123468.32814772,-51885215.82120798,-53034529.83826457,15.187333333333333,23.057333333333332,18.932,17.941833333333335,19.401,28.964,23.965,22.74805,9.728666666666667,10.725,10.1505,10.077383333333334,6.285988450093537,6.165103543424836,6.220950205328066,6.243678732759491,0.5473450702573939,0.5496283798758291,0.5492419981475282,0.5481442286238462,0.2577354978600917,0.2520851428324779,0.25437342800726004,0.2557578736004269,0.08161762390225877,0.07544310052116883,0.07770196949258533,0.07945654071887728,45.21189117512099,48.185529369176834,46.604924396200545,46.25266454304054,173.28713536516142,162.1992186497298,166.20242504695292,169.40636451476036,93.73609301906075,204.0484643787503,144.70450131911446,132.3454229949521,33.247977622291096,52.514062759263716,41.99124362381094,39.991107420231515,371005.58322444215,599902.8538532289,474895.4743082073,451119.62794451753
9,761.9432758279966,1342.135661026552,1036.2744706465905,965.0106106474909,3070062.2333931397,5810279.57512781,4332794.439844559,4029138.303000274,1731051.864542098,2663474.561589335,2186363.4928483623,2057399.808508631,470853.2394262738,775392.800278648,614449.7276703179,577442.0857246048,4284317.898070427,4729984.431991451,4454770.046952059,4440301.184942786,421554.0651977835,444462.64700047264,431615.7285919187,429572.0688287247,438096.9426356818,783875.2467470944,596681.7627352305,559119.3490746762,3035242.0743087884,3426196.8063476817,3133778.9050067337,3172076.2305224007,104489.45312559811,91361.336368348,93337.52757284475,99894.61226056056,10648009.005274707,13218354.54919338,11740371.56124202,11547629.945646243,-7577946.771881566,-7408074.974065571,-7407577.121397462,-7518491.642645968,-61103048.192516744,-59531543.3022133,-59292792.942605436,-60553021.48091054,16.261666666666667,26.171666666666667,20.935,19.73016666666667,20.713333333333335,32.73766666666667,26.4175,24.921850000000003,10.039666666666667,11.238333333333333,10.5835,10.459200000000001,5.955249459487543,5.831737187541328,5.889128437570777,5.912020164306368,0.5629301198544793,0.5654315506677027,0.5650123051531297,0.5638056206391074,0.24931304294834042,0.24361072391010521,0.2459953034931907,0.24731723128495808,0.07926185487182247,0.07330625901437413,0.07556643529763248,0.07717739632171555,45.33004864073139,48.33424159370937,46.73659342580615,46.381516174273685,164.17429982609795,153.41729364488378,157.34147914884235,160.40934766267299,104.09163270546836,244.94133596443734,168.5011190542244,153.3890288461075,36.54869118473485,62.12296519003295,48.318773808399676,45.499687086589184,412074.03445931466,722639.9127559853,554556.4829716743,520772.0918631493
10,861.5096842461028,1612.1134588356244,1211.0782515906697,1124.2210053524354,3480789.3875941276,6999837.642674327,5077508.87418441,4712456.276872197,1865919.0781965116,3036944.4230180206,2428777.912762391,2275777.94888404,515685.0912955607,900780.5832284053,695154.9056929153,650468.5134720562,4482658.54900825,5024547.571041768,4693862.5832915325,4672319.7067199815,424065.73144958424,451123.75126894173,435829.45947673306,433536.03838635935,491831.959904645,944474.0450731055,698576.5140799157,650256.6897136061,3184120.8305583266,3675263.9161268105,3326604.235523011,3356020.910507296,130504.19829330247,102982.23354039424,101587.38386832242,120871.51062978459,11278942.176842842,14501816.623429235,12649213.343599994,12406948.23314808,-7798152.789248714,-7501978.980754908,-7571704.4694155855,-7694491.956275882,-68901200.98176546,-67033522.2829682,-66864497.412021026,-68247513.43718642,17.423333333333332,29.702,23.1635,21.720866666666666,22.142,37.023,29.12,27.35035,10.379666666666667,11.796333333333333,11.0195,10.8755,5.648281778288493,5.522808943079482,5.58140011838147,5.604366285965339,0.577696441706531,0.5804136491742414,0.5799351064748194,0.5786474643202296,0.24120659287555388,0.2354611047058069,0.23793318939829466,0.23919567201614242,0.076679489607305,0.07150419608036782,0.07334698718782423,0.074868136872877,45.44858103645748,48.48348576244493,46.868704366557154,46.51079769055309,155.71535653431377,145.28052133081232,149.1251011726078,152.06316421308827,116.89024953949203,291.72843521573634,194.49117880398018,178.08361452617754,40.55308494795369,73.35238372622358,55.663448666149314,52.03283952034815,462609.3975197719,871541.9362691714,649953.7193789205,605735.7860820617
