case,need_p50_cr,need_p75_cr,need_p90_cr,need_p95_cr,share_profitable_by_m60,median_crossover_month,penalty,worse_than_leaving_the_price_at_30
"the price left at $30, no penalty",48.08954890088941,68.61239666923956,90.21232050966445,105.92363111114419,0.74445,48.0,,
$52 costing 0% churn and 0% growth,24.501623941795344,39.6325391621533,57.77039597546249,70.03007186203435,0.8904,40.0,0.0,False
$52 costing 5% churn and 5% growth,28.47048980303517,45.355725924224394,63.850319835335846,75.23213552508633,0.83315,43.0,0.05,False
$52 costing 10% churn and 10% growth,33.318093108696345,51.46729311329709,69.00174085134789,79.92750399665793,0.75825,45.0,0.1,False
$52 costing 15% churn and 15% growth,38.90610619421119,56.91263655018489,73.24505085413854,83.43807011629173,0.6631,49.0,0.15,False
$52 costing 20% churn and 20% growth,45.05629162252637,61.57958615635215,76.3258183571676,86.06807568822,0.55505,56.0,0.2,False
$52 costing 25% churn and 25% growth,50.4792635280796,64.91589036797468,78.43307778639486,87.45142228927607,0.42875,61.0,0.25,True
$52 costing 30% churn and 30% growth,54.569967360991754,67.22956460147051,80.01054989421444,88.17629399763346,0.3044,61.0,0.3,True
$52 costing 40% churn and 40% growth,58.74657452930198,69.22299937611977,80.13844117812154,87.22229078136758,0.10165,61.0,0.4,True
$52 costing 50% churn and 50% growth,58.81834189968484,67.94099476416208,77.53341430630061,83.83708580302992,0.0133,61.0,0.5,True
