reverted,n,median_peak_need_cr,median_crossover_month,share_profitable_by_m60,median_m60_contribution_cr
"nothing, the viable line",6000,133.73855650363635,61.0,0.14516666666666667,-3.3016079654107355
tasks a user runs a day,6000,137.09498808856927,61.0,0.132,-3.3790135759286004
"India price, $ a month",6000,134.00637659540007,61.0,0.1435,-3.296468502085008
"automation ceiling, share of tasks",6000,133.9325164587496,61.0,0.14616666666666667,-3.303529856386535
"assisted task floor, minutes",6000,133.59063480734608,61.0,0.14566666666666667,-3.3049383045720586
months to half the automation gap,6000,133.07021484655056,61.0,0.144,-3.290301937983405
"tail task floor, minutes",6000,134.27882109210168,61.0,0.14416666666666667,-3.287663788560778
churn floor,6000,133.94602391675454,61.0,0.1425,-3.3009757032358564
engineering scaling exponent,6000,135.02389632013114,61.0,0.13966666666666666,-3.3187669191958133
"UK price, $ a month",6000,134.10326061105684,61.0,0.14466666666666667,-3.2951290461150577
"US price, $ a month",6000,133.78593682765572,61.0,0.14383333333333334,-3.2847324390281605
price and volume together,6000,135.03194819283505,61.0,0.142,-3.3723985648246035
the two automation levers together,6000,133.9384235910428,61.0,0.1415,-3.2852047265568256
volume with both automation levers,6000,135.4282617692604,61.0,0.13416666666666666,-3.3514573146082345
the four levers together,6000,134.59070605269227,61.0,0.13933333333333334,-3.330620391757484
every as-specified parameter,6000,135.96204482134212,61.0,0.13483333333333333,-3.4479626682079294
