reverted,n,median_peak_need_cr,median_crossover_month,share_profitable_by_m60,median_m60_contribution_cr
"nothing, the viable line",6000,23.48635490474524,40.0,0.8945,9.9930729095544
tasks a user runs a day,6000,35.232924142023144,43.0,0.841,7.103868455735745
"India price, $ a month",6000,46.71546939078837,47.0,0.7568333333333334,3.903614403550951
"automation ceiling, share of tasks",6000,24.09872276373973,40.0,0.8891666666666667,9.779925140210473
"assisted task floor, minutes",6000,23.878012787588148,40.0,0.892,9.80248359813537
months to half the automation gap,6000,24.71105129599281,40.0,0.8908333333333334,9.771426535254523
"tail task floor, minutes",6000,24.3257661662645,40.0,0.8856666666666667,9.38435484063618
churn floor,6000,25.353617531354942,41.0,0.8483333333333334,7.315311301150457
engineering scaling exponent,6000,30.107122093417658,42.0,0.838,8.13694752909733
"UK price, $ a month",6000,24.667108158903297,41.0,0.8786666666666667,8.80110388748945
"US price, $ a month",6000,23.528401345174025,40.0,0.8886666666666667,9.680469182785984
price and volume together,6000,73.29273031337041,56.0,0.5813333333333334,0.9793875312946261
the two automation levers together,6000,24.716492972808517,41.0,0.8845,9.382089165559986
volume with both automation levers,6000,46.78193654212448,47.0,0.7305,3.7116789782757182
the four levers together,6000,82.60169278595305,61.0,0.48533333333333334,-0.15390186289192515
every as-specified parameter,6000,135.96204482134212,61.0,0.13483333333333333,-3.4479626682079294
