driver_a,a,driver_b,b,median_peak_need_cr,share_profitable_by_m60,median_crossover_month
add_rate_0,0.11754601983123975,gna0,599420.014755927,82.25276394566035,0.0003333333333333333,61.0
add_rate_0,0.11754601983123975,gna0,1154392.7763664902,90.01057796376543,0.00016666666666666666,61.0
add_rate_0,0.11754601983123975,gna0,2215742.6048797425,104.60825054531746,0.0,61.0
add_rate_0,0.13363249877798752,gna0,599420.014755927,90.75134713853463,0.0035,61.0
add_rate_0,0.13363249877798752,gna0,1154392.7763664902,99.79637787453447,0.0026666666666666666,61.0
add_rate_0,0.13363249877798752,gna0,2215742.6048797425,116.75300972029314,0.0005,61.0
add_rate_0,0.1497189777247353,gna0,599420.014755927,100.26913561936914,0.017333333333333333,61.0
add_rate_0,0.1497189777247353,gna0,1154392.7763664902,110.4985532714928,0.011,61.0
add_rate_0,0.1497189777247353,gna0,2215742.6048797425,130.72851810998804,0.005,61.0
add_rate_0,0.16580545667148308,gna0,599420.014755927,110.50028132415058,0.0515,61.0
add_rate_0,0.16580545667148308,gna0,1154392.7763664902,122.38679894753993,0.035333333333333335,61.0
add_rate_0,0.16580545667148308,gna0,2215742.6048797425,145.35327780412456,0.0195,61.0
add_rate_0,0.18189193561823086,gna0,599420.014755927,120.9765598252901,0.105,61.0
add_rate_0,0.18189193561823086,gna0,1154392.7763664902,134.91496162902712,0.08266666666666667,61.0
add_rate_0,0.18189193561823086,gna0,2215742.6048797425,160.93127145286383,0.049,61.0
add_rate_0,0.19797841456497864,gna0,599420.014755927,131.29897392925642,0.169,61.0
add_rate_0,0.19797841456497864,gna0,1154392.7763664902,146.8322949130232,0.137,61.0
add_rate_0,0.19797841456497864,gna0,2215742.6048797425,177.15266418169946,0.09816666666666667,61.0
add_rate_0,0.21406489351172642,gna0,599420.014755927,141.20413602239046,0.22933333333333333,61.0
add_rate_0,0.21406489351172642,gna0,1154392.7763664902,158.1980227293067,0.19833333333333333,61.0
add_rate_0,0.21406489351172642,gna0,2215742.6048797425,191.80104379969296,0.14616666666666667,61.0
add_rate_0,0.2301513724584742,gna0,599420.014755927,149.726285034808,0.29433333333333334,61.0
add_rate_0,0.2301513724584742,gna0,1154392.7763664902,168.45322732436023,0.2605,61.0
add_rate_0,0.2301513724584742,gna0,2215742.6048797425,205.45773517293202,0.19616666666666666,61.0
add_rate_0,0.24623785140522197,gna0,599420.014755927,155.97439757476673,0.3485,61.0
add_rate_0,0.24623785140522197,gna0,1154392.7763664902,177.2731190033067,0.31166666666666665,61.0
add_rate_0,0.24623785140522197,gna0,2215742.6048797425,217.03560808068374,0.2515,61.0
add_rate_0,0.2623243303519698,gna0,599420.014755927,161.1228597976879,0.3948333333333333,61.0
add_rate_0,0.2623243303519698,gna0,1154392.7763664902,182.42438629507978,0.36333333333333334,61.0
add_rate_0,0.2623243303519698,gna0,2215742.6048797425,226.95906937712144,0.2981666666666667,61.0
add_rate_0,0.27841080929871753,gna0,599420.014755927,165.19397598920256,0.43216666666666664,61.0
add_rate_0,0.27841080929871753,gna0,1154392.7763664902,188.5681964530877,0.4,61.0
add_rate_0,0.27841080929871753,gna0,2215742.6048797425,234.4608070831183,0.3448333333333333,61.0
