month,users_cons,users_opt,users_med,users_plan,revenue_cons,revenue_opt,revenue_med,revenue_plan,labour_cons,labour_opt,labour_med,labour_plan,tokens_cons,tokens_opt,tokens_med,tokens_plan,eng_cons,eng_opt,eng_med,eng_plan,compliance_cons,compliance_opt,compliance_med,compliance_plan,sales_cons,sales_opt,sales_med,sales_plan,gna_cons,gna_opt,gna_med,gna_plan,onetime_cons,onetime_opt,onetime_med,onetime_plan,total_cost_cons,total_cost_opt,total_cost_med,total_cost_plan,contribution_cons,contribution_opt,contribution_med,contribution_plan,cum_cash_cons,cum_cash_opt,cum_cash_med,cum_cash_plan,gen_heads_cons,gen_heads_opt,gen_heads_med,gen_heads_plan,floor_heads_cons,floor_heads_opt,floor_heads_med,floor_heads_plan,eng_heads_cons,eng_heads_opt,eng_heads_med,eng_heads_plan,blended_min_cons,blended_min_opt,blended_min_med,blended_min_plan,auto_share_cons,auto_share_opt,auto_share_med,auto_share_plan,tok_task_usd_cons,tok_task_usd_opt,tok_task_usd_med,tok_task_usd_plan,churn_cons,churn_opt,churn_med,churn_plan,arpu_usd_cons,arpu_usd_opt,arpu_usd_med,arpu_usd_plan,min_per_user_month_cons,min_per_user_month_opt,min_per_user_month_med,min_per_user_month_plan
1,219.8668624550578,275.9519289274411,252.52648024887623,239.49663572039196,1034247.9297629663,1365984.714545967,1220560.2663299614,1150355.8044370166,806069.2652297867,915400.1721066723,870290.434616681,844335.0826366968,175311.46046894928,211120.03635081716,193779.02950608774,187844.46202760306,2786136.1814211314,2842344.9756709673,2791446.729867183,2805809.259408574,411047.2921887889,409070.44561576226,421933.8606028302,410355.3958882296,42172.78407726364,74216.1593980868,61321.515486658165,53387.96543955174,1837639.0131447848,1827344.4997867527,1760421.041661377,1834035.9334694734,126343.5830814863,93048.3654541018,104560.48997899942,114690.25691190173,6239237.6475629015,6444099.119801031,6267961.706609446,6310939.162846247,-5204989.717799935,-5078114.405255064,-5047401.440279485,-5160583.35840923,-5204989.717799935,-5078114.405255064,-5047401.440279485,-5160583.35840923,7.3116666666666665,8.701333333333332,8.0515,7.79805,9.937666666666667,11.587333333333333,10.8245,10.51505,7.1946666666666665,7.406666666666666,7.2525,7.268866666666666,9.080355117019804,9.028484610852646,9.049958889299011,9.0622004398613,0.4138070893554021,0.41271451024980904,0.41428456508759326,0.41342468666844456,0.32571254651957043,0.32196638269855393,0.3220542207554501,0.32440138918221467,0.10274894723056206,0.09486961037345003,0.09715722489194153,0.09999117933057286,52.671968008477684,55.23249572169683,54.022715368510745,53.56815270810438,248.5865782757774,238.70770013178893,240.529948401216,245.12897092538145
2,230.97887779061242,316.3453190451162,278.2665691644616,260.8571322296888,1088784.508328059,1569815.562703289,1347674.689805287,1257145.3773593896,817129.5970455618,990888.415877169,911319.8328749179,877945.1836366244,178042.50380237243,233725.08008057383,206323.84534742087,197531.40549974292,2853667.494952637,2978488.9850439103,2897552.779797438,2897355.0164845823,411318.70122809935,410048.695293965,422556.5671533489,410874.19915115234,44612.92248496452,86213.7806496648,67519.7490947576,59173.22284260961,1875246.2412447443,1926087.263876784,1829722.9383760786,1893040.5991659581,125304.94536442189,124363.73602003383,156843.27216494363,124975.52209388607,6362714.2119857455,6832056.917201784,6562749.109829361,6526984.158811359,-5273929.703657687,-5262241.354498495,-5215074.420024074,-5269838.781451969,-10478919.42145762,-10340355.75975356,-10262475.86030356,-10430422.1398612,7.337,9.476,8.452,8.085650000000001,9.976666666666667,12.51,11.289,10.863333333333333,7.279333333333334,7.669666666666667,7.4395,7.4159500000000005,8.675990905390421,8.621807883953958,8.64285293002207,8.657026847887659,0.43644176192478507,0.43536637140672385,0.4370252726048183,0.43606537524346367,0.3147080113500349,0.3107621651294024,0.3109323137204935,0.31332696517281355,0.09947215467683579,0.09179867776908092,0.09409573660702526,0.09678643775912157,52.81537546177402,55.397316293448135,54.177080812452786,53.71905475285996,237.51836661370774,227.95362566510892,229.70014666422972,234.17070728169813
3,243.58722917143993,363.76759128259573,307.46022235341326,285.65035591034444,1150338.230349809,1809548.770390139,1491493.8160255505,1381061.9193639243,825640.3208688669,1072168.8812763991,955265.4156339214,911925.3170115033,181470.69880076114,259608.7463320432,220215.64806005964,208819.01543670986,2927647.3207537653,3121998.8502193005,3014156.3271949016,2995670.356066703,411629.6679877841,411205.99892960495,423261.3211980405,411481.3838174214,47633.51639758975,99558.41730886803,75503.10191047318,65807.23171653715,1916220.0612648525,2031710.3056903523,1902815.139568328,1956641.6468137775,124117.65519698513,119069.20513149469,86357.13838935872,122350.69767406347,6494997.502808787,7210093.965710935,6756084.356636106,6745281.264824539,-5344659.272458979,-5400545.195320796,-5264590.5406105565,-5364219.345460615,-15823578.6939166,-15740900.955074359,-15527066.400914116,-15794641.485321816,7.350666666666666,10.294,8.8545,8.380833333333333,9.991,13.487666666666666,11.769,11.214833333333333,7.378666666666667,7.945666666666667,7.6465,7.577116666666667,8.242004504815354,8.185238025856103,8.206606613593603,8.222136237179615,0.45787333657575996,0.45683436921225884,0.4585668928415133,0.4575096979985346,0.30412637946979554,0.3000013274858166,0.30024218774948896,0.3026826112754029,0.09615553248212758,0.0880546713067222,0.09141235606382435,0.09332023107073568,52.959250764718476,55.56271143680707,54.33196771944578,53.870461999949484,225.63717077402697,216.4082514218403,218.09747039792174,222.40704900076162
4,257.4679502223179,418.5580144756209,339.68444505580214,313.84947271097394,1218361.111421652,2087027.6520089614,1651272.5162638556,1522394.4006272103,834805.9620589458,1159939.075952098,1000401.39395825,948602.551921549,185499.01314038603,288530.81870427786,235139.10738328015,221560.14508774818,3010645.4309187043,3277914.1017492516,3129819.70026007,3104189.4657093957,411979.85480551375,412548.53670630994,424034.43469781504,412178.89347079245,50679.07737374434,115265.14407270624,82735.64203585111,73284.200718381,1959558.911658641,2144641.0657968433,1978213.6087556372,2024337.6656070119,94379.88343979507,90071.72697142717,109489.09984818331,92872.02867586631,6611761.693681439,7598192.113637072,7046790.045386367,6957012.34066591,-5393400.582259788,-5511164.461628111,-5395517.529122511,-5434617.9400387015,-21216979.276176386,-21252065.416702468,-20922583.930036627,-21229259.425360516,7.371333333333333,11.17,9.245,8.700866666666666,10.013666666666667,14.532,12.2455,11.595083333333335,7.497,8.244333333333334,7.8485,7.758566666666667,7.805556684348085,7.7462413389145075,7.76839123266097,7.784796313446334,0.47817712630334475,0.4771793483211837,0.47896279812368775,0.4778279040095884,0.293949887778892,0.28966478177631744,0.2899657088705098,0.29245010067799093,0.09322010356503081,0.08564871107092359,0.08801296698523822,0.09057011619209329,53.10359562934905,55.72868337102535,54.48737805533153,54.02237633893576,213.68742524061744,204.79847511508103,206.44527345675806,210.5762926966797
5,272.4768761523804,482.01362004591135,375.8593638317421,345.81473651511624,1291921.1169660937,2409490.859590706,1830891.576237934,1683070.526884708,844465.219099506,1257721.0508520324,1045884.9851967716,989104.7602128902,189842.82049062932,321068.3645527275,251438.81212741113,235771.76091236368,3100053.547951961,3437783.0393919805,3250442.041510088,3218258.8699559676,412350.0131030141,414103.6032631178,424914.6208462815,412963.7696590504,53662.62064805646,132616.42051851272,92086.5912666703,81296.45060271616,2005444.874529574,2263812.4898707806,2057298.1004533677,2095873.5398989962,111129.23279925827,86783.87569262255,114926.40745829412,102608.35781193577,6785050.604551576,8040064.677541945,7333392.456805231,7224305.530098205,-5493129.487585481,-5630573.81795124,-5502500.880567297,-5541235.003213497,-26710108.76376187,-26882639.234653708,-26425084.810603924,-26770494.42857401,7.379666666666667,12.123333333333333,9.645,9.039950000000001,10.031,15.679,12.7215,12.0078,7.626,8.544333333333332,8.053,7.947416666666666,7.38132208034522,7.319895344118614,7.342643148729008,7.359822722665909,0.4974475614886807,0.4964745166204334,0.4983457360370329,0.4971069957847941,0.2841615714599368,0.27973431441082885,0.2800855518529054,0.28261203149274905,0.0903630378325684,0.08304381098105384,0.08559112482588148,0.0878013084345383,53.24841177450026,55.895234324583996,54.6433137939642,54.174799667029575,202.0718214499889,193.52233063556454,195.12664518103932,199.07949966494039
6,288.56960170236414,555.9083482646804,416.60678831840374,382.1381629991748,1370806.6095786798,2785132.4631079836,2033642.3467101557,1865820.658313936,854402.999432079,1366985.0277845066,1097302.273131911,1033806.7093554286,194521.67079073368,357596.87313641986,269373.6062867111,251597.99161172385,3182930.626351402,3610216.3397749043,3374218.803890482,3332480.626049628,412752.0544605412,415895.2210326069,425895.0318512928,413852.1627607642,56911.80329410845,154303.52149461568,103065.7316265837,90998.90466428598,2052283.7292464187,2390975.3540687035,2141184.0141409286,2170825.7979342183,148623.4560991904,104383.70975424975,115729.55443068969,133139.54487846117,6974687.104331707,8546167.79341822,7633862.002782117,7524705.345511986,-5603880.494753027,-5761035.330310237,-5600219.656071962,-5658884.68719805,-32313989.258514896,-32643674.564963948,-32025304.46667589,-32429379.11577206,7.397,13.157666666666668,10.0885,9.413233333333334,10.055333333333333,16.936333333333334,13.2575,12.463683333333332,7.735333333333333,8.866,8.259,8.131066666666666,6.976889538502862,6.914067760717723,6.9375262182595625,6.954901916278063,0.5157858644908491,0.5147760955460384,0.5167097906551994,0.5154324453601653,0.2747452261311135,0.27019254415713606,0.27058516235650426,0.2731517874402214,0.08753319772775686,0.07973772889454298,0.0824609231222144,0.084804783636132,53.39370092583177,56.062366535233956,54.79977691724489,54.32773388912254,190.99831653737712,182.78997559912108,184.35615878334858,188.12539720898752
7,305.80390092866884,642.1967254312001,462.16668902883583,423.5413895045548,1455423.8391769761,3225314.7862484423,2260514.981744932,2074885.670651989,864004.6963198571,1489059.8013670077,1150213.5588605658,1082773.98308636,199503.39201241723,399327.6331993332,288990.0674139062,269441.8764278378,3273376.106851929,3790082.3463745727,3509657.5074758236,3454223.2906848546,413181.26722766424,417994.78264200623,426981.218723936,414865.99762268394,60349.48091570823,180113.02842883056,114581.83179704504,102266.72254530105,2101465.221031462,2527012.648031751,2229864.6988308853,2250406.820481563,140327.8461785983,136990.45887268972,133818.7697154673,139159.7606215303,7128929.262565101,9109447.00060719,7973165.340086633,7822110.470879832,-5673505.423388125,-5884132.214358747,-5712650.358341701,-5747224.800227843,-37987494.68190303,-38527806.77932269,-37737954.82501759,-38176603.915999904,7.417,14.312333333333333,10.5435,9.830366666666666,10.077,18.339333333333332,13.805,12.968816666666665,7.86,9.198,8.4895,8.3283,6.596457714773407,6.5318470747230615,6.55676025199427,6.573843990755786,0.5331685131158506,0.5322189742590301,0.5340759596286512,0.5328361745159634,0.26568537187308144,0.2610228821997108,0.2614487209247045,0.2640535004874017,0.08513153555686565,0.07748207328300266,0.07975636183932548,0.0824542237610136,53.53946481585726,56.23008225003675,54.956769415156494,54.48118091782008,180.58109817500608,172.68206477408756,174.23371961478477,177.8164364846846
8,324.7379993185909,741.1103792758153,513.1768291555479,470.4683323036194,1548675.4154508254,3730470.882417618,2514375.915724322,2312303.828889203,874945.1536525736,1623503.0019409715,1211317.0947157298,1136940.4005535129,204998.85823464033,445490.1049340126,310322.1909682169,289170.7945794206,3365887.844813138,3978930.923596365,3653567.9322880493,3580452.9223872675,413651.7243833957,420393.27163305314,428218.08538426744,416011.2659207758,64858.96453972288,207325.48493952682,127374.6226089648,114722.24667965426,2152667.010816151,2670597.648005367,2322737.8677633516,2333942.733832376,145416.22940867385,84482.78049051872,113933.08160385537,124089.52228731956,7304070.176636295,9626005.803087661,8299916.000960585,8116747.645894274,-5755394.761185471,-5895534.920670046,-5785540.0852362625,-5804443.817005072,-43742889.443088494,-44423341.69999274,-43523494.910253845,-43981047.73300498,7.4543333333333335,15.573666666666666,11.0665,10.2961,10.119,19.865666666666666,14.4395,13.530333333333333,7.985,9.542,8.734,8.52995,6.240723312254162,6.175484198556403,6.201069661940371,6.217889622459946,0.5497060033728556,0.5486744633926757,0.5505626160812424,0.5493449643797925,0.256967219033622,0.2522094941923001,0.2526611087285165,0.25530201533915936,0.08271652317372906,0.07515273353295712,0.07717480275664082,0.08006919679945888,53.685705183973305,56.39838372540557,55.11429328579844,54.635142673474604,170.8425659128122,163.25783801795046,164.7775006978545,168.1879111496106
9,345.83584730520556,856.8909072316105,570.7304175476984,524.7051182794473,1652718.1687195143,4323412.0555031635,2802137.1793570346,2587461.0290937917,890366.4949991307,1776519.9396123989,1275566.4494181052,1200520.2006137744,211426.27495565082,498112.3316636788,333730.63359646243,311766.39480346063,3466641.726279823,4182184.6079596113,3797361.8465268333,3717081.734867749,414183.5944629771,423201.16801439994,429595.03532870073,417339.74520597514,70065.51422084177,241811.30150673716,144286.6425635346,130176.53977090516,2207572.560380842,2823089.5413026693,2421451.949812002,2423003.5037034815,125288.05495927745,76119.37453384821,79952.48262218644,108079.01681037722,7472698.613249163,10247366.600626709,8629549.738225002,8443832.408831304,-5819980.444529649,-5923954.545123545,-5827412.558867967,-5856371.379737513,-49562869.88761815,-50347296.24511628,-49350907.46912182,-49837419.11274249,7.5183333333333335,16.99266666666667,11.643,10.83435,10.202666666666667,21.59,15.12,14.188233333333333,8.125333333333334,9.908666666666667,8.9705,8.7495,5.9103356410115895,5.843856032181328,5.8695421795266105,5.887067777920999,0.5652991955995275,0.5643266349251707,0.5663217906352134,0.5649587993635026,0.24857663571894806,0.24373726420144448,0.2442078749734497,0.2468828556878218,0.08023261500167693,0.07287073989058859,0.07540243734657263,0.07765595871279601,53.83242377648848,56.5672732271462,55.27235053542191,54.78962108421869,161.7972050451284,154.48836200129452,155.9661016883748,159.23910997978655
10,368.7528902888544,989.8076015327574,634.2495230220612,586.1220392242204,1765626.196908033,5006291.557305513,3120608.5384998587,2899859.073047151,907016.9620409247,1944242.3946463238,1345520.548127158,1270045.8634528145,218347.5082675372,556594.3064699922,358852.1617613465,336733.88763839647,3567192.661013652,4392257.50303645,3954988.2608062085,3855965.355721631,414764.5492359339,426415.59115246823,431132.617599328,418842.41390672093,74787.23165523239,279600.58505626593,159370.58749823165,146471.90534559413,2264642.0281399656,2983819.8569997945,2523100.7974525206,2516354.268240906,121049.6104324293,109127.6270667177,103364.00051584971,116876.91625443022,7660925.355526344,10954134.733446624,9040705.522364361,8813548.637798442,-5895299.1586183105,-5947843.176141111,-5920096.9838645,-5913689.564751291,-55458169.04623645,-56295139.421257384,-55271004.45298632,-55751108.67749377,7.601333333333334,18.551333333333332,12.2345,11.433833333333332,10.304666666666666,23.468,15.8355,14.911833333333332,8.260666666666667,10.285333333333334,9.2315,8.9693,5.603540846724445,5.5364027329050565,5.562086464173115,5.58004250688766,0.580129465759272,0.5791690752366541,0.5812785500397263,0.5797933290763557,0.2405001168854069,0.23559176044354233,0.23607520588570258,0.2387821921307543,0.07757947386239027,0.07080871196621188,0.07343086808539878,0.07520970719872783,53.97962234665253,56.73675303049854,55.430943178464965,54.944618085998634,153.39673930495644,146.35862988434394,147.79286983410265,150.93340100774208
